# archive_script_import_edges.txt
# Generated by tools/harvest_archive_script_import_edges.py
# Scanned 2160 archive scripts; emitted 16320 unique edges.
# Edge format: [EDGE:depends_on] data_provenance:<script>.py -> constants:<NAME>  # archive-script uses <NAME>
#
[EDGE:depends_on] data_provenance:dirac_spectrum.py -> constants:phi_paasch  # archive-script uses phi_paasch
[EDGE:depends_on] data_provenance:phi_analysis.py -> constants:n_pairs  # archive-script uses n_pairs
[EDGE:depends_on] data_provenance:s19a_complexity_functional.py -> constants:n_pairs  # archive-script uses n_pairs
[EDGE:depends_on] data_provenance:s19a_false_vacuum_analysis.py -> constants:tau_fold  # archive-script uses tau_fold
[EDGE:depends_on] data_provenance:s21c_gb_debug6.py -> constants:PI  # archive-script uses PI
[EDGE:depends_on] data_provenance:s22a_paasch_curve.py -> constants:phi_paasch  # archive-script uses phi_paasch
[EDGE:depends_on] data_provenance:s22a_paasch_curve_legacy.py -> constants:phi_paasch  # archive-script uses phi_paasch
[EDGE:depends_on] data_provenance:s22c_instanton_action.py -> constants:S_fold  # archive-script uses S_fold
[EDGE:depends_on] data_provenance:s22c_instanton_action.py -> constants:Vol_SU3_Haar  # archive-script uses Vol_SU3_Haar
[EDGE:depends_on] data_provenance:s22c_instanton_action.py -> constants:tau_fold  # archive-script uses tau_fold
[EDGE:depends_on] data_provenance:s24a_eigenvalue_ratios.py -> constants:phi_paasch  # archive-script uses phi_paasch
[EDGE:depends_on] data_provenance:s24a_eigenvalue_ratios.py -> constants:tau_fold  # archive-script uses tau_fold
[EDGE:depends_on] data_provenance:s24a_eigenvalue_ratios_legacy.py -> constants:phi_paasch  # archive-script uses phi_paasch
[EDGE:depends_on] data_provenance:s26_p2_cooling_trajectory.py -> constants:G_DeWitt  # archive-script uses G_DeWitt
[EDGE:depends_on] data_provenance:s26_p2_cooling_trajectory.py -> constants:PI  # archive-script uses PI
[EDGE:depends_on] data_provenance:s26_p2_cooling_trajectory_legacy.py -> constants:PI  # archive-script uses PI
