## Shared-file Chain-of-Custody Edges (non-session-keyed; emitted to data_provenance targets)
## Generated: 2026-06-13T17:43:18Z
## Shared files scanned: 224
## Total edges (deduped): 40
## Extractors: tools/_chain_of_custody_extractors.py (self-test 11/11 PASS)

[EDGE:cited_in] researchers:cosmic-web-theorist -> data_provenance:sessions/observational_avenues.md  # RESEARCHER_PATH_RE | role=paper-cited | conf=path-citation | src=sessions/observational_avenues.md | match='researchers/Cosmic-Web/17_2025_DESI_BAO_Cosmological_Constraints.md'
[EDGE:cited_in] researchers:dirac-antimatter-theorist -> data_provenance:sessions/observational_avenues.md  # RESEARCHER_PATH_RE | role=paper-cited | conf=path-citation | src=sessions/observational_avenues.md | match='researchers/Antimatter/'
[EDGE:cited_in] researchers:little-red-dots-jwst-analyst -> data_provenance:sessions/observational_avenues.md  # RESEARCHER_PATH_RE | role=paper-cited | conf=path-citation | src=sessions/observational_avenues.md | match='researchers/Little-Red-Dots/'
[EDGE:cited_in] researchers:landau-condensed-matter-theorist -> data_provenance:sessions/framework/Classification-of-phonon-exflation.md  # RESEARCHER_PATH_RE | role=paper-cited | conf=path-citation | src=sessions/framework/Classification-of-phonon-exflation.md | match='researchers/Landau/'
[EDGE:cited_in] researchers:kitaev-quantum-chaos-theorist -> data_provenance:sessions/framework/framework-chaotic-instantons.md  # RESEARCHER_PATH_RE | role=paper-cited | conf=path-citation | src=sessions/framework/framework-chaotic-instantons.md | match='researchers/Kitaev/'
[EDGE:cited_in] researchers:berry-geometric-phase-theorist -> data_provenance:sessions/framework/Collabs/atlas-berry-collab.md  # RESEARCHER_PATH_RE | role=paper-cited | conf=path-citation | src=sessions/framework/Collabs/atlas-berry-collab.md | match='researchers/Berry/'
[EDGE:cited_in] researchers:connes-ncg-theorist -> data_provenance:sessions/framework/Collabs/atlas-connes-collab.md  # RESEARCHER_PATH_RE | role=paper-cited | conf=path-citation | src=sessions/framework/Collabs/atlas-connes-collab.md | match='researchers/Connes/'
[EDGE:cited_in] researchers:einstein-theorist -> data_provenance:sessions/framework/Collabs/atlas-einstein-collab.md  # RESEARCHER_PATH_RE | role=paper-cited | conf=path-citation | src=sessions/framework/Collabs/atlas-einstein-collab.md | match='researchers/Einstein/'
[EDGE:cited_in] researchers:feynman-theorist -> data_provenance:sessions/framework/Collabs/atlas-feynman-collab.md  # RESEARCHER_PATH_RE | role=paper-cited | conf=path-citation | src=sessions/framework/Collabs/atlas-feynman-collab.md | match='researchers/Feynman/'
[EDGE:cited_in] researchers:hawking-theorist -> data_provenance:sessions/framework/Collabs/atlas-hawking-collab.md  # RESEARCHER_PATH_RE | role=paper-cited | conf=path-citation | src=sessions/framework/Collabs/atlas-hawking-collab.md | match='researchers/Hawking/'
[EDGE:cited_in] researchers:kitaev-quantum-chaos-theorist -> data_provenance:sessions/framework/Collabs/atlas-kitaev-collab.md  # RESEARCHER_PATH_RE | role=paper-cited | conf=path-citation | src=sessions/framework/Collabs/atlas-kitaev-collab.md | match='researchers/Kitaev/'
[EDGE:cited_in] researchers:landau-condensed-matter-theorist -> data_provenance:sessions/framework/Collabs/atlas-landau-collab.md  # RESEARCHER_PATH_RE | role=paper-cited | conf=path-citation | src=sessions/framework/Collabs/atlas-landau-collab.md | match='researchers/Landau/'
[EDGE:cited_in] researchers:little-red-dots-jwst-analyst -> data_provenance:sessions/framework/Collabs/atlas-lrd-collab.md  # RESEARCHER_PATH_RE | role=paper-cited | conf=path-citation | src=sessions/framework/Collabs/atlas-lrd-collab.md | match='researchers/Little-Red-Dots/'
[EDGE:cited_in] researchers:neutrino-detection-specialist -> data_provenance:sessions/framework/Collabs/atlas-neutrino-collab.md  # RESEARCHER_PATH_RE | role=paper-cited | conf=path-citation | src=sessions/framework/Collabs/atlas-neutrino-collab.md | match='researchers/Neutrino-Detection/'
[EDGE:cited_in] researchers:paasch-mass-quantization-analyst -> data_provenance:sessions/framework/Collabs/atlas-paasch-collab.md  # RESEARCHER_PATH_RE | role=paper-cited | conf=path-citation | src=sessions/framework/Collabs/atlas-paasch-collab.md | match='researchers/Paasch/'
[EDGE:cited_in] researchers:quantum-foam-theorist -> data_provenance:sessions/framework/Collabs/atlas-quantum-foam-collab.md  # RESEARCHER_PATH_RE | role=paper-cited | conf=path-citation | src=sessions/framework/Collabs/atlas-quantum-foam-collab.md | match='researchers/Quantum-Foam/'
[EDGE:cited_in] researchers:schwarzschild-penrose-geometer -> data_provenance:sessions/framework/Collabs/atlas-sp-collab.md  # RESEARCHER_PATH_RE | role=paper-cited | conf=path-citation | src=sessions/framework/Collabs/atlas-sp-collab.md | match='researchers/Schwarzschild-Penrose/'
[EDGE:cited_in] researchers:connes-ncg-theorist -> data_provenance:sessions/framework/Collabs/framework-paasch-potential-connes-collab.md  # RESEARCHER_PATH_RE | role=paper-cited | conf=path-citation | src=sessions/framework/Collabs/framework-paasch-potential-connes-collab.md | match='researchers/Connes/'
[EDGE:cited_in] researchers:paasch-mass-quantization-analyst -> data_provenance:sessions/framework/Collabs/framework-paasch-potential.md  # RESEARCHER_PATH_RE | role=paper-cited | conf=path-citation | src=sessions/framework/Collabs/framework-paasch-potential.md | match='researchers/Paasch/02_2009_Logarithmic_potential_exponential_mass_function_eleme'
[EDGE:cited_in] researchers:einstein-theorist -> data_provenance:sessions/framework/Collabs/landau_review_einstein.md  # RESEARCHER_PATH_RE | role=paper-cited | conf=path-citation | src=sessions/framework/Collabs/landau_review_einstein.md | match='researchers/Einstein/'
