## S100a Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G7
## Files scanned: 13 (+ 10 in workshops/)
## Total edges (deduped): 34
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] gates:100a:session-100a-campaign-landscape-synthesis.md -> researchers:phonon-first-cosmologist  # G7 | role=primary | conf=header-parsed | src=sessions/session-100a/session-100a-campaign-landscape-synthesis.md | match='**Agent**: phonon-first-cosmologist (S-4 closeout, per schedule Slot 3)'
[EDGE:authored_by] gates:100a:session-100a-connes-machinery-synthesis.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/session-100a/session-100a-connes-machinery-synthesis.md | match='**Agent**: connes-ncg-theorist (Workhorse-NCG)'
[EDGE:authored_by] gates:100a:session-100a-h0-spinor-chain-synthesis.md -> researchers:kaluza-klein-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/session-100a/session-100a-h0-spinor-chain-synthesis.md | match='**Agent**: kaluza-klein-theorist (KK)'
[EDGE:authored_by] gates:100a:session-100a-w1-workingpaper.md -> researchers:transit-dynamics-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/session-100a/session-100a-w1-workingpaper.md | match='**Agent**: `transit-dynamics-theorist`'
[EDGE:authored_by] gates:100a:session-100a-w1-workingpaper.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/session-100a/session-100a-w1-workingpaper.md | match='**Agent**: `volovik-superfluid-universe-theorist`'
[EDGE:authored_by] gates:100a:session-100a-w1-workingpaper.md -> researchers:lizzi-spectral-functional-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/session-100a/session-100a-w1-workingpaper.md | match='**Agent**: `lizzi-spectral-functional-theorist`'
[EDGE:authored_by] gates:100a:session-100a-w1-workingpaper.md -> researchers:landau-condensed-matter-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/session-100a/session-100a-w1-workingpaper.md | match='**Agent**: `landau-condensed-matter-theorist`'
[EDGE:authored_by] gates:100a:session-100a-w2-workingpaper.md -> researchers:baptista-spacetime-analyst  # G7 | role=primary | conf=header-parsed | src=sessions/session-100a/session-100a-w2-workingpaper.md | match='**Agent**: `baptista-spacetime-analyst`'
[EDGE:authored_by] gates:100a:session-100a-w2-workingpaper.md -> researchers:kaluza-klein-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/session-100a/session-100a-w2-workingpaper.md | match='**Agent**: `kaluza-klein-theorist`'
[EDGE:authored_by] gates:100a:session-100a-w2-workingpaper.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/session-100a/session-100a-w2-workingpaper.md | match='**Agent**: `connes-ncg-theorist`'
[EDGE:authored_by] gates:100a:session-100a-w3-workingpaper.md -> researchers:transit-dynamics-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/session-100a/session-100a-w3-workingpaper.md | match='**Agent**: `transit-dynamics-theorist`'
[EDGE:authored_by] gates:100a:session-100a-w3-workingpaper.md -> researchers:hawking-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/session-100a/session-100a-w3-workingpaper.md | match='**Agent**: `hawking-theorist`'
[EDGE:authored_by] gates:100a:session-100a-w3-workingpaper.md -> researchers:phonon-first-cosmologist  # G7 | role=primary | conf=header-parsed | src=sessions/session-100a/session-100a-w3-workingpaper.md | match='**Agent**: `phonon-first-cosmologist`'
[EDGE:authored_by] gates:100a:session-100a-w4-workingpaper.md -> researchers:lizzi-spectral-functional-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/session-100a/session-100a-w4-workingpaper.md | match='**Agent**: `lizzi-spectral-functional-theorist`'
[EDGE:authored_by] gates:100a:session-100a-w4-workingpaper.md -> researchers:mack-cosmic-bridge  # G7 | role=primary | conf=header-parsed | src=sessions/session-100a/session-100a-w4-workingpaper.md | match='**Agent**: `mack-cosmic-bridge`'
[EDGE:authored_by] gates:100a:session-100a-w4-workingpaper.md -> researchers:quantum-foam-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/session-100a/session-100a-w4-workingpaper.md | match='**Agent**: `quantum-foam-theorist`'
[EDGE:authored_by] gates:100a:session-100a-w4-workingpaper.md -> researchers:kaluza-klein-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/session-100a/session-100a-w4-workingpaper.md | match='**Agent**: `kaluza-klein-theorist`'
[EDGE:authored_by] gates:100a:session-100a-w5-workingpaper.md -> researchers:neutrino-detection-specialist  # G7 | role=primary | conf=header-parsed | src=sessions/session-100a/session-100a-w5-workingpaper.md | match='**Agent**: `neutrino-detection-specialist` (cross-axis: connes-ncg-theorist for '
[EDGE:authored_by] gates:100a:session-100a-w6-workingpaper.md -> researchers:gen-physicist  # G7 | role=primary | conf=header-parsed | src=sessions/session-100a/session-100a-w6-workingpaper.md | match='**Agent**: `gen-physicist` (procedural owner; the two clause verdicts are produc'
[EDGE:authored_by] gates:100a:session-100a-yukawa-wall-scope-synthesis.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/session-100a/session-100a-yukawa-wall-scope-synthesis.md | match='**Agent**: connes-ncg-theorist (Workhorse-NCG)'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/session-100a/workshops/s100a-w1-hparity-scope-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/session-100a/workshops/s100a-w1-hparity-scope-workshop.md | match='## Round 1 — volovik'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/session-100a/workshops/s100a-w1-hparity-scope-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/session-100a/workshops/s100a-w1-hparity-scope-workshop.md | match='## Round 2 — volovik'
[EDGE:authored_round] researchers:baptista-spacetime-analyst -> data_provenance:sessions/session-100a/workshops/s100a-w2-mass-functional-counting-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/session-100a/workshops/s100a-w2-mass-functional-counting-workshop.md | match='## Round 1 — baptista'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/session-100a/workshops/s100a-w2-mass-functional-counting-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/session-100a/workshops/s100a-w2-mass-functional-counting-workshop.md | match='## Round 1 — connes'
[EDGE:authored_round] researchers:baptista-spacetime-analyst -> data_provenance:sessions/session-100a/workshops/s100a-w2-mass-functional-counting-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/session-100a/workshops/s100a-w2-mass-functional-counting-workshop.md | match='## Round 2 — baptista'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/session-100a/workshops/s100a-w2-mass-functional-counting-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/session-100a/workshops/s100a-w2-mass-functional-counting-workshop.md | match='## Round 2 — connes'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/session-100a/workshops/s100a-w3-envelope-carrier-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/session-100a/workshops/s100a-w3-envelope-carrier-workshop.md | match='## Round 1 — connes'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/session-100a/workshops/s100a-w3-envelope-carrier-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/session-100a/workshops/s100a-w3-envelope-carrier-workshop.md | match='## Round 2 — connes'
[EDGE:authored_round] researchers:dirac-antimatter-theorist -> data_provenance:sessions/session-100a/workshops/s100a-w5-d5-seesaw-adjudication-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/session-100a/workshops/s100a-w5-d5-seesaw-adjudication-workshop.md | match='## Round 1 — dirac'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/session-100a/workshops/s100a-w5-d5-seesaw-adjudication-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/session-100a/workshops/s100a-w5-d5-seesaw-adjudication-workshop.md | match='## Round 1 — volovik'
[EDGE:authored_round] researchers:dirac-antimatter-theorist -> data_provenance:sessions/session-100a/workshops/s100a-w5-d5-seesaw-adjudication-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/session-100a/workshops/s100a-w5-d5-seesaw-adjudication-workshop.md | match='## Round 2 — dirac'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/session-100a/workshops/s100a-w5-d5-seesaw-adjudication-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/session-100a/workshops/s100a-w5-d5-seesaw-adjudication-workshop.md | match='## Round 2 — volovik'
[EDGE:authored_round] researchers:dirac-antimatter-theorist -> data_provenance:sessions/session-100a/workshops/s100a-w5-d5-seesaw-adjudication-workshop.md#round-3  # G7 | role=round_author | conf=header-parsed | src=sessions/session-100a/workshops/s100a-w5-d5-seesaw-adjudication-workshop.md | match='## Round 3 — dirac'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/session-100a/workshops/s100a-w5-d5-seesaw-adjudication-workshop.md#round-3  # G7 | role=round_author | conf=header-parsed | src=sessions/session-100a/workshops/s100a-w5-d5-seesaw-adjudication-workshop.md | match='## Round 3 — volovik'
