## S100b Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G7
## Files scanned: 13 (+ 8 in workshops/)
## Total edges (deduped): 25
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] gates:100b:session-100b-berry-geometric-phase-synthesis.md -> researchers:berry-geometric-phase-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/session-100b/session-100b-berry-geometric-phase-synthesis.md | match='**Agent**: berry-geometric-phase-theorist (Berry)'
[EDGE:authored_by] gates:100b:session-100b-campaign-closeout-synthesis.md -> researchers:phonon-first-cosmologist  # G7 | role=primary | conf=header-parsed | src=sessions/session-100b/session-100b-campaign-closeout-synthesis.md | match='**Agent**: phonon-first-cosmologist (Phonon-First)'
[EDGE:authored_by] gates:100b:session-100b-transit-dynamics-synthesis.md -> researchers:transit-dynamics-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/session-100b/session-100b-transit-dynamics-synthesis.md | match='**Agent**: transit-dynamics-theorist (Workhorse-Transit-Dynamics)'
[EDGE:authored_by] data_provenance:100b:session-100b-transit-dynamics-synthesis.md -> researchers:transit-dynamics-theorist  # G3 | role=primary | conf=filename-derived | src=sessions/session-100b/session-100b-transit-dynamics-synthesis.md | match='session-100b-transit-dynamics-synthesis.md'
[EDGE:authored_by] gates:100b:session-100b-w1-workingpaper.md -> researchers:einstein-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/session-100b/session-100b-w1-workingpaper.md | match='**Agent**: `einstein-theorist`'
[EDGE:authored_by] gates:100b:session-100b-w1-workingpaper.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/session-100b/session-100b-w1-workingpaper.md | match='**Agent**: `volovik-superfluid-universe-theorist`'
[EDGE:authored_by] gates:100b:session-100b-w1-workingpaper.md -> researchers:mack-cosmic-bridge  # G7 | role=primary | conf=header-parsed | src=sessions/session-100b/session-100b-w1-workingpaper.md | match='**Agent**: `mack-cosmic-bridge`'
[EDGE:authored_by] gates:100b:session-100b-w1-workingpaper.md -> researchers:sagan-empiricist  # G7 | role=primary | conf=header-parsed | src=sessions/session-100b/session-100b-w1-workingpaper.md | match='**Agent**: `sagan-empiricist` (mack self-blacklisted — own carry-forward source)'
[EDGE:authored_by] gates:100b:session-100b-w2-workingpaper.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/session-100b/session-100b-w2-workingpaper.md | match='**Agent**: `connes-ncg-theorist`'
[EDGE:authored_by] gates:100b:session-100b-w2-workingpaper.md -> researchers:lizzi-spectral-functional-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/session-100b/session-100b-w2-workingpaper.md | match='**Agent**: `lizzi-spectral-functional-theorist`'
[EDGE:authored_by] gates:100b:session-100b-w2-workingpaper.md -> researchers:dirac-antimatter-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/session-100b/session-100b-w2-workingpaper.md | match='**Agent**: `dirac-antimatter-theorist`'
[EDGE:authored_by] gates:100b:session-100b-w3-workingpaper.md -> researchers:spectral-geometer  # G7 | role=primary | conf=header-parsed | src=sessions/session-100b/session-100b-w3-workingpaper.md | match='**Agent**: `spectral-geometer`'
[EDGE:authored_by] gates:100b:session-100b-w3-workingpaper.md -> researchers:baptista-spacetime-analyst  # G7 | role=primary | conf=header-parsed | src=sessions/session-100b/session-100b-w3-workingpaper.md | match='**Agent**: `baptista-spacetime-analyst`'
[EDGE:authored_by] gates:100b:session-100b-w4-workingpaper.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/session-100b/session-100b-w4-workingpaper.md | match='**Agent**: `connes-ncg-theorist`'
[EDGE:authored_by] gates:100b:session-100b-w4-workingpaper.md -> researchers:kitaev-quantum-chaos-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/session-100b/session-100b-w4-workingpaper.md | match='**Agent**: `kitaev-quantum-chaos-theorist`'
[EDGE:authored_by] gates:100b:session-100b-w5-workingpaper.md -> researchers:transit-dynamics-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/session-100b/session-100b-w5-workingpaper.md | match='**Agent**: `transit-dynamics-theorist`'
[EDGE:authored_by] gates:100b:session-100b-w6-workingpaper.md -> researchers:landau-condensed-matter-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/session-100b/session-100b-w6-workingpaper.md | match='**Agent**: `landau-condensed-matter-theorist`'
[EDGE:authored_by] gates:100b:session-100b-w6-workingpaper.md -> researchers:berry-geometric-phase-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/session-100b/session-100b-w6-workingpaper.md | match='**Agent**: `berry-geometric-phase-theorist`'
[EDGE:authored_by] gates:100b:session-100b-w7-workingpaper.md -> researchers:little-red-dots-jwst-analyst  # G7 | role=primary | conf=header-parsed | src=sessions/session-100b/session-100b-w7-workingpaper.md | match='**Agent**: `little-red-dots-jwst-analyst`'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/session-100b/workshops/tau0-operator-canonicity-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/session-100b/workshops/tau0-operator-canonicity-workshop.md | match='## Round 1 — connes'
[EDGE:authored_round] researchers:kaluza-klein-theorist -> data_provenance:sessions/session-100b/workshops/tau0-operator-canonicity-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/session-100b/workshops/tau0-operator-canonicity-workshop.md | match='## Round 1 — kk'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/session-100b/workshops/tau0-operator-canonicity-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/session-100b/workshops/tau0-operator-canonicity-workshop.md | match='## Round 2 — connes'
[EDGE:authored_round] researchers:kaluza-klein-theorist -> data_provenance:sessions/session-100b/workshops/tau0-operator-canonicity-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/session-100b/workshops/tau0-operator-canonicity-workshop.md | match='## Round 2 — kk'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/session-100b/workshops/tau0-operator-canonicity-workshop.md#round-3  # G7 | role=round_author | conf=header-parsed | src=sessions/session-100b/workshops/tau0-operator-canonicity-workshop.md | match='## Round 3 — connes'
[EDGE:authored_round] researchers:kaluza-klein-theorist -> data_provenance:sessions/session-100b/workshops/tau0-operator-canonicity-workshop.md#round-3  # G7 | role=round_author | conf=header-parsed | src=sessions/session-100b/workshops/tau0-operator-canonicity-workshop.md | match='## Round 3 — kk'
