## S101 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G7
## Files scanned: 12 (+ 12 in workshops/)
## Total edges (deduped): 46
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] gates:101:session-101-s1-closeout-synthesis.md -> researchers:phonon-first-cosmologist  # G7 | role=primary | conf=header-parsed | src=sessions/session-101/session-101-s1-closeout-synthesis.md | match='**Agent**: phonon-first-cosmologist (phonon-first)'
[EDGE:authored_by] gates:101:session-101-w1-workingpaper.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/session-101/session-101-w1-workingpaper.md | match='**Agent**: `connes-ncg-theorist`'
[EDGE:authored_by] gates:101:session-101-w1-workingpaper.md -> researchers:spectral-geometer  # G7 | role=primary | conf=header-parsed | src=sessions/session-101/session-101-w1-workingpaper.md | match='**Agent**: `spectral-geometer`'
[EDGE:authored_by] gates:101:session-101-w1-workingpaper.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/session-101/session-101-w1-workingpaper.md | match='**Agent**: `volovik-superfluid-universe-theorist`'
[EDGE:authored_by] gates:101:session-101-w2-workingpaper.md -> researchers:baptista-spacetime-analyst  # G7 | role=primary | conf=header-parsed | src=sessions/session-101/session-101-w2-workingpaper.md | match='**Agent**: `baptista-spacetime-analyst`'
[EDGE:authored_by] gates:101:session-101-w2-workingpaper.md -> researchers:transit-dynamics-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/session-101/session-101-w2-workingpaper.md | match='**Agent**: `transit-dynamics-theorist` (executor / one writer; per-leg derivatio'
[EDGE:authored_by] gates:101:session-101-w2-workingpaper.md -> researchers:gen-physicist  # G7 | role=primary | conf=header-parsed | src=sessions/session-101/session-101-w2-workingpaper.md | match='**Agent**: `gen-physicist`'
[EDGE:authored_by] gates:101:session-101-w2-workingpaper.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/session-101/session-101-w2-workingpaper.md | match='**Agent**: `connes-ncg-theorist` (workshop-assigned owner; orientation is degree'
[EDGE:authored_by] gates:101:session-101-w3-workingpaper.md -> researchers:dirac-antimatter-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/session-101/session-101-w3-workingpaper.md | match='**Agent**: `dirac-antimatter-theorist`'
[EDGE:authored_by] gates:101:session-101-w3-workingpaper.md -> researchers:hawking-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/session-101/session-101-w3-workingpaper.md | match='**Agent**: `hawking-theorist`'
[EDGE:authored_by] gates:101:session-101-w3-workingpaper.md -> researchers:landau-condensed-matter-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/session-101/session-101-w3-workingpaper.md | match='**Agent**: `landau-condensed-matter-theorist` (alternate per binding CF: `nazare'
[EDGE:authored_by] gates:101:session-101-w3-workingpaper.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/session-101/session-101-w3-workingpaper.md | match='**Agent**: `connes-ncg-theorist`'
[EDGE:authored_by] gates:101:session-101-w3-workingpaper.md -> researchers:gen-physicist  # G7 | role=primary | conf=header-parsed | src=sessions/session-101/session-101-w3-workingpaper.md | match='**Agent**: `gen-physicist`'
[EDGE:authored_by] gates:101:session-101-w4-workingpaper.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/session-101/session-101-w4-workingpaper.md | match='**Agent**: `volovik-superfluid-universe-theorist`'
