## S104 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G7
## Files scanned: 8 (+ 6 in workshops/)
## Total edges (deduped): 16
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] gates:104:session-104-w1-workingpaper.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/session-104/session-104-w1-workingpaper.md | match='**Agent**: `connes-ncg-theorist`'
[EDGE:authored_by] gates:104:session-104-w1-workingpaper.md -> researchers:transit-dynamics-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/session-104/session-104-w1-workingpaper.md | match='**Agent**: `transit-dynamics-theorist`'
[EDGE:authored_by] gates:104:session-104-w1-workingpaper.md -> researchers:gen-physicist  # G7 | role=primary | conf=header-parsed | src=sessions/session-104/session-104-w1-workingpaper.md | match='**Agent**: `gen-physicist`'
[EDGE:authored_by] gates:104:session-104-w2-workingpaper.md -> researchers:berry-geometric-phase-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/session-104/session-104-w2-workingpaper.md | match='**Agent**: `berry-geometric-phase-theorist`'
[EDGE:authored_by] gates:104:session-104-w3-workingpaper.md -> researchers:kitaev-quantum-chaos-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/session-104/session-104-w3-workingpaper.md | match='**Agent**: `kitaev-quantum-chaos-theorist` (cross-check: gen-physicist + connes-'
[EDGE:authored_by] gates:104:session-104-w3-workingpaper.md -> researchers:lizzi-spectral-functional-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/session-104/session-104-w3-workingpaper.md | match='**Agent**: `lizzi-spectral-functional-theorist` (cross-check: connes-ncg-theoris'
[EDGE:authored_by] gates:104:session-104-w4-workingpaper.md -> researchers:quantum-acoustics-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/session-104/session-104-w4-workingpaper.md | match='**Agent**: `quantum-acoustics-theorist` (cross-check: hawking-theorist — GR-univ'
[EDGE:authored_by] gates:104:session-104-w4-workingpaper.md -> researchers:transit-dynamics-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/session-104/session-104-w4-workingpaper.md | match='**Agent**: `transit-dynamics-theorist` (cross-check: schwarzschild-penrose-geome'
[EDGE:authored_by] gates:104:session-104-w5-workingpaper.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/session-104/session-104-w5-workingpaper.md | match='**Agent**: `connes-ncg-theorist`'
[EDGE:authored_by] gates:104:session-104-w5-workingpaper.md -> researchers:landau-condensed-matter-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/session-104/session-104-w5-workingpaper.md | match='**Agent**: `landau-condensed-matter-theorist` (volovik cross-check on the broken'
[EDGE:participates_in] researchers:connes-ncg-theorist -> data_provenance:sessions/session-104/workshops/area-modular-stationarity-existence-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/session-104/workshops/area-modular-stationarity-existence-workshop.md | match='connes (connes-ncg-theorist)'
[EDGE:participates_in] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/session-104/workshops/area-modular-stationarity-existence-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/session-104/workshops/area-modular-stationarity-existence-workshop.md | match='volovik (volovik-superfluid-universe-theorist)'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/session-104/workshops/area-modular-stationarity-existence-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/session-104/workshops/area-modular-stationarity-existence-workshop.md | match='## Round 1 — Connes'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/session-104/workshops/area-modular-stationarity-existence-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/session-104/workshops/area-modular-stationarity-existence-workshop.md | match='## Round 1 — Volovik'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/session-104/workshops/area-modular-stationarity-existence-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/session-104/workshops/area-modular-stationarity-existence-workshop.md | match='## Round 2 — Connes'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/session-104/workshops/area-modular-stationarity-existence-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/session-104/workshops/area-modular-stationarity-existence-workshop.md | match='## Round 2 — Volovik'
