## S105 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G7
## Files scanned: 12 (+ 9 in workshops/)
## Total edges (deduped): 28
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] gates:105:session-105-connes-substrate-rh-synthesis.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/session-105/session-105-connes-substrate-rh-synthesis.md | match='**Agent**: connes-ncg-theorist (Workhorse-NCG)'
[EDGE:authored_by] gates:105:session-105-phonon-first-cosmologist-synthesis.md -> researchers:phonon-first-cosmologist  # G7 | role=primary | conf=header-parsed | src=sessions/session-105/session-105-phonon-first-cosmologist-synthesis.md | match='**Agent**: phonon-first-cosmologist (Phonon-First Cosmologist)'
[EDGE:authored_by] data_provenance:105:session-105-phonon-first-cosmologist-synthesis.md -> researchers:phonon-first-cosmologist  # G3 | role=primary | conf=filename-derived | src=sessions/session-105/session-105-phonon-first-cosmologist-synthesis.md | match='session-105-phonon-first-cosmologist-synthesis.md'
[EDGE:authored_by] gates:105:session-105-w1-workingpaper.md -> researchers:spectral-geometer  # G7 | role=primary | conf=header-parsed | src=sessions/session-105/session-105-w1-workingpaper.md | match='**Agent**: `spectral-geometer`'
[EDGE:authored_by] gates:105:session-105-w1-workingpaper.md -> researchers:lizzi-spectral-functional-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/session-105/session-105-w1-workingpaper.md | match='**Agent**: `lizzi-spectral-functional-theorist`'
[EDGE:authored_by] gates:105:session-105-w2-workingpaper.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/session-105/session-105-w2-workingpaper.md | match='**Agent**: `connes-ncg-theorist`'
[EDGE:authored_by] gates:105:session-105-w3-workingpaper.md -> researchers:berry-geometric-phase-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/session-105/session-105-w3-workingpaper.md | match='**Agent**: `berry-geometric-phase-theorist`'
[EDGE:authored_by] gates:105:session-105-w4-workingpaper.md -> researchers:quantum-acoustics-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/session-105/session-105-w4-workingpaper.md | match='**Agent**: `quantum-acoustics-theorist`'
[EDGE:authored_by] gates:105:session-105-w4-workingpaper.md -> researchers:transit-dynamics-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/session-105/session-105-w4-workingpaper.md | match='**Agent**: `transit-dynamics-theorist`'
[EDGE:authored_by] gates:105:session-105-w5-workingpaper.md -> researchers:lizzi-spectral-functional-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/session-105/session-105-w5-workingpaper.md | match='**Agent**: `lizzi-spectral-functional-theorist`'
[EDGE:authored_by] gates:105:session-105-w6-workingpaper.md -> researchers:gen-physicist  # G7 | role=primary | conf=header-parsed | src=sessions/session-105/session-105-w6-workingpaper.md | match='**Agent**: `gen-physicist` (PASS-AND closeout executor; the two reviewer dispatc'
