## S105 Chain-of-Custody Edges (generated by tools/harvest_chain_of_custody_edges.py)
## Generated: 2026-06-13T17:43:18Z
## Workingpapers scanned: 7
## Verdict files scanned: 1
## Plan files scanned: 10
## Session .md files scanned (cited_in scope): 21
## Total edges (deduped): 36
## Edge types: anchored_in,carries_forward,succ_of
## Extractors: tools/_chain_of_custody_extractors.py (self-test 11/11 PASS)

[EDGE:carries_forward] sessions:105 -> gates:CF-S106-HK-1  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/session-105/session-105-w3-workingpaper.md | match='### CF-S106-HK-1 — Metric-without-curvature joint-wall §VII registry landing'
[EDGE:carries_forward] sessions:105 -> gates:CF-S106-PILLAR-I-VI-IV-TYPEIV-LANDING  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/session-105/session-105-w4-workingpaper.md | match='### CF-S106-PILLAR-I-VI-IV-TYPEIV-LANDING — Pillar I↔VI↔IV cross-pillar bridge r'
[EDGE:carries_forward] sessions:105 -> gates:CF-S106-HK-VIIAG1-RATIO-ANNOTATION  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/session-105/session-105-w6-workingpaper.md | match='### CF-S106-HK-VIIAG1-RATIO-ANNOTATION [Q2 registry-hygiene compute carry-forwar'
[EDGE:carries_forward] sessions:105 -> gates:CF-S106-VIIAG1-ENVELOPE-DIRECT-REDERIVE  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/session-105/session-105-w6-workingpaper.md | match='### CF-S106-VIIAG1-ENVELOPE-DIRECT-REDERIVE [Q2 optional-compute carry-forward; '
[EDGE:carries_forward] sessions:105 -> gates:CF-S106-W7-FINER-LMAX-LENGTH-SPECTRUM  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/session-105/session-105-w7-workingpaper.md | match='### CF-S106-W7-FINER-LMAX-LENGTH-SPECTRUM — Resolution-sufficient length-spectru'
[EDGE:anchored_in] gates:S105-W2-4-SN-NULL -> sessions:105  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-105/s105_gate_verdicts.txt | match='S105-W2-4-SN-NULL: PASS'
[EDGE:anchored_in] gates:S105-LOOP-COUNTING-BINDING -> sessions:105  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-105/s105_gate_verdicts.txt | match='S105-LOOP-COUNTING-BINDING: INFO'
[EDGE:anchored_in] gates:S105-W2-1-BDI-HORIZON-FAITHFULNESS-STAGE1 -> sessions:105  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-105/s105_gate_verdicts.txt | match='S105-W2-1-BDI-HORIZON-FAITHFULNESS-STAGE1: FAIL'
[EDGE:anchored_in] gates:S105-W2-2-OMEGA-FAITHFUL-NORMAL -> sessions:105  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-105/s105_gate_verdicts.txt | match='S105-W2-2-OMEGA-FAITHFUL-NORMAL: PASS'
[EDGE:anchored_in] gates:S105-W5-1-LOG-PERIODIC-HDR -> sessions:105  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-105/s105_gate_verdicts.txt | match='S105-W5-1-LOG-PERIODIC-HDR: INFO'
[EDGE:anchored_in] gates:S105-W7-2-LENGTH-SPECTRUM-FT -> sessions:105  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-105/s105_gate_verdicts.txt | match='S105-W7-2-LENGTH-SPECTRUM-FT: PASS'
[EDGE:anchored_in] gates:S105-W7-1-TRACE-FORMULA-EXACT-ANCHOR -> sessions:105  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-105/s105_gate_verdicts.txt | match='S105-W7-1-TRACE-FORMULA-EXACT-ANCHOR: PASS'
[EDGE:anchored_in] gates:S105-BRANCH-IV-DIRECT-L1314 -> sessions:105  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-105/s105_gate_verdicts.txt | match='S105-BRANCH-IV-DIRECT-L1314: INFO'
[EDGE:anchored_in] gates:S105-EULER-DEFECT-MASKED -> sessions:105  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-105/s105_gate_verdicts.txt | match='S105-EULER-DEFECT-MASKED: PASS'
[EDGE:anchored_in] gates:S105-TYPEIV-EMT-COMPUTE -> sessions:105  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-105/s105_gate_verdicts.txt | match='S105-TYPEIV-EMT-COMPUTE: PASS'
[EDGE:anchored_in] gates:S105-MEMORY-NT-TRANSFER -> sessions:105  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-105/s105_gate_verdicts.txt | match='S105-MEMORY-NT-TRANSFER: PASS'
[EDGE:anchored_in] gates:S105-W7-5-SUBSTRATE-ZETA-ZEROS -> sessions:105  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-105/s105_gate_verdicts.txt | match='S105-W7-5-SUBSTRATE-ZETA-ZEROS: INFO'
[EDGE:anchored_in] gates:S105-AWZ-ANALYTIC -> sessions:105  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-105/s105_gate_verdicts.txt | match='S105-AWZ-ANALYTIC: PASS'
[EDGE:anchored_in] gates:S105-VIIU2-STAGE2-VERIFY -> sessions:105  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-105/s105_gate_verdicts.txt | match='S105-VIIU2-STAGE2-VERIFY: PASS'
[EDGE:anchored_in] gates:S105-VIIAG1-STAGE2-VERIFY -> sessions:105  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-105/s105_gate_verdicts.txt | match='S105-VIIAG1-STAGE2-VERIFY: PASS'
[EDGE:anchored_in] gates:S105-W2-3-AREA-MODULAR-AGREEMENT -> sessions:105  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-105/s105_gate_verdicts.txt | match='S105-W2-3-AREA-MODULAR-AGREEMENT: INFO'
[EDGE:anchored_in] gates:S105-W7-3-BERRY-TABOR-MATCH -> sessions:105  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-105/s105_gate_verdicts.txt | match='S105-W7-3-BERRY-TABOR-MATCH: FAIL'
[EDGE:anchored_in] gates:S105-W7-4-GEODESIC-COMMENSURABILITY -> sessions:105  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-105/s105_gate_verdicts.txt | match='S105-W7-4-GEODESIC-COMMENSURABILITY: FAIL'
[EDGE:anchored_in] gates:S105-W7-6-S3-ZETA-ASYMPTOTICS -> sessions:105  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-105/s105_gate_verdicts.txt | match='S105-W7-6-S3-ZETA-ASYMPTOTICS: INFO'
[EDGE:succ_of] gates:S105-LOOP-COUNTING-BINDING -> gates:S105-BRANCH-IV-DIRECT-L1314  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/session-105-plan-w1.md | match='## §W1-2. S105-LOOP-COUNTING-BINDING'
[EDGE:succ_of] gates:S105-OMEGA-FAITHFUL-NORMAL -> gates:S105-BDI-HORIZON-FAITHFULNESS-STAGE1  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/session-105-plan-w2.md | match='## §W2-2. S105-OMEGA-FAITHFUL-NORMAL (pre-gate — GATES S105-AREA-MODULAR-AGREEMENT)'
[EDGE:succ_of] gates:S105-AREA-MODULAR-AGREEMENT -> gates:S105-OMEGA-FAITHFUL-NORMAL  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/session-105-plan-w2.md | match='## §W2-3. S105-AREA-MODULAR-AGREEMENT (main gate — GATED on §W2-2 PASS)'
[EDGE:succ_of] gates:S105-SN-NULL -> gates:S105-AREA-MODULAR-AGREEMENT  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/session-105-plan-w2.md | match='## §W2-4. S105-SN-NULL'
[EDGE:succ_of] gates:S105-AWZ-ANALYTIC -> gates:S105-EULER-DEFECT-MASKED  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/session-105-plan-w3.md | match='## §W3-2. S105-AWZ-ANALYTIC'
[EDGE:succ_of] gates:S105-TYPEIV-EMT-COMPUTE -> gates:S105-MEMORY-NT-TRANSFER  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/session-105-plan-w4.md | match='## §W4-2. S105-TYPEIV-EMT-COMPUTE'
[EDGE:succ_of] gates:S105-VIIAG1-STAGE2-VERIFY -> gates:S105-VIIU2-STAGE2-VERIFY  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/session-105-plan-w6.md | match='## §W6-2. S105-VIIAG1-STAGE2-VERIFY'
