## S106 Chain-of-Custody Edges (generated by tools/harvest_chain_of_custody_edges.py)
## Generated: 2026-06-13T17:43:18Z
## Workingpapers scanned: 4
## Verdict files scanned: 1
## Plan files scanned: 7
## Session .md files scanned (cited_in scope): 14
## Total edges (deduped): 24
## Edge types: anchored_in,succ_of
## Extractors: tools/_chain_of_custody_extractors.py (self-test 11/11 PASS)

[EDGE:anchored_in] gates:S106-W1-GE-SUBFIT-KAPPA-DRIFT -> sessions:106  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-106/s106_gate_verdicts.txt | match='S106-W1-GE-SUBFIT-KAPPA-DRIFT: PASS'
[EDGE:anchored_in] gates:S106-W1-SFF-UNFOLDING-L12 -> sessions:106  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-106/s106_gate_verdicts.txt | match='S106-W1-SFF-UNFOLDING-L12: PASS'
[EDGE:anchored_in] gates:S106-CDGM-SPACING-CROSS-BLOCK -> sessions:106  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-106/s106_gate_verdicts.txt | match='S106-CDGM-SPACING-CROSS-BLOCK: INFO'
[EDGE:anchored_in] gates:S106-W3-2-PILLAR-I-VI-IV-ENVELOPE -> sessions:106  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-106/s106_gate_verdicts.txt | match='S106-W3-2-PILLAR-I-VI-IV-ENVELOPE: PASS'
[EDGE:anchored_in] gates:S106-W3-4-VIIAG1-ENVELOPE-DIRECT -> sessions:106  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-106/s106_gate_verdicts.txt | match='S106-W3-4-VIIAG1-ENVELOPE-DIRECT: PASS'
[EDGE:anchored_in] gates:S106-OMEGAPRIME-Z-CONSTRUCTION -> sessions:106  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-106/s106_gate_verdicts.txt | match='S106-OMEGAPRIME-Z-CONSTRUCTION: PASS'
[EDGE:anchored_in] gates:S106-W3-1-METRIC-WITHOUT-CURVATURE-LANDING -> sessions:106  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-106/s106_gate_verdicts.txt | match='S106-W3-1-METRIC-WITHOUT-CURVATURE-LANDING: PASS'
[EDGE:anchored_in] gates:S106-OMEGAPRIME-AREA-CLOCK -> sessions:106  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-106/s106_gate_verdicts.txt | match='S106-OMEGAPRIME-AREA-CLOCK: INFO'
[EDGE:anchored_in] gates:S106-W3-3-PILLAR-I-VI-IV-LANDING -> sessions:106  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-106/s106_gate_verdicts.txt | match='S106-W3-3-PILLAR-I-VI-IV-LANDING: PASS'
[EDGE:anchored_in] gates:S106-W1-HIGHL-CACHE-L1416 -> sessions:106  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-106/s106_gate_verdicts.txt | match='S106-W1-HIGHL-CACHE-L1416: PASS'
[EDGE:anchored_in] gates:S106-W1-GE-ANISOTROPY-TREND -> sessions:106  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-106/s106_gate_verdicts.txt | match='S106-W1-GE-ANISOTROPY-TREND: PASS'
[EDGE:anchored_in] gates:S106-VIIAD-STAGE2-VERIFY -> sessions:106  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-106/s106_gate_verdicts.txt | match='S106-VIIAD-STAGE2-VERIFY: PASS'
[EDGE:anchored_in] gates:S106-VIIBZ-STAGE2-VERIFY -> sessions:106  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-106/s106_gate_verdicts.txt | match='S106-VIIBZ-STAGE2-VERIFY: PASS'
[EDGE:anchored_in] gates:S106-W1-LENGTH-REMATCH-P2 -> sessions:106  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-106/s106_gate_verdicts.txt | match='S106-W1-LENGTH-REMATCH-P2: FAIL'
[EDGE:succ_of] gates:S106-W1-SFF-UNFOLDING-L12 -> gates:S106-W1-GE-SUBFIT-KAPPA-DRIFT  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/session-106-plan-w1.md | match='## §W1-2. S106-W1-SFF-UNFOLDING-L12'
[EDGE:succ_of] gates:S106-W1-HIGHL-CACHE-L1416 -> gates:S106-W1-SFF-UNFOLDING-L12  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/session-106-plan-w1.md | match='## §W1-3. S106-W1-HIGHL-CACHE-L1416'
[EDGE:succ_of] gates:S106-W1-GE-ANISOTROPY-TREND -> gates:S106-W1-HIGHL-CACHE-L1416  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/session-106-plan-w1.md | match='## §W1-4. S106-W1-GE-ANISOTROPY-TREND'
[EDGE:succ_of] gates:S106-W1-LENGTH-REMATCH-P2 -> gates:S106-W1-GE-ANISOTROPY-TREND  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/session-106-plan-w1.md | match='## §W1-5. S106-W1-LENGTH-REMATCH-P2'
[EDGE:succ_of] gates:S106-OMEGAPRIME-AREA-CLOCK -> gates:S106-OMEGAPRIME-Z-CONSTRUCTION  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/session-106-plan-w2.md | match='## §W2-2. S106-OMEGAPRIME-AREA-CLOCK'
[EDGE:succ_of] gates:S106-CDGM-SPACING-CROSS-BLOCK -> gates:S106-OMEGAPRIME-AREA-CLOCK  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/session-106-plan-w2.md | match='## §W2-3. S106-CDGM-SPACING-CROSS-BLOCK'
