## S10 Chain-of-Custody Edges (generated by tools/harvest_chain_of_custody_edges.py)
## Generated: 2026-06-13T17:43:18Z
## Workingpapers scanned: 0
## Verdict files scanned: 0
## Plan files scanned: 57
## Session .md files scanned (cited_in scope): 1
## Total edges (deduped): 102
## Edge types: succ_of
## Extractors: tools/_chain_of_custody_extractors.py (self-test 11/11 PASS)

[EDGE:succ_of] gates:S104-SWMAX-MPMATH-EDGE -> gates:S104-VIIAM-L11-ANCHOR  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/session-104-plan-w1.md | match='## §W1-2. S104-SWMAX-MPMATH-EDGE'
[EDGE:succ_of] gates:S104-BRANCH-IV-DIRECT-L1314 -> gates:S104-SWMAX-MPMATH-EDGE  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/session-104-plan-w1.md | match='## §W1-3. S104-BRANCH-IV-DIRECT-L1314'
[EDGE:succ_of] gates:S104-VIIBS-CLAUSE-B-WORDING -> gates:S104-BRANCH-IV-DIRECT-L1314  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/session-104-plan-w1.md | match='## §W1-4. S104-VIIBS-CLAUSE-B-WORDING'
[EDGE:succ_of] gates:S104-PAULI-G9-SUBCURVATURE -> gates:S104-EULER-CLASS-J-DOUBLET  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/session-104-plan-w2.md | match='## §W2-2. S104-PAULI-G9-SUBCURVATURE'
[EDGE:succ_of] gates:S104-LOG-PERIODIC-IMS -> gates:S104-KRYLOV-KCP  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/session-104-plan-w3.md | match='## §W3-2. S104-LOG-PERIODIC-IMS'
[EDGE:succ_of] gates:S104-TYPEIV-EMT-BRIDGE-SPEC -> gates:S104-NONLINEAR-MEMORY-IR-SLOPE  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/session-104-plan-w4.md | match='## §W4-2. S104-TYPEIV-EMT-BRIDGE-SPEC'
[EDGE:succ_of] gates:S104-BMV-SN-CONTRAST-SPEC -> gates:S104-AREA-MODULAR-GENERATOR-SPEC  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/session-104-plan-w5.md | match='## §W5-2. S104-BMV-SN-CONTRAST-SPEC'
[EDGE:succ_of] gates:S104-FRACTON-GOLDSTONE-SPEC -> gates:S104-BMV-SN-CONTRAST-SPEC  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/session-104-plan-w5.md | match='## §W5-3. S104-FRACTON-GOLDSTONE-SPEC'
[EDGE:succ_of] gates:S104-LOOP-COUNTING-ENVELOPE-SPEC -> gates:S104-FRACTON-GOLDSTONE-SPEC  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/session-104-plan-w5.md | match='## §W5-4. S104-LOOP-COUNTING-ENVELOPE-SPEC'
[EDGE:succ_of] gates:S105-LOOP-COUNTING-BINDING -> gates:S105-BRANCH-IV-DIRECT-L1314  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/session-105-plan-w1.md | match='## §W1-2. S105-LOOP-COUNTING-BINDING'
[EDGE:succ_of] gates:S105-OMEGA-FAITHFUL-NORMAL -> gates:S105-BDI-HORIZON-FAITHFULNESS-STAGE1  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/session-105-plan-w2.md | match='## §W2-2. S105-OMEGA-FAITHFUL-NORMAL (pre-gate — GATES S105-AREA-MODULAR-AGREEMENT)'
[EDGE:succ_of] gates:S105-AREA-MODULAR-AGREEMENT -> gates:S105-OMEGA-FAITHFUL-NORMAL  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/session-105-plan-w2.md | match='## §W2-3. S105-AREA-MODULAR-AGREEMENT (main gate — GATED on §W2-2 PASS)'
[EDGE:succ_of] gates:S105-SN-NULL -> gates:S105-AREA-MODULAR-AGREEMENT  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/session-105-plan-w2.md | match='## §W2-4. S105-SN-NULL'
[EDGE:succ_of] gates:S105-AWZ-ANALYTIC -> gates:S105-EULER-DEFECT-MASKED  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/session-105-plan-w3.md | match='## §W3-2. S105-AWZ-ANALYTIC'
[EDGE:succ_of] gates:S105-TYPEIV-EMT-COMPUTE -> gates:S105-MEMORY-NT-TRANSFER  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/session-105-plan-w4.md | match='## §W4-2. S105-TYPEIV-EMT-COMPUTE'
[EDGE:succ_of] gates:S105-VIIAG1-STAGE2-VERIFY -> gates:S105-VIIU2-STAGE2-VERIFY  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/session-105-plan-w6.md | match='## §W6-2. S105-VIIAG1-STAGE2-VERIFY'
[EDGE:succ_of] gates:S105-W7-2-LENGTH-SPECTRUM-FT -> gates:S105-W7-1-TRACE-FORMULA-EXACT-ANCHOR  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/session-105-plan-w7.md | match='## §W7-2. S105-W7-2-LENGTH-SPECTRUM-FT'
[EDGE:succ_of] gates:S105-W7-3-BERRY-TABOR-MATCH -> gates:S105-W7-2-LENGTH-SPECTRUM-FT  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/session-105-plan-w7.md | match='## §W7-3. S105-W7-3-BERRY-TABOR-MATCH'
[EDGE:succ_of] gates:S105-W7-4-GEODESIC-COMMENSURABILITY -> gates:S105-W7-3-BERRY-TABOR-MATCH  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/session-105-plan-w7.md | match='## §W7-4. S105-W7-4-GEODESIC-COMMENSURABILITY'
[EDGE:succ_of] gates:S105-W7-5-SUBSTRATE-ZETA-ZEROS -> gates:S105-W7-4-GEODESIC-COMMENSURABILITY  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/session-105-plan-w7.md | match='## §W7-5. S105-W7-5-SUBSTRATE-ZETA-ZEROS'
[EDGE:succ_of] gates:S105-W7-6-S3-ZETA-ASYMPTOTICS -> gates:S105-W7-5-SUBSTRATE-ZETA-ZEROS  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/session-105-plan-w7.md | match='## §W7-6. S105-W7-6-S3-ZETA-ASYMPTOTICS'
[EDGE:succ_of] gates:S106-W1-SFF-UNFOLDING-L12 -> gates:S106-W1-GE-SUBFIT-KAPPA-DRIFT  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/session-106-plan-w1.md | match='## §W1-2. S106-W1-SFF-UNFOLDING-L12'
[EDGE:succ_of] gates:S106-W1-HIGHL-CACHE-L1416 -> gates:S106-W1-SFF-UNFOLDING-L12  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/session-106-plan-w1.md | match='## §W1-3. S106-W1-HIGHL-CACHE-L1416'
[EDGE:succ_of] gates:S106-W1-GE-ANISOTROPY-TREND -> gates:S106-W1-HIGHL-CACHE-L1416  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/session-106-plan-w1.md | match='## §W1-4. S106-W1-GE-ANISOTROPY-TREND'
[EDGE:succ_of] gates:S106-W1-LENGTH-REMATCH-P2 -> gates:S106-W1-GE-ANISOTROPY-TREND  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/session-106-plan-w1.md | match='## §W1-5. S106-W1-LENGTH-REMATCH-P2'
[EDGE:succ_of] gates:S106-OMEGAPRIME-AREA-CLOCK -> gates:S106-OMEGAPRIME-Z-CONSTRUCTION  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/session-106-plan-w2.md | match='## §W2-2. S106-OMEGAPRIME-AREA-CLOCK'
[EDGE:succ_of] gates:S106-CDGM-SPACING-CROSS-BLOCK -> gates:S106-OMEGAPRIME-AREA-CLOCK  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/session-106-plan-w2.md | match='## §W2-3. S106-CDGM-SPACING-CROSS-BLOCK'
[EDGE:succ_of] gates:S106-PILLAR-I-VI-IV-ENVELOPE -> gates:S106-METRIC-WITHOUT-CURVATURE-LANDING  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/session-106-plan-w3.md | match='## §W3-2. S106-PILLAR-I-VI-IV-ENVELOPE'
[EDGE:succ_of] gates:S106-PILLAR-I-VI-IV-LANDING -> gates:S106-PILLAR-I-VI-IV-ENVELOPE  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/session-106-plan-w3.md | match='## §W3-3. S106-PILLAR-I-VI-IV-LANDING'
[EDGE:succ_of] gates:S106-VIIAG1-ENVELOPE-DIRECT -> gates:S106-PILLAR-I-VI-IV-LANDING  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/session-106-plan-w3.md | match='## §W3-4. S106-VIIAG1-ENVELOPE-DIRECT'
[EDGE:succ_of] gates:S106-VIIAD-STAGE2-VERIFY -> gates:S106-VIIBZ-STAGE2-VERIFY  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/session-106-plan-w4.md | match='## §W4-2. S106-VIIAD-STAGE2-VERIFY'
[EDGE:succ_of] gates:S101-W3-LC-POLE-CERT -> gates:S101-TAU0-OPERATOR-CANONICITY  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-101-plan-w1.md | match='## §W1-2. S101-W3-LC-POLE-CERT'
[EDGE:succ_of] gates:S101-W3-PRONGB-WINDOWED -> gates:S101-W3-LC-POLE-CERT  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-101-plan-w1.md | match='## §W1-3. S101-W3-PRONGB-WINDOWED'
[EDGE:succ_of] gates:S101-VIIAM-ALPHA-ENVELOPE-PIN -> gates:S101-W3-PRONGB-WINDOWED  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-101-plan-w1.md | match='## §W1-4. S101-VIIAM-ALPHA-ENVELOPE-PIN'
[EDGE:succ_of] gates:S101-ENVELOPE-CARRIER-DISCRIMINATE -> gates:S101-W2-BLOCKTRACE-WIDENING  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-101-plan-w2.md | match='## §W2-2. S101-ENVELOPE-CARRIER-DISCRIMINATE'
[EDGE:succ_of] gates:S101-W3-S0-KNOB -> gates:S101-ENVELOPE-CARRIER-DISCRIMINATE  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-101-plan-w2.md | match='## §W2-3. S101-W3-S0-KNOB'
[EDGE:succ_of] gates:S101-W3-QUARK-COMPONENT-ORIENTATION -> gates:S101-W3-S0-KNOB  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-101-plan-w2.md | match='## §W2-4. S101-W3-QUARK-COMPONENT-ORIENTATION'
[EDGE:succ_of] gates:S101-STAR-METRIC-BLOCK-LEMMA -> gates:S101-W3-QUARK-COMPONENT-ORIENTATION  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-101-plan-w2.md | match='## §W2-5. S101-STAR-METRIC-BLOCK-LEMMA'
[EDGE:succ_of] gates:S101-CONNES-DISTANCE-DISCONNECT-BOUNDARY -> gates:S101-STAR-METRIC-BLOCK-LEMMA  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-101-plan-w2.md | match='## §W2-6. S101-CONNES-DISTANCE-DISCONNECT-BOUNDARY'
[EDGE:succ_of] gates:S101-NU-DIRAC-OFFDIAG-TEXTURE -> gates:S101-NU-DIRAC-ENVELOPE-MAP  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-101-plan-w3.md | match='## §W3-2. S101-NU-DIRAC-OFFDIAG-TEXTURE'
[EDGE:succ_of] gates:S101-KAPPA-NU-GREYBODY -> gates:S101-NU-DIRAC-OFFDIAG-TEXTURE  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-101-plan-w3.md | match='## §W3-3. S101-KAPPA-NU-GREYBODY'
[EDGE:succ_of] gates:S101-D5-MD-GAPEQ -> gates:S101-KAPPA-NU-GREYBODY  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-101-plan-w3.md | match='## §W3-4. S101-D5-MD-GAPEQ'
