## S20 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G3
## Files scanned: 19 (+ 0 in workshops/)
## Total edges (deduped): 33
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:participates_in] researchers:connes-ncg-theorist -> data_provenance:data_provenance:sessions/archive/session-20/session-20a-decision-gate.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-20/session-20a-decision-gate.md | match='connes (SD-1)'
[EDGE:participates_in] researchers:coordinator -> data_provenance:data_provenance:sessions/archive/session-20/session-20a-decision-gate.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-20/session-20a-decision-gate.md | match='coordinator (synthesis)'
[EDGE:authored_by] data_provenance:20:session-20b-baptista-collab.md -> researchers:baptista-spacetime-analyst  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-20/session-20b-baptista-collab.md | match='**Author**: Baptista (Spacetime Geometry / KK Theory / Jensen Deformation / Metr'
[EDGE:authored_by] gates:20:session-20b-baptista-collab.md -> researchers:baptista-spacetime-analyst  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-20/session-20b-baptista-collab.md | match='**Author**: Baptista (Spacetime Geometry / KK Theory / Jensen Deformation / Metr'
[EDGE:authored_by] data_provenance:20:session-20b-berry-collab.md -> researchers:berry-geometric-phase-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-20/session-20b-berry-collab.md | match='**Author**: Berry (Geometric Phase / Spectral Statistics / Adiabatic Transport /'
[EDGE:authored_by] gates:20:session-20b-berry-collab.md -> researchers:berry-geometric-phase-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-20/session-20b-berry-collab.md | match='**Author**: Berry (Geometric Phase / Spectral Statistics / Adiabatic Transport /'
[EDGE:authored_by] data_provenance:20:session-20b-connes-collab.md -> researchers:connes-ncg-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-20/session-20b-connes-collab.md | match='**Author**: Connes (Noncommutative Geometry / Spectral Triples / Spectral Action'
[EDGE:authored_by] gates:20:session-20b-connes-collab.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-20/session-20b-connes-collab.md | match='**Author**: Connes (Noncommutative Geometry / Spectral Triples / Spectral Action'
[EDGE:authored_by] data_provenance:20:session-20b-dirac-collab.md -> researchers:dirac-antimatter-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-20/session-20b-dirac-collab.md | match='**Author**: Dirac (Antimatter / CPT Symmetry / Charge Conjugation / Spectral Str'
[EDGE:authored_by] gates:20:session-20b-dirac-collab.md -> researchers:dirac-antimatter-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-20/session-20b-dirac-collab.md | match='**Author**: Dirac (Antimatter / CPT Symmetry / Charge Conjugation / Spectral Str'
[EDGE:authored_by] data_provenance:20:session-20b-einstein-collab.md -> researchers:einstein-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-20/session-20b-einstein-collab.md | match='**Author**: Einstein (Equivalence Principle / GR / Statistical Mechanics)'
[EDGE:authored_by] gates:20:session-20b-einstein-collab.md -> researchers:einstein-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-20/session-20b-einstein-collab.md | match='**Author**: Einstein (Equivalence Principle / GR / Statistical Mechanics)'
[EDGE:authored_by] data_provenance:20:session-20b-feynman-collab.md -> researchers:feynman-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-20/session-20b-feynman-collab.md | match='**Author**: Feynman (Path Integrals / QED / Renormalization / Computation)'
[EDGE:authored_by] gates:20:session-20b-feynman-collab.md -> researchers:feynman-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-20/session-20b-feynman-collab.md | match='**Author**: Feynman (Path Integrals / QED / Renormalization / Computation)'
[EDGE:authored_by] data_provenance:20:session-20b-hawking-collab.md -> researchers:hawking-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-20/session-20b-hawking-collab.md | match='**Author**: Hawking (Black Holes / Information / Semiclassical Gravity / Thermod'
