## S23 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G3
## Files scanned: 21 (+ 0 in workshops/)
## Total edges (deduped): 36
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] data_provenance:23:session-23-sagan-verdict.md -> researchers:sagan-empiricist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-23/session-23-sagan-verdict.md | match='**Author**: Sagan-Empiricist'
[EDGE:authored_by] gates:23:session-23-sagan-verdict.md -> researchers:sagan-empiricist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-23/session-23-sagan-verdict.md | match='**Author**: Sagan-Empiricist'
[EDGE:authored_by] data_provenance:23:session-23-tesla-take-baptista-collab.md -> researchers:baptista-spacetime-analyst  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-23/session-23-tesla-take-baptista-collab.md | match='**Author**: Baptista (Spacetime Analyst)'
[EDGE:authored_by] gates:23:session-23-tesla-take-baptista-collab.md -> researchers:baptista-spacetime-analyst  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-23/session-23-tesla-take-baptista-collab.md | match='**Author**: Baptista (Spacetime Analyst)'
[EDGE:authored_by] data_provenance:23:session-23-tesla-take-berry-collab.md -> researchers:berry-geometric-phase-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-23/session-23-tesla-take-berry-collab.md | match='**Author**: Berry (Geometric Phase Theorist)'
[EDGE:authored_by] gates:23:session-23-tesla-take-berry-collab.md -> researchers:berry-geometric-phase-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-23/session-23-tesla-take-berry-collab.md | match='**Author**: Berry (Geometric Phase Theorist)'
[EDGE:authored_by] data_provenance:23:session-23-tesla-take-connes-collab.md -> researchers:connes-ncg-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-23/session-23-tesla-take-connes-collab.md | match='**Author**: Connes (NCG Theorist)'
[EDGE:authored_by] gates:23:session-23-tesla-take-connes-collab.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-23/session-23-tesla-take-connes-collab.md | match='**Author**: Connes (NCG Theorist)'
[EDGE:authored_by] data_provenance:23:session-23-tesla-take-dirac-collab.md -> researchers:dirac-antimatter-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-23/session-23-tesla-take-dirac-collab.md | match='**Author**: Dirac (Antimatter Theorist)'
[EDGE:authored_by] gates:23:session-23-tesla-take-dirac-collab.md -> researchers:dirac-antimatter-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-23/session-23-tesla-take-dirac-collab.md | match='**Author**: Dirac (Antimatter Theorist)'
[EDGE:authored_by] data_provenance:23:session-23-tesla-take-einstein-collab.md -> researchers:einstein-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-23/session-23-tesla-take-einstein-collab.md | match='**Author**: Einstein'
[EDGE:authored_by] gates:23:session-23-tesla-take-einstein-collab.md -> researchers:einstein-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-23/session-23-tesla-take-einstein-collab.md | match='**Author**: Einstein'
[EDGE:authored_by] data_provenance:23:session-23-tesla-take-feynman-collab.md -> researchers:feynman-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-23/session-23-tesla-take-feynman-collab.md | match='**Author**: Feynman'
[EDGE:authored_by] gates:23:session-23-tesla-take-feynman-collab.md -> researchers:feynman-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-23/session-23-tesla-take-feynman-collab.md | match='**Author**: Feynman'
