## S25 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G3
## Files scanned: 40 (+ 0 in workshops/)
## Total edges (deduped): 51
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] data_provenance:25:session-25-baptista-collab.md -> researchers:baptista-spacetime-analyst  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-25/session-25-baptista-collab.md | match='**Author**: Baptista-Spacetime-Analyst'
[EDGE:authored_by] gates:25:session-25-baptista-collab.md -> researchers:baptista-spacetime-analyst  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-25/session-25-baptista-collab.md | match='**Author**: Baptista-Spacetime-Analyst'
[EDGE:authored_by] data_provenance:25:session-25-berry-collab.md -> researchers:berry-geometric-phase-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-25/session-25-berry-collab.md | match='**Author**: Berry-Geometric-Phase-Theorist'
[EDGE:authored_by] gates:25:session-25-berry-collab.md -> researchers:berry-geometric-phase-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-25/session-25-berry-collab.md | match='**Author**: Berry-Geometric-Phase-Theorist'
[EDGE:authored_by] data_provenance:25:session-25-connes-collab.md -> researchers:connes-ncg-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-25/session-25-connes-collab.md | match='**Author**: Connes-NCG-Theorist'
[EDGE:authored_by] gates:25:session-25-connes-collab.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-25/session-25-connes-collab.md | match='**Author**: Connes-NCG-Theorist'
[EDGE:authored_by] data_provenance:25:session-25-dirac-collab.md -> researchers:dirac-antimatter-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-25/session-25-dirac-collab.md | match='**Author**: Dirac-Antimatter-Theorist'
[EDGE:authored_by] gates:25:session-25-dirac-collab.md -> researchers:dirac-antimatter-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-25/session-25-dirac-collab.md | match='**Author**: Dirac-Antimatter-Theorist'
[EDGE:authored_by] data_provenance:25:session-25-einstein-collab.md -> researchers:einstein-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-25/session-25-einstein-collab.md | match='**Author**: Einstein-Theorist'
[EDGE:authored_by] gates:25:session-25-einstein-collab.md -> researchers:einstein-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-25/session-25-einstein-collab.md | match='**Author**: Einstein-Theorist'
[EDGE:authored_by] data_provenance:25:session-25-feynman-collab.md -> researchers:feynman-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-25/session-25-feynman-collab.md | match='**Author**: Feynman-Theorist'
[EDGE:authored_by] gates:25:session-25-feynman-collab.md -> researchers:feynman-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-25/session-25-feynman-collab.md | match='**Author**: Feynman-Theorist'
