## S28 Chain-of-Custody Edges (generated by tools/harvest_chain_of_custody_edges.py)
## Generated: 2026-06-13T17:43:18Z
## Workingpapers scanned: 0
## Verdict files scanned: 3
## Plan files scanned: 4
## Session .md files scanned (cited_in scope): 26
## Total edges (deduped): 12
## Edge types: cited_in
## Extractors: tools/_chain_of_custody_extractors.py (self-test 11/11 PASS)

[EDGE:cited_in] researchers:baptista-spacetime-analyst -> sessions:28  # RESEARCHER_PATH_RE | role=paper-cited | conf=path-citation | src=sessions/archive/session-28/session-28-baptista-constraint-audit.md | match='researchers/Baptista/'
[EDGE:cited_in] researchers:berry-geometric-phase-theorist -> sessions:28  # RESEARCHER_PATH_RE | role=paper-cited | conf=path-citation | src=sessions/archive/session-28/session-28-berry-collab.md | match='researchers/Berry/'
[EDGE:cited_in] researchers:connes-ncg-theorist -> sessions:28  # RESEARCHER_PATH_RE | role=paper-cited | conf=path-citation | src=sessions/archive/session-28/session-28-connes-collab.md | match='researchers/Connes/'
[EDGE:cited_in] researchers:cosmic-web-theorist -> sessions:28  # RESEARCHER_PATH_RE | role=paper-cited | conf=path-citation | src=sessions/archive/session-28/session-28-cosmic-web-collab.md | match='researchers/Cosmic-Web/'
[EDGE:cited_in] researchers:dirac-antimatter-theorist -> sessions:28  # RESEARCHER_PATH_RE | role=paper-cited | conf=path-citation | src=sessions/archive/session-28/session-28-dirac-collab.md | match='researchers/Antimatter/'
[EDGE:cited_in] researchers:einstein-theorist -> sessions:28  # RESEARCHER_PATH_RE | role=paper-cited | conf=path-citation | src=sessions/archive/session-28/session-28-einstein-collab.md | match='researchers/Einstein/'
[EDGE:cited_in] researchers:hawking-theorist -> sessions:28  # RESEARCHER_PATH_RE | role=paper-cited | conf=path-citation | src=sessions/archive/session-28/session-28-hawking-collab.md | match='researchers/Hawking/'
[EDGE:cited_in] researchers:kaluza-klein-theorist -> sessions:28  # RESEARCHER_PATH_RE | role=paper-cited | conf=path-citation | src=sessions/archive/session-28/session-28-kk-collab.md | match='researchers/Kaluza-Klein/'
[EDGE:cited_in] researchers:landau-condensed-matter-theorist -> sessions:28  # RESEARCHER_PATH_RE | role=paper-cited | conf=path-citation | src=sessions/archive/session-28/session-28-landau-collab.md | match='researchers/Landau/'
[EDGE:cited_in] researchers:neutrino-detection-specialist -> sessions:28  # RESEARCHER_PATH_RE | role=paper-cited | conf=path-citation | src=sessions/archive/session-28/session-28-neutrino-collab.md | match='researchers/Neutrino-Detection/'
[EDGE:cited_in] researchers:paasch-mass-quantization-analyst -> sessions:28  # RESEARCHER_PATH_RE | role=paper-cited | conf=path-citation | src=sessions/archive/session-28/session-28-paasch-collab.md | match='researchers/Paasch/'
[EDGE:cited_in] researchers:tesla-resonance -> sessions:28  # RESEARCHER_PATH_RE | role=paper-cited | conf=path-citation | src=sessions/archive/session-28/session-28-tesla-collab.md | match='researchers/Tesla-Resonance/'
