## S29 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G3
## Files scanned: 35 (+ 0 in workshops/)
## Total edges (deduped): 36
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] data_provenance:29:session-29-baptista-collab.md -> researchers:baptista-spacetime-analyst  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-29/session-29-baptista-collab.md | match='**Author**: Baptista (Spacetime Analyst)'
[EDGE:authored_by] gates:29:session-29-baptista-collab.md -> researchers:baptista-spacetime-analyst  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-29/session-29-baptista-collab.md | match='**Author**: Baptista (Spacetime Analyst)'
[EDGE:authored_by] data_provenance:29:session-29-berry-collab.md -> researchers:berry-geometric-phase-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-29/session-29-berry-collab.md | match='**Author**: Berry (Geometric Phase Theorist)'
[EDGE:authored_by] gates:29:session-29-berry-collab.md -> researchers:berry-geometric-phase-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-29/session-29-berry-collab.md | match='**Author**: Berry (Geometric Phase Theorist)'
[EDGE:authored_by] data_provenance:29:session-29-connes-collab.md -> researchers:connes-ncg-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-29/session-29-connes-collab.md | match='**Author**: Connes (connes-ncg-theorist)'
[EDGE:authored_by] gates:29:session-29-connes-collab.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-29/session-29-connes-collab.md | match='**Author**: Connes (connes-ncg-theorist)'
[EDGE:authored_by] data_provenance:29:session-29-cosmic-web-collab.md -> researchers:cosmic-web-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-29/session-29-cosmic-web-collab.md | match='**Author**: Cosmic Web Theorist'
[EDGE:authored_by] gates:29:session-29-cosmic-web-collab.md -> researchers:cosmic-web-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-29/session-29-cosmic-web-collab.md | match='**Author**: Cosmic Web Theorist'
[EDGE:authored_by] data_provenance:29:session-29-dirac-collab.md -> researchers:dirac-antimatter-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-29/session-29-dirac-collab.md | match='**Author**: Dirac (Antimatter Theorist)'
[EDGE:authored_by] gates:29:session-29-dirac-collab.md -> researchers:dirac-antimatter-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-29/session-29-dirac-collab.md | match='**Author**: Dirac (Antimatter Theorist)'
[EDGE:authored_by] data_provenance:29:session-29-einstein-collab.md -> researchers:einstein-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-29/session-29-einstein-collab.md | match='**Author**: Einstein'
[EDGE:authored_by] gates:29:session-29-einstein-collab.md -> researchers:einstein-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-29/session-29-einstein-collab.md | match='**Author**: Einstein'
[EDGE:authored_by] data_provenance:29:session-29-excursion-connes-collab.md -> researchers:connes-ncg-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-29/session-29-excursion-connes-collab.md | match='**Author**: Connes (NCG Theorist)'
[EDGE:authored_by] gates:29:session-29-excursion-connes-collab.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-29/session-29-excursion-connes-collab.md | match='**Author**: Connes (NCG Theorist)'
