## S30 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G3
## Files scanned: 7 (+ 0 in workshops/)
## Total edges (deduped): 11
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] data_provenance:30:session-30-master-synthesis-baptista-collab.md -> researchers:baptista-spacetime-analyst  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-30/session-30-master-synthesis-baptista-collab.md | match='**Author**: Baptista Spacetime Analyst'
[EDGE:authored_by] gates:30:session-30-master-synthesis-baptista-collab.md -> researchers:baptista-spacetime-analyst  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-30/session-30-master-synthesis-baptista-collab.md | match='**Author**: Baptista Spacetime Analyst'
[EDGE:participates_in] researchers:einstein-theorist -> data_provenance:data_provenance:sessions/archive/session-30/session-30-master-synthesis.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-30/session-30-master-synthesis.md | match='einstein (einstein-theorist)'
[EDGE:participates_in] researchers:baptista-spacetime-analyst -> data_provenance:data_provenance:sessions/archive/session-30/session-30-master-synthesis.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-30/session-30-master-synthesis.md | match='baptista (baptista-spacetime-analyst)'
[EDGE:participates_in] researchers:tesla-resonance -> data_provenance:data_provenance:sessions/archive/session-30/session-30-master-synthesis.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-30/session-30-master-synthesis.md | match='tesla (tesla-resonance)'
[EDGE:participates_in] researchers:einstein-theorist -> data_provenance:data_provenance:sessions/archive/session-30/session-30Aa-synthesis.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-30/session-30Aa-synthesis.md | match='einstein (einstein-theorist)'
[EDGE:participates_in] researchers:baptista-spacetime-analyst -> data_provenance:data_provenance:sessions/archive/session-30/session-30Aa-synthesis.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-30/session-30Aa-synthesis.md | match='baptista (baptista-spacetime-analyst)'
[EDGE:reviewed_by] data_provenance:30:session-30ab-einstein-review.md -> researchers:einstein-theorist  # G3 | role=adversarial_review | conf=header-parsed | src=sessions/archive/session-30/session-30ab-einstein-review.md | match='**Reviewer**: Einstein-Theorist (solo, post-session review)'
[EDGE:participates_in] researchers:baptista-spacetime-analyst -> data_provenance:data_provenance:sessions/archive/session-30/session-30ab-synthesis.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-30/session-30ab-synthesis.md | match='baptista (baptista-spacetime-analyst)'
[EDGE:authored_by] data_provenance:30:session-30Ba-synthesis.md -> researchers:tesla-resonance  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-30/session-30Ba-synthesis.md | match='**Author**: Tesla (tesla-resonance)'
[EDGE:authored_by] gates:30:session-30Ba-synthesis.md -> researchers:tesla-resonance  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-30/session-30Ba-synthesis.md | match='**Author**: Tesla (tesla-resonance)'
