## S35 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G3
## Files scanned: 6 (+ 0 in workshops/)
## Total edges (deduped): 39
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:participates_in] researchers:connes-ncg-theorist -> data_provenance:data_provenance:sessions/archive/session-35/session-35-connes-spectral-geometer-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-35/session-35-connes-spectral-geometer-workshop.md | match='connes (connes-ncg-theorist)'
[EDGE:participates_in] researchers:spectral-geometer -> data_provenance:data_provenance:sessions/archive/session-35/session-35-connes-spectral-geometer-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-35/session-35-connes-spectral-geometer-workshop.md | match='spectral-geometer (spectral-geometer)'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:data_provenance:sessions/archive/session-35/session-35-connes-spectral-geometer-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-35/session-35-connes-spectral-geometer-workshop.md | match='## Round 1 — connes'
[EDGE:authored_round] researchers:spectral-geometer -> data_provenance:data_provenance:sessions/archive/session-35/session-35-connes-spectral-geometer-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-35/session-35-connes-spectral-geometer-workshop.md | match='## Round 1 — spectral-geometer'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:data_provenance:sessions/archive/session-35/session-35-connes-spectral-geometer-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-35/session-35-connes-spectral-geometer-workshop.md | match='## Round 2 — connes'
[EDGE:authored_round] researchers:spectral-geometer -> data_provenance:data_provenance:sessions/archive/session-35/session-35-connes-spectral-geometer-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-35/session-35-connes-spectral-geometer-workshop.md | match='## Round 2 — spectral-geometer'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:data_provenance:sessions/archive/session-35/session-35-connes-spectral-geometer-workshop.md#round-3  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-35/session-35-connes-spectral-geometer-workshop.md | match='## Round 3 — connes'
[EDGE:authored_round] researchers:spectral-geometer -> data_provenance:data_provenance:sessions/archive/session-35/session-35-connes-spectral-geometer-workshop.md#round-3  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-35/session-35-connes-spectral-geometer-workshop.md | match='## Round 3 — spectral-geometer'
[EDGE:participates_in] researchers:feynman-theorist -> data_provenance:data_provenance:sessions/archive/session-35/session-35-feynman-landau-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-35/session-35-feynman-landau-workshop.md | match='feynman (feynman-theorist)'
[EDGE:participates_in] researchers:landau-condensed-matter-theorist -> data_provenance:data_provenance:sessions/archive/session-35/session-35-feynman-landau-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-35/session-35-feynman-landau-workshop.md | match='landau (landau-condensed-matter-theorist)'
[EDGE:participates_in] researchers:kaluza-klein-theorist -> data_provenance:data_provenance:sessions/archive/session-35/session-35-kk-berry-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-35/session-35-kk-berry-workshop.md | match='kk (kaluza-klein-theorist)'
