## S35 Chain-of-Custody Edges (generated by tools/harvest_chain_of_custody_edges.py)
## Generated: 2026-06-13T17:43:18Z
## Workingpapers scanned: 1
## Verdict files scanned: 1
## Plan files scanned: 1
## Session .md files scanned (cited_in scope): 6
## Total edges (deduped): 16
## Edge types: anchored_in,cited_in
## Extractors: tools/_chain_of_custody_extractors.py (self-test 11/11 PASS)

[EDGE:anchored_in] gates:NEFF-THOULESS-35 -> sessions:35  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-35/s35_gate_verdicts.txt | match='NEFF-THOULESS-35: PASS'
[EDGE:anchored_in] gates:ED-CORRECTED-35 -> sessions:35  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-35/s35_gate_verdicts.txt | match='ED-CORRECTED-35: PASS'
[EDGE:anchored_in] gates:RG-BCS-35 -> sessions:35  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-35/s35_gate_verdicts.txt | match='RG-BCS-35: PASS'
[EDGE:anchored_in] gates:VH-SENS-35 -> sessions:35  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-35/s35_gate_verdicts.txt | match='VH-SENS-35: PASS'
[EDGE:anchored_in] gates:COH-35 -> sessions:35  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-35/s35_gate_verdicts.txt | match='COH-35: PASS'
[EDGE:anchored_in] gates:IMP-35 -> sessions:35  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-35/s35_gate_verdicts.txt | match='IMP-35: PASS'
[EDGE:anchored_in] gates:SECT-B2-35 -> sessions:35  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-35/s35_gate_verdicts.txt | match='SECT-B2-35: PASS'
[EDGE:anchored_in] gates:PMNS-CORRECTED-35 -> sessions:35  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-35/s35_gate_verdicts.txt | match='PMNS-CORRECTED-35: FAIL'
[EDGE:anchored_in] gates:PT-RATIO-35 -> sessions:35  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-35/s35_gate_verdicts.txt | match='PT-RATIO-35: FAIL'
[EDGE:anchored_in] gates:ENTROPY-35 -> sessions:35  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-35/s35_gate_verdicts.txt | match='ENTROPY-35: FAIL'
[EDGE:anchored_in] gates:PF-J-35 -> sessions:35  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-35/s35_gate_verdicts.txt | match='PF-J-35: PASS'
[EDGE:anchored_in] gates:K7-DPHYS-35 -> sessions:35  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-35/s35_gate_verdicts.txt | match='K7-DPHYS-35: INFO'
[EDGE:anchored_in] gates:SPEC-35 -> sessions:35  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-35/s35_gate_verdicts.txt | match='SPEC-35: PASS'
[EDGE:anchored_in] gates:OPT-35 -> sessions:35  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-35/s35_gate_verdicts.txt | match='OPT-35: PASS'
[EDGE:cited_in] researchers:spectral-geometer -> sessions:35  # RESEARCHER_PATH_RE | role=paper-cited | conf=path-citation | src=sessions/archive/session-35/session-35-connes-spectral-geometer-workshop.md | match='researchers/Spectral-Geometry/'
[EDGE:cited_in] researchers:connes-ncg-theorist -> sessions:35  # RESEARCHER_PATH_RE | role=paper-cited | conf=path-citation | src=sessions/archive/session-35/session-35-KK-NCG-Excursion.md | match='researchers/Connes/'
