## S38 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G4
## Files scanned: 10 (+ 0 in workshops/)
## Total edges (deduped): 17
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] data_provenance:38:session-38-baptista-collab.md -> researchers:baptista-spacetime-analyst  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-38/session-38-baptista-collab.md | match='**Author**: Baptista (baptista-spacetime-analyst)'
[EDGE:authored_by] gates:38:session-38-baptista-collab.md -> researchers:baptista-spacetime-analyst  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-38/session-38-baptista-collab.md | match='**Author**: Baptista (baptista-spacetime-analyst)'
[EDGE:participates_in] researchers:einstein-theorist -> data_provenance:data_provenance:sessions/archive/session-38/session-38-einstein-naz-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-38/session-38-einstein-naz-workshop.md | match='einstein-theorist (interpretation)'
[EDGE:participates_in] researchers:nazarewicz-nuclear-structure-theorist -> data_provenance:data_provenance:sessions/archive/session-38/session-38-einstein-naz-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-38/session-38-einstein-naz-workshop.md | match='nazarewicz-nuclear-structure-theorist (computation)'
[EDGE:authored_round] researchers:einstein-theorist -> data_provenance:data_provenance:sessions/archive/session-38/session-38-einstein-naz-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-38/session-38-einstein-naz-workshop.md | match='## Round 1: Einstein'
[EDGE:authored_round] researchers:nazarewicz-nuclear-structure-theorist -> data_provenance:data_provenance:sessions/archive/session-38/session-38-einstein-naz-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-38/session-38-einstein-naz-workshop.md | match='## Round 1: Nazarewicz'
[EDGE:authored_round] researchers:einstein-theorist -> data_provenance:data_provenance:sessions/archive/session-38/session-38-einstein-naz-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-38/session-38-einstein-naz-workshop.md | match='## Round 2: Einstein'
[EDGE:authored_round] researchers:nazarewicz-nuclear-structure-theorist -> data_provenance:data_provenance:sessions/archive/session-38/session-38-einstein-naz-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-38/session-38-einstein-naz-workshop.md | match='## Round 2: Nazarewicz'
[EDGE:authored_round] researchers:nazarewicz-nuclear-structure-theorist -> data_provenance:data_provenance:sessions/archive/session-38/session-38-naz-qa-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-38/session-38-naz-qa-workshop.md | match='## Round 1: Nazarewicz'
[EDGE:authored_round] researchers:nazarewicz-nuclear-structure-theorist -> data_provenance:data_provenance:sessions/archive/session-38/session-38-naz-qa-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-38/session-38-naz-qa-workshop.md | match='## Round 2: Nazarewicz'
[EDGE:authored_by] data_provenance:38:session-38-nazarewicz-collab.md -> researchers:nazarewicz-nuclear-structure-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-38/session-38-nazarewicz-collab.md | match='**Author**: Nazarewicz (nazarewicz-nuclear-structure-theorist)'
[EDGE:authored_by] gates:38:session-38-nazarewicz-collab.md -> researchers:nazarewicz-nuclear-structure-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-38/session-38-nazarewicz-collab.md | match='**Author**: Nazarewicz (nazarewicz-nuclear-structure-theorist)'
[EDGE:authored_by] data_provenance:38:session-38-quantum-acoustics-collab.md -> researchers:quantum-acoustics-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-38/session-38-quantum-acoustics-collab.md | match='**Author**: Quantum Acoustics (quantum-acoustics-theorist)'
[EDGE:authored_by] gates:38:session-38-quantum-acoustics-collab.md -> researchers:quantum-acoustics-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-38/session-38-quantum-acoustics-collab.md | match='**Author**: Quantum Acoustics (quantum-acoustics-theorist)'
[EDGE:authored_by] gates:38:session-38-results-workingpaper.md -> researchers:nazarewicz-nuclear-structure-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-38/session-38-results-workingpaper.md | match='**Agent**: nazarewicz'
[EDGE:authored_by] gates:38:session-38-results-workingpaper.md -> researchers:gen-physicist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-38/session-38-results-workingpaper.md | match='**Agent**: gen-physicist'
[EDGE:authored_by] gates:38:session-38-results-workingpaper.md -> researchers:kitaev-quantum-chaos-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-38/session-38-results-workingpaper.md | match='**Agent**: kitaev-quantum-chaos-theorist'
