## S39 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G4
## Files scanned: 9 (+ 0 in workshops/)
## Total edges (deduped): 22
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] data_provenance:39:session-39-einstein-collab.md -> researchers:einstein-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-39/session-39-einstein-collab.md | match='**Author**: Einstein (einstein-theorist)'
[EDGE:authored_by] gates:39:session-39-einstein-collab.md -> researchers:einstein-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-39/session-39-einstein-collab.md | match='**Author**: Einstein (einstein-theorist)'
[EDGE:authored_by] data_provenance:39:session-39-hawking-collab.md -> researchers:hawking-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-39/session-39-hawking-collab.md | match='**Author**: Hawking (hawking-theorist)'
[EDGE:authored_by] gates:39:session-39-hawking-collab.md -> researchers:hawking-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-39/session-39-hawking-collab.md | match='**Author**: Hawking (hawking-theorist)'
[EDGE:authored_by] data_provenance:39:session-39-naz-collab.md -> researchers:nazarewicz-nuclear-structure-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-39/session-39-naz-collab.md | match='**Author**: Nazarewicz (nazarewicz-nuclear-structure-theorist)'
[EDGE:authored_by] gates:39:session-39-naz-collab.md -> researchers:nazarewicz-nuclear-structure-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-39/session-39-naz-collab.md | match='**Author**: Nazarewicz (nazarewicz-nuclear-structure-theorist)'
[EDGE:participates_in] researchers:nazarewicz-nuclear-structure-theorist -> data_provenance:data_provenance:sessions/archive/session-39/session-39-naz-hawking-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-39/session-39-naz-hawking-workshop.md | match='nazarewicz (nazarewicz-nuclear-structure-theorist)'
[EDGE:participates_in] researchers:hawking-theorist -> data_provenance:data_provenance:sessions/archive/session-39/session-39-naz-hawking-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-39/session-39-naz-hawking-workshop.md | match='hawking (hawking-theorist)'
[EDGE:authored_round] researchers:nazarewicz-nuclear-structure-theorist -> data_provenance:data_provenance:sessions/archive/session-39/session-39-naz-hawking-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-39/session-39-naz-hawking-workshop.md | match='## Round 1 — nazarewicz'
[EDGE:authored_round] researchers:hawking-theorist -> data_provenance:data_provenance:sessions/archive/session-39/session-39-naz-hawking-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-39/session-39-naz-hawking-workshop.md | match='## Round 1 — hawking'
[EDGE:authored_round] researchers:nazarewicz-nuclear-structure-theorist -> data_provenance:data_provenance:sessions/archive/session-39/session-39-naz-hawking-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-39/session-39-naz-hawking-workshop.md | match='## Round 2 — nazarewicz'
[EDGE:authored_round] researchers:hawking-theorist -> data_provenance:data_provenance:sessions/archive/session-39/session-39-naz-hawking-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-39/session-39-naz-hawking-workshop.md | match='## Round 2 — hawking'
[EDGE:authored_round] researchers:nazarewicz-nuclear-structure-theorist -> data_provenance:data_provenance:sessions/archive/session-39/session-39-naz-hawking-workshop.md#round-3  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-39/session-39-naz-hawking-workshop.md | match='## Round 3 — nazarewicz'
[EDGE:authored_round] researchers:hawking-theorist -> data_provenance:data_provenance:sessions/archive/session-39/session-39-naz-hawking-workshop.md#round-3  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-39/session-39-naz-hawking-workshop.md | match='## Round 3 — hawking'
[EDGE:authored_by] data_provenance:39:session-39-penrose-diagrams.md -> researchers:schwarzschild-penrose-geometer  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-39/session-39-penrose-diagrams.md | match='**Author**: Schwarzschild-Penrose (schwarzschild-penrose-geometer)'
[EDGE:authored_by] gates:39:session-39-penrose-diagrams.md -> researchers:schwarzschild-penrose-geometer  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-39/session-39-penrose-diagrams.md | match='**Author**: Schwarzschild-Penrose (schwarzschild-penrose-geometer)'
[EDGE:authored_by] data_provenance:39:session-39-results-workingpaper.md -> researchers:nazarewicz-nuclear-structure-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-39/session-39-results-workingpaper.md | match='**Author**: nazarewicz-nuclear-structure-theorist (Session 39 independent review'
[EDGE:authored_by] gates:39:session-39-results-workingpaper.md -> researchers:nazarewicz-nuclear-structure-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-39/session-39-results-workingpaper.md | match='**Author**: nazarewicz-nuclear-structure-theorist (Session 39 independent review'
[EDGE:authored_by] data_provenance:39:session-39-sp-collab.md -> researchers:schwarzschild-penrose-geometer  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-39/session-39-sp-collab.md | match='**Author**: Schwarzschild-Penrose (schwarzschild-penrose-geometer)'
