## S40 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G4
## Files scanned: 38 (+ 0 in workshops/)
## Total edges (deduped): 69
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] data_provenance:40:session-40-baptista-collab-addendum.md -> researchers:baptista-spacetime-analyst  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-40/session-40-baptista-collab-addendum.md | match='**Author**: Baptista (Spacetime Analysis, KK Geometry, Metric Spaces)'
[EDGE:authored_by] gates:40:session-40-baptista-collab-addendum.md -> researchers:baptista-spacetime-analyst  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-40/session-40-baptista-collab-addendum.md | match='**Author**: Baptista (Spacetime Analysis, KK Geometry, Metric Spaces)'
[EDGE:authored_by] data_provenance:40:session-40-baptista-collab.md -> researchers:baptista-spacetime-analyst  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-40/session-40-baptista-collab.md | match='**Author**: Baptista (Spacetime Analysis, KK Geometry, Metric Spaces)'
[EDGE:authored_by] gates:40:session-40-baptista-collab.md -> researchers:baptista-spacetime-analyst  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-40/session-40-baptista-collab.md | match='**Author**: Baptista (Spacetime Analysis, KK Geometry, Metric Spaces)'
[EDGE:authored_by] data_provenance:40:session-40-berry-collab.md -> researchers:berry-geometric-phase-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-40/session-40-berry-collab.md | match='**Author**: Berry (Geometric Phases, Adiabatic Transport, Spectral Statistics, L'
[EDGE:authored_by] gates:40:session-40-berry-collab.md -> researchers:berry-geometric-phase-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-40/session-40-berry-collab.md | match='**Author**: Berry (Geometric Phases, Adiabatic Transport, Spectral Statistics, L'
[EDGE:authored_by] data_provenance:40:session-40-connes-collab.md -> researchers:connes-ncg-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-40/session-40-connes-collab.md | match='**Author**: Connes (Noncommutative Geometry, Spectral Triples, Spectral Action)'
[EDGE:authored_by] gates:40:session-40-connes-collab.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-40/session-40-connes-collab.md | match='**Author**: Connes (Noncommutative Geometry, Spectral Triples, Spectral Action)'
[EDGE:authored_by] data_provenance:40:session-40-cosmic-web-collab.md -> researchers:cosmic-web-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-40/session-40-cosmic-web-collab.md | match='**Author**: Cosmic Web (Large-Scale Structure, Superfluid Cosmology, Void Statis'
[EDGE:authored_by] gates:40:session-40-cosmic-web-collab.md -> researchers:cosmic-web-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-40/session-40-cosmic-web-collab.md | match='**Author**: Cosmic Web (Large-Scale Structure, Superfluid Cosmology, Void Statis'
[EDGE:authored_by] data_provenance:40:session-40-dirac-collab-addendum.md -> researchers:dirac-antimatter-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-40/session-40-dirac-collab-addendum.md | match='**Author**: Dirac (Antimatter Physics, CPT Symmetry, Real Structure J)'
[EDGE:authored_by] gates:40:session-40-dirac-collab-addendum.md -> researchers:dirac-antimatter-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-40/session-40-dirac-collab-addendum.md | match='**Author**: Dirac (Antimatter Physics, CPT Symmetry, Real Structure J)'
[EDGE:authored_by] data_provenance:40:session-40-dirac-collab.md -> researchers:dirac-antimatter-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-40/session-40-dirac-collab.md | match='**Author**: Dirac (Antimatter Physics, CPT Symmetry, Real Structure J)'
[EDGE:authored_by] gates:40:session-40-dirac-collab.md -> researchers:dirac-antimatter-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-40/session-40-dirac-collab.md | match='**Author**: Dirac (Antimatter Physics, CPT Symmetry, Real Structure J)'
[EDGE:authored_by] data_provenance:40:session-40-einstein-addenda-nazarewicz-addendum.md -> researchers:nazarewicz-nuclear-structure-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-40/session-40-einstein-addenda-nazarewicz-addendum.md | match='**Author**: Nazarewicz (Nuclear Structure, DFT, BCS Pairing)'
