## S41 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G4
## Files scanned: 11 (+ 0 in workshops/)
## Total edges (deduped): 14
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] data_provenance:41:session-41-sidequest-lcdm-void-assumptions.md -> researchers:cosmic-web-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-41/session-41-sidequest-lcdm-void-assumptions.md | match='**Author**: Cosmic-Web-Theorist'
[EDGE:authored_by] gates:41:session-41-sidequest-lcdm-void-assumptions.md -> researchers:cosmic-web-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-41/session-41-sidequest-lcdm-void-assumptions.md | match='**Author**: Cosmic-Web-Theorist'
[EDGE:authored_by] data_provenance:41:session-41-sidequest-voids-as-crystal-relics.md -> researchers:cosmic-web-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-41/session-41-sidequest-voids-as-crystal-relics.md | match='**Author**: Cosmic-Web-Theorist'
[EDGE:authored_by] gates:41:session-41-sidequest-voids-as-crystal-relics.md -> researchers:cosmic-web-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-41/session-41-sidequest-voids-as-crystal-relics.md | match='**Author**: Cosmic-Web-Theorist'
[EDGE:authored_by] data_provenance:41:session-41-sidequest-voids-framework-targets.md -> researchers:cosmic-web-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-41/session-41-sidequest-voids-framework-targets.md | match='**Author**: Cosmic-Web-Theorist'
[EDGE:authored_by] gates:41:session-41-sidequest-voids-framework-targets.md -> researchers:cosmic-web-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-41/session-41-sidequest-voids-framework-targets.md | match='**Author**: Cosmic-Web-Theorist'
[EDGE:authored_by] data_provenance:41:session-41-w3-1-cmb-substrate-collab.md -> researchers:tesla-resonance  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-41/session-41-w3-1-cmb-substrate-collab.md | match='**Author**: Tesla-Resonance'
[EDGE:authored_by] gates:41:session-41-w3-1-cmb-substrate-collab.md -> researchers:tesla-resonance  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-41/session-41-w3-1-cmb-substrate-collab.md | match='**Author**: Tesla-Resonance'
[EDGE:authored_by] data_provenance:41:session-41-w3-1b-quantum-acoustics-collab.md -> researchers:quantum-acoustics-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-41/session-41-w3-1b-quantum-acoustics-collab.md | match='**Author**: Quantum Acoustics Theorist'
[EDGE:authored_by] gates:41:session-41-w3-1b-quantum-acoustics-collab.md -> researchers:quantum-acoustics-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-41/session-41-w3-1b-quantum-acoustics-collab.md | match='**Author**: Quantum Acoustics Theorist'
[EDGE:authored_by] data_provenance:41:session-41-w3-2-bbn-landau-review.md -> researchers:landau-condensed-matter-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-41/session-41-w3-2-bbn-landau-review.md | match='**Author**: Landau Condensed Matter Theorist'
[EDGE:authored_by] gates:41:session-41-w3-2-bbn-landau-review.md -> researchers:landau-condensed-matter-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-41/session-41-w3-2-bbn-landau-review.md | match='**Author**: Landau Condensed Matter Theorist'
[EDGE:authored_by] data_provenance:41:session-41-w3-2-naz-nuclear-review.md -> researchers:nazarewicz-nuclear-structure-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-41/session-41-w3-2-naz-nuclear-review.md | match='**Author**: Nazarewicz Nuclear Structure Theorist'
[EDGE:authored_by] gates:41:session-41-w3-2-naz-nuclear-review.md -> researchers:nazarewicz-nuclear-structure-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-41/session-41-w3-2-naz-nuclear-review.md | match='**Author**: Nazarewicz Nuclear Structure Theorist'
