## S43 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G4
## Files scanned: 13 (+ 0 in workshops/)
## Total edges (deduped): 43
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_round] researchers:hawking-theorist -> data_provenance:data_provenance:sessions/archive/session-43/s43_cc_113_workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-43/s43_cc_113_workshop.md | match='## Round 1: Hawking'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:data_provenance:sessions/archive/session-43/s43_cc_113_workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-43/s43_cc_113_workshop.md | match='## Round 1: Volovik'
[EDGE:authored_round] researchers:hawking-theorist -> data_provenance:data_provenance:sessions/archive/session-43/s43_cc_113_workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-43/s43_cc_113_workshop.md | match='## Round 2: Hawking'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:data_provenance:sessions/archive/session-43/s43_cc_113_workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-43/s43_cc_113_workshop.md | match='## Round 2: Volovik'
[EDGE:authored_by] data_provenance:43:s43_E_vs_F_audit.md -> researchers:einstein-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-43/s43_E_vs_F_audit.md | match='**Author**: Einstein-Theorist'
[EDGE:authored_by] gates:43:s43_E_vs_F_audit.md -> researchers:einstein-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-43/s43_E_vs_F_audit.md | match='**Author**: Einstein-Theorist'
[EDGE:authored_by] gates:43:s43_sagan_assessment.md -> researchers:sagan-empiricist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-43/s43_sagan_assessment.md | match='**Agent**: Sagan-Empiricist (sole probability estimator)'
[EDGE:authored_by] gates:43:s43_sagan_survival.md -> researchers:sagan-empiricist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-43/s43_sagan_survival.md | match='**Agent**: Sagan-Empiricist (sole probability estimator)'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:data_provenance:sessions/archive/session-43/s43_uvir_workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-43/s43_uvir_workshop.md | match='## Round 1: Volovik'
[EDGE:authored_round] researchers:nazarewicz-nuclear-structure-theorist -> data_provenance:data_provenance:sessions/archive/session-43/s43_uvir_workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-43/s43_uvir_workshop.md | match='## Round 1: Nazarewicz'
[EDGE:authored_by] data_provenance:43:session-43-quicklook-tesla-collab.md -> researchers:tesla-resonance  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-43/session-43-quicklook-tesla-collab.md | match='**Author**: Tesla Resonance'
[EDGE:authored_by] gates:43:session-43-quicklook-tesla-collab.md -> researchers:tesla-resonance  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-43/session-43-quicklook-tesla-collab.md | match='**Author**: Tesla Resonance'
[EDGE:authored_by] gates:W1-1 -> researchers:volovik-superfluid-universe-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-43/session-43-results-workingpaper.md | match='### W1-1: Q-Theory Self-Tuning from Spectral Action (volovik-superfluid-universe'
[EDGE:authored_by] gates:W1-2 -> researchers:landau-condensed-matter-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-43/session-43-results-workingpaper.md | match='### W1-2: Lifshitz Transition Classification at the Fold (landau-condensed-matte'
[EDGE:authored_by] gates:W1-3 -> researchers:dirac-antimatter-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-43/session-43-results-workingpaper.md | match='### W1-3: K_7 Chiral Anomaly Diagnostics at the Fold (dirac-antimatter-theorist)'
[EDGE:authored_by] gates:W1-4 -> researchers:quantum-acoustics-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-43/session-43-results-workingpaper.md | match='### W1-4: Phonon DOS Histogram at the Fold (quantum-acoustics-theorist)'
[EDGE:authored_by] gates:W1-5 -> researchers:quantum-foam-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-43/session-43-results-workingpaper.md | match='### W1-5: Modulus Fluctuation Angular Blur vs Perlman Bound (quantum-foam-theori'
[EDGE:authored_by] gates:W1-6 -> researchers:baptista-spacetime-analyst  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-43/session-43-results-workingpaper.md | match='### W1-6: Paper 16 Adiabaticity Diagnostic (baptista-spacetime-analyst)'
[EDGE:authored_by] gates:W1-7 -> researchers:nazarewicz-nuclear-structure-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-43/session-43-results-workingpaper.md | match='### W1-7: Pair Transfer Form Factor at Finite Momentum (nazarewicz-nuclear-struc'
[EDGE:authored_by] gates:W1-8 -> researchers:nazarewicz-nuclear-structure-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-43/session-43-results-workingpaper.md | match='### W1-8: GCM Zero-Point Correction to S_fold (nazarewicz-nuclear-structure-theo'
[EDGE:authored_by] gates:W2-1 -> researchers:volovik-superfluid-universe-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-43/session-43-results-workingpaper.md | match='### W2-1: GGE Dark Matter Abundance via Q-Theory (volovik-superfluid-universe-th'
[EDGE:authored_by] gates:W2-3 -> researchers:quantum-foam-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-43/session-43-results-workingpaper.md | match='### W2-3: Carlip CC Mechanism Interface F-FOAM-5 (quantum-foam-theorist)'
[EDGE:authored_by] gates:W3-1 -> researchers:gen-physicist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-43/session-43-results-workingpaper.md | match='### W3-1: Cold Big Bang Timeline (gen-physicist)'
[EDGE:authored_by] gates:W3-2 -> researchers:quantum-foam-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-43/session-43-results-workingpaper.md | match='### W3-2: Quantum Fluctuation Analysis at tau=0 (quantum-foam-theorist)'
[EDGE:authored_by] gates:W3-3 -> researchers:dirac-antimatter-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-43/session-43-results-workingpaper.md | match='### W3-3: J-Odd Perturbation at Domain Wall (dirac-antimatter-theorist)'
