## S45 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G4
## Files scanned: 12 (+ 0 in workshops/)
## Total edges (deduped): 29
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] data_provenance:45:s45_cc_balance_sheet.md -> researchers:gen-physicist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-45/s45_cc_balance_sheet.md | match='**Author**: Gen-Physicist'
[EDGE:authored_by] gates:45:s45_cc_balance_sheet.md -> researchers:gen-physicist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-45/s45_cc_balance_sheet.md | match='**Author**: Gen-Physicist'
[EDGE:authored_by] gates:45:s45_formula_audit.md -> researchers:gen-physicist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-45/s45_formula_audit.md | match='**Agent**: gen-physicist'
[EDGE:authored_by] gates:45:s45_formula_audit.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-45/s45_formula_audit.md | match='**Agent**: volovik-superfluid-universe-theorist'
[EDGE:authored_by] gates:45:s45_formula_audit.md -> researchers:einstein-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-45/s45_formula_audit.md | match='**Agent**: einstein-theorist'
[EDGE:authored_by] gates:45:s45_formula_audit.md -> researchers:landau-condensed-matter-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-45/s45_formula_audit.md | match='**Agent**: landau-condensed-matter-theorist'
[EDGE:authored_by] gates:45:s45_formula_audit.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-45/s45_formula_audit.md | match='**Agent**: connes-ncg-theorist'
[EDGE:authored_by] gates:45:s45_formula_audit.md -> researchers:spectral-geometer  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-45/s45_formula_audit.md | match='**Agent**: spectral-geometer'
[EDGE:authored_by] gates:45:s45_formula_audit.md -> researchers:baptista-spacetime-analyst  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-45/s45_formula_audit.md | match='**Agent**: baptista-spacetime-analyst'
[EDGE:authored_by] gates:45:s45_formula_audit.md -> researchers:quantum-acoustics-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-45/s45_formula_audit.md | match='**Agent**: quantum-acoustics-theorist'
[EDGE:authored_by] gates:45:s45_formula_audit.md -> researchers:tesla-resonance  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-45/s45_formula_audit.md | match='**Agent**: tesla-resonance'
[EDGE:authored_by] gates:45:s45_formula_audit.md -> researchers:orchestrator  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-45/s45_formula_audit.md | match='**Agent**: team-lead (s45_collective_ns_v2.py)'
