## S46 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G4
## Files scanned: 10 (+ 0 in workshops/)
## Total edges (deduped): 15
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] data_provenance:46:s46_addendum_berry_protection.md -> researchers:berry-geometric-phase-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-46/s46_addendum_berry_protection.md | match='**Author**: Berry Geometric Phase Theorist'
[EDGE:authored_by] gates:46:s46_addendum_berry_protection.md -> researchers:berry-geometric-phase-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-46/s46_addendum_berry_protection.md | match='**Author**: Berry Geometric Phase Theorist'
[EDGE:authored_by] data_provenance:46:s46_addendum_tachyonic_transit.md -> researchers:connes-ncg-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-46/s46_addendum_tachyonic_transit.md | match='**Author**: Connes NCG Theorist'
[EDGE:authored_by] gates:46:s46_addendum_tachyonic_transit.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-46/s46_addendum_tachyonic_transit.md | match='**Author**: Connes NCG Theorist'
[EDGE:authored_by] gates:46:session-46-quicklook-hawking-collab.md -> researchers:hawking-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-46/session-46-quicklook-hawking-collab.md | match='**Agent**: hawking-theorist (Opus 4.6, 1M context)'
[EDGE:authored_by] gates:46:session-46-quicklook-paasch-collab.md -> researchers:paasch-mass-quantization-analyst  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-46/session-46-quicklook-paasch-collab.md | match='**Agent**: paasch-mass-quantization-analyst'
[EDGE:authored_by] gates:46:session-46-quicklook-qa-collab.md -> researchers:quantum-acoustics-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-46/session-46-quicklook-qa-collab.md | match='**Agent**: quantum-acoustics-theorist'
[EDGE:authored_by] gates:46:session-46-quicklook-string-collab.md -> researchers:string-theory-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-46/session-46-quicklook-string-collab.md | match='**Agent**: String-Theory-Theorist (Witten/Maldacena methodology)'
[EDGE:reviewed_by] data_provenance:46:session-46-quicklook-volovik-collab.md -> researchers:volovik-superfluid-universe-theorist  # G3 | role=adversarial_review | conf=header-parsed | src=sessions/archive/session-46/session-46-quicklook-volovik-collab.md | match='**Reviewer**: volovik-superfluid-universe-theorist'
[EDGE:authored_by] gates:46:session-46-results-workingpaper.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-46/session-46-results-workingpaper.md | match='**Agent**: volovik-superfluid-universe-theorist'
[EDGE:authored_by] gates:46:session-46-results-workingpaper.md -> researchers:nazarewicz-nuclear-structure-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-46/session-46-results-workingpaper.md | match='**Agent**: nazarewicz-nuclear-structure-theorist'
[EDGE:authored_by] gates:46:session-46-results-workingpaper.md -> researchers:spectral-geometer  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-46/session-46-results-workingpaper.md | match='**Agent**: spectral-geometer'
[EDGE:authored_by] gates:46:session-46-results-workingpaper.md -> researchers:landau-condensed-matter-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-46/session-46-results-workingpaper.md | match='**Agent**: landau-condensed-matter-theorist'
[EDGE:authored_by] gates:46:session-46-results-workingpaper.md -> researchers:hawking-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-46/session-46-results-workingpaper.md | match='**Agent**: hawking-theorist'
[EDGE:authored_by] gates:46:session-46-results-workingpaper.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-46/session-46-results-workingpaper.md | match='**Agent**: connes-ncg-theorist'
