## S47 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G4
## Files scanned: 11 (+ 0 in workshops/)
## Total edges (deduped): 29
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] data_provenance:47:session-47-crystal-geometry-landau-collab.md -> researchers:landau-condensed-matter-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-47/session-47-crystal-geometry-landau-collab.md | match='**Author**: Landau (Condensed Matter Theorist)'
[EDGE:authored_by] gates:47:session-47-crystal-geometry-landau-collab.md -> researchers:landau-condensed-matter-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-47/session-47-crystal-geometry-landau-collab.md | match='**Author**: Landau (Condensed Matter Theorist)'
[EDGE:authored_by] data_provenance:47:session-47-crystal-geometry-nazarewicz-collab.md -> researchers:nazarewicz-nuclear-structure-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-47/session-47-crystal-geometry-nazarewicz-collab.md | match='**Author**: Nazarewicz (Nuclear Structure Theorist)'
[EDGE:authored_by] gates:47:session-47-crystal-geometry-nazarewicz-collab.md -> researchers:nazarewicz-nuclear-structure-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-47/session-47-crystal-geometry-nazarewicz-collab.md | match='**Author**: Nazarewicz (Nuclear Structure Theorist)'
[EDGE:authored_by] data_provenance:47:session-47-crystal-geometry-volovik-collab.md -> researchers:volovik-superfluid-universe-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-47/session-47-crystal-geometry-volovik-collab.md | match='**Author**: Volovik (Superfluid Universe Theorist)'
[EDGE:authored_by] gates:47:session-47-crystal-geometry-volovik-collab.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-47/session-47-crystal-geometry-volovik-collab.md | match='**Author**: Volovik (Superfluid Universe Theorist)'
[EDGE:authored_by] data_provenance:47:session-47-crystal-geometry.md -> researchers:tesla-resonance  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-47/session-47-crystal-geometry.md | match='**Author**: Tesla-Resonance'
[EDGE:authored_by] gates:47:session-47-crystal-geometry.md -> researchers:tesla-resonance  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-47/session-47-crystal-geometry.md | match='**Author**: Tesla-Resonance'
[EDGE:authored_by] data_provenance:47:session-47-naz-substrate-reframe.md -> researchers:nazarewicz-nuclear-structure-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-47/session-47-naz-substrate-reframe.md | match='**Author**: Nazarewicz (Nuclear Structure Theorist)'
[EDGE:authored_by] gates:47:session-47-naz-substrate-reframe.md -> researchers:nazarewicz-nuclear-structure-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-47/session-47-naz-substrate-reframe.md | match='**Author**: Nazarewicz (Nuclear Structure Theorist)'
[EDGE:authored_by] data_provenance:47:session-47-ns-reassessment.md -> researchers:volovik-superfluid-universe-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-47/session-47-ns-reassessment.md | match='**Author**: Volovik (Superfluid Universe Theorist)'
[EDGE:authored_by] gates:47:session-47-ns-reassessment.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-47/session-47-ns-reassessment.md | match='**Author**: Volovik (Superfluid Universe Theorist)'
[EDGE:authored_by] data_provenance:47:session-47-scale-bridge.md -> researchers:tesla-resonance  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-47/session-47-scale-bridge.md | match='**Author**: Tesla-Resonance'
[EDGE:authored_by] gates:47:session-47-scale-bridge.md -> researchers:tesla-resonance  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-47/session-47-scale-bridge.md | match='**Author**: Tesla-Resonance'
[EDGE:authored_by] data_provenance:47:session-47-texture-framework.md -> researchers:volovik-superfluid-universe-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-47/session-47-texture-framework.md | match='**Author**: Volovik (Superfluid Universe Theorist)'
[EDGE:authored_by] gates:47:session-47-texture-framework.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-47/session-47-texture-framework.md | match='**Author**: Volovik (Superfluid Universe Theorist)'
[EDGE:authored_by] data_provenance:47:session-47-volovik-coherence-response.md -> researchers:volovik-superfluid-universe-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-47/session-47-volovik-coherence-response.md | match='**Author**: Volovik (Superfluid Universe Theorist)'
[EDGE:authored_by] gates:47:session-47-volovik-coherence-response.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-47/session-47-volovik-coherence-response.md | match='**Author**: Volovik (Superfluid Universe Theorist)'
