## S48 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G4
## Files scanned: 7 (+ 0 in workshops/)
## Total edges (deduped): 29
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] data_provenance:48:session-48-einstein-collab.md -> researchers:einstein-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-48/session-48-einstein-collab.md | match='**Author**: Einstein (Principle-Theoretic Reasoner)'
[EDGE:authored_by] gates:48:session-48-einstein-collab.md -> researchers:einstein-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-48/session-48-einstein-collab.md | match='**Author**: Einstein (Principle-Theoretic Reasoner)'
[EDGE:authored_by] data_provenance:48:session-48-nazarewicz-collab.md -> researchers:nazarewicz-nuclear-structure-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-48/session-48-nazarewicz-collab.md | match='**Author**: Nazarewicz (Nuclear Structure Theorist)'
[EDGE:authored_by] gates:48:session-48-nazarewicz-collab.md -> researchers:nazarewicz-nuclear-structure-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-48/session-48-nazarewicz-collab.md | match='**Author**: Nazarewicz (Nuclear Structure Theorist)'
[EDGE:authored_by] gates:W1-A -> researchers:landau-condensed-matter-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-48/session-48-results-workingpaper.md | match='### W1-A: Goldstone Mass from Spectral Action (landau-condensed-matter-theorist)'
[EDGE:authored_by] gates:W1-B -> researchers:nazarewicz-nuclear-structure-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-48/session-48-results-workingpaper.md | match='### W1-B: Physical Pair Number from Full Singlet Spectrum (nazarewicz-nuclear-st'
[EDGE:authored_by] gates:W1-C -> researchers:volovik-superfluid-universe-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-48/session-48-results-workingpaper.md | match='### W1-C: Anisotropic Gap from Superfluid Stiffness (volovik-superfluid-universe'
[EDGE:authored_by] gates:W1-D -> researchers:berry-geometric-phase-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-48/session-48-results-workingpaper.md | match='### W1-D: Non-Abelian Wilson Loop for Degenerate Multiplets (berry-geometric-pha'
[EDGE:authored_by] gates:W1-E -> researchers:gen-physicist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-48/session-48-results-workingpaper.md | match='### W1-E: Curvature-Gap Anti-Correlation Across Tau (gen-physicist)'
[EDGE:authored_by] gates:W2-A -> researchers:landau-condensed-matter-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-48/session-48-results-workingpaper.md | match='### W2-A: Anisotropic Ornstein-Zernike Power Spectrum (landau-condensed-matter-t'
[EDGE:authored_by] gates:W2-B -> researchers:spectral-geometer  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-48/session-48-results-workingpaper.md | match='### W2-B: TT 2-Tensor Lichnerowicz Operator (spectral-geometer)'
[EDGE:authored_by] gates:W2-C -> researchers:volovik-superfluid-universe-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-48/session-48-results-workingpaper.md | match='### W2-C: Q-Theory Goldstone Self-Tuning Mass (volovik-superfluid-universe-theor'
[EDGE:authored_by] gates:W2-D -> researchers:gen-physicist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-48/session-48-results-workingpaper.md | match='### W2-D: Q-Theory Phase Susceptibility (gen-physicist)'
[EDGE:authored_by] gates:W3-A -> researchers:landau-condensed-matter-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-48/session-48-results-workingpaper.md | match='### W3-A: Leggett Mode Frequency (landau-condensed-matter-theorist)'
[EDGE:authored_by] gates:W3-B -> researchers:berry-geometric-phase-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-48/session-48-results-workingpaper.md | match='### W3-B: Topological Skeleton Dissolution Test (berry-geometric-phase-theorist)'
[EDGE:authored_by] gates:W3-C -> researchers:tesla-resonance  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-48/session-48-results-workingpaper.md | match='### W3-C: Sakharov Curvature-Weighted Spectral Sum for G_N (tesla-resonance)'
[EDGE:authored_by] gates:W5-A -> researchers:paasch-mass-quantization-analyst  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-48/session-48-results-workingpaper.md | match='### W5-A: Paasch Backlog Clearance -- 7 sub-computations (paasch-mass-quantizati'
[EDGE:authored_by] gates:W5-B -> researchers:berry-geometric-phase-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-48/session-48-results-workingpaper.md | match='### W5-B: Berry Topology Completion — 5 sub-computations (berry-geometric-phase-'
[EDGE:authored_by] gates:W5-C -> researchers:volovik-superfluid-universe-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-48/session-48-results-workingpaper.md | match='### W5-C: DM/DE Refinement — 3 sub-computations (volovik-superfluid-universe-the'
[EDGE:authored_by] gates:W5-D -> researchers:gen-physicist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-48/session-48-results-workingpaper.md | match='### W5-D: Curvature & Geometry Extensions — 6 sub-computations (gen-physicist)'
[EDGE:authored_by] gates:W5-E -> researchers:nazarewicz-nuclear-structure-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-48/session-48-results-workingpaper.md | match='### W5-E: Nuclear Structure & Self-Consistency — 5 sub-computations (nazarewicz-'
[EDGE:authored_by] gates:W5-F -> researchers:gen-physicist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-48/session-48-results-workingpaper.md | match='### W5-F: Volovik Program + String Theory — 8 sub-computations (gen-physicist)'
[EDGE:authored_by] gates:W5-G -> researchers:quantum-acoustics-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-48/session-48-results-workingpaper.md | match='### W5-G: QA/Tachyon/Remaining — 8 sub-computations (quantum-acoustics-theorist)'
[EDGE:authored_by] data_provenance:48:session-48-sp-collab.md -> researchers:schwarzschild-penrose-geometer  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-48/session-48-sp-collab.md | match='**Author**: Schwarzschild-Penrose (Geometer)'
[EDGE:authored_by] gates:48:session-48-sp-collab.md -> researchers:schwarzschild-penrose-geometer  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-48/session-48-sp-collab.md | match='**Author**: Schwarzschild-Penrose (Geometer)'
[EDGE:authored_by] data_provenance:48:session-48-tesla-collab.md -> researchers:tesla-resonance  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-48/session-48-tesla-collab.md | match='**Author**: Tesla (Resonance Theorist)'
[EDGE:authored_by] gates:48:session-48-tesla-collab.md -> researchers:tesla-resonance  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-48/session-48-tesla-collab.md | match='**Author**: Tesla (Resonance Theorist)'
[EDGE:authored_by] data_provenance:48:session-48-volovik-collab.md -> researchers:volovik-superfluid-universe-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-48/session-48-volovik-collab.md | match='**Author**: Volovik (Superfluid Universe Theorist)'
[EDGE:authored_by] gates:48:session-48-volovik-collab.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-48/session-48-volovik-collab.md | match='**Author**: Volovik (Superfluid Universe Theorist)'
