## S49 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G4
## Files scanned: 8 (+ 0 in workshops/)
## Total edges (deduped): 20
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] data_provenance:49:session-49-cosmic-web-collab.md -> researchers:cosmic-web-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-49/session-49-cosmic-web-collab.md | match='**Author**: Cosmic Web Theorist'
[EDGE:authored_by] gates:49:session-49-cosmic-web-collab.md -> researchers:cosmic-web-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-49/session-49-cosmic-web-collab.md | match='**Author**: Cosmic Web Theorist'
[EDGE:authored_by] data_provenance:49:session-49-landau-collab.md -> researchers:landau-condensed-matter-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-49/session-49-landau-collab.md | match='**Author**: Landau (Condensed Matter Theorist)'
[EDGE:authored_by] gates:49:session-49-landau-collab.md -> researchers:landau-condensed-matter-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-49/session-49-landau-collab.md | match='**Author**: Landau (Condensed Matter Theorist)'
[EDGE:authored_by] data_provenance:49:session-49-qa-collab.md -> researchers:quantum-acoustics-theorist  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-49/session-49-qa-collab.md | match='session-49-qa-collab.md'
[EDGE:authored_by] gates:49:session-49-qa-collab.md -> researchers:quantum-acoustics-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-49/session-49-qa-collab.md | match='**Agent**: quantum-acoustics-theorist'
[EDGE:authored_by] gates:49:session-49-results-workingpaper.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-49/session-49-results-workingpaper.md | match='**Agent**: volovik-superfluid-universe-theorist'
[EDGE:authored_by] gates:49:session-49-results-workingpaper.md -> researchers:nazarewicz-nuclear-structure-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-49/session-49-results-workingpaper.md | match='**Agent**: nazarewicz-nuclear-structure-theorist'
[EDGE:authored_by] gates:49:session-49-results-workingpaper.md -> researchers:landau-condensed-matter-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-49/session-49-results-workingpaper.md | match='**Agent**: landau-condensed-matter-theorist'
[EDGE:authored_by] gates:49:session-49-results-workingpaper.md -> researchers:einstein-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-49/session-49-results-workingpaper.md | match='**Agent**: einstein-theorist'
[EDGE:authored_by] gates:49:session-49-results-workingpaper.md -> researchers:schwarzschild-penrose-geometer  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-49/session-49-results-workingpaper.md | match='**Agent**: schwarzschild-penrose-geometer'
[EDGE:authored_by] gates:49:session-49-results-workingpaper.md -> researchers:tesla-resonance  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-49/session-49-results-workingpaper.md | match='**Agent**: tesla-resonance'
[EDGE:authored_by] gates:49:session-49-results-workingpaper.md -> researchers:gen-physicist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-49/session-49-results-workingpaper.md | match='**Agent**: gen-physicist'
[EDGE:authored_by] gates:49:session-49-results-workingpaper.md -> researchers:spectral-geometer  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-49/session-49-results-workingpaper.md | match='**Agent**: spectral-geometer'
[EDGE:authored_by] data_provenance:49:session-49-sp-collab.md -> researchers:schwarzschild-penrose-geometer  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-49/session-49-sp-collab.md | match='session-49-sp-collab.md'
[EDGE:authored_by] gates:49:session-49-sp-collab.md -> researchers:schwarzschild-penrose-geometer  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-49/session-49-sp-collab.md | match='**Agent**: schwarzschild-penrose-geometer'
[EDGE:authored_by] data_provenance:49:session-49-tesla-collab.md -> researchers:tesla-resonance  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-49/session-49-tesla-collab.md | match='**Author**: Tesla-Resonance'
[EDGE:authored_by] gates:49:session-49-tesla-collab.md -> researchers:tesla-resonance  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-49/session-49-tesla-collab.md | match='**Author**: Tesla-Resonance'
[EDGE:authored_by] data_provenance:49:session-49-volovik-collab.md -> researchers:volovik-superfluid-universe-theorist  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-49/session-49-volovik-collab.md | match='session-49-volovik-collab.md'
[EDGE:authored_by] gates:49:session-49-volovik-collab.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-49/session-49-volovik-collab.md | match='**Agent**: volovik-superfluid-universe-theorist'
