## S52 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G4
## Files scanned: 13 (+ 0 in workshops/)
## Total edges (deduped): 11
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] data_provenance:52:session-52-baptista-collab.md -> researchers:baptista-spacetime-analyst  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-52/session-52-baptista-collab.md | match='session-52-baptista-collab.md'
[EDGE:authored_by] gates:52:session-52-baptista-collab.md -> researchers:baptista-spacetime-analyst  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-52/session-52-baptista-collab.md | match='**Agent**: baptista-spacetime-analyst (performed W2-A and W4-F)'
[EDGE:authored_by] data_provenance:52:session-52-einstein-collab.md -> researchers:einstein-theorist  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-52/session-52-einstein-collab.md | match='session-52-einstein-collab.md'
[EDGE:authored_by] data_provenance:52:session-52-kaku-collab.md -> researchers:kaku-speculative-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-52/session-52-kaku-collab.md | match='**Author**: Kaku (Speculative Theorist)'
[EDGE:authored_by] gates:52:session-52-kaku-collab.md -> researchers:kaku-speculative-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-52/session-52-kaku-collab.md | match='**Author**: Kaku (Speculative Theorist)'
[EDGE:authored_by] data_provenance:52:session-52-landau-collab.md -> researchers:landau-condensed-matter-theorist  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-52/session-52-landau-collab.md | match='session-52-landau-collab.md'
[EDGE:authored_by] data_provenance:52:session-52-qa-collab.md -> researchers:quantum-acoustics-theorist  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-52/session-52-qa-collab.md | match='session-52-qa-collab.md'
[EDGE:authored_by] data_provenance:52:session-52-tesla-collab.md -> researchers:tesla-resonance  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-52/session-52-tesla-collab.md | match='session-52-tesla-collab.md'
[EDGE:authored_by] gates:52:session-52-tesla-collab.md -> researchers:tesla-resonance  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-52/session-52-tesla-collab.md | match='**Agent**: Tesla-Resonance (cross-domain: electromagnetic resonance, phonon/acou'
[EDGE:authored_by] data_provenance:52:session-52-volovik-collab.md -> researchers:volovik-superfluid-universe-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-52/session-52-volovik-collab.md | match='**Author**: Volovik-Superfluid-Universe-Theorist'
[EDGE:authored_by] gates:52:session-52-volovik-collab.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-52/session-52-volovik-collab.md | match='**Author**: Volovik-Superfluid-Universe-Theorist'
