## S55 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G4
## Files scanned: 9 (+ 0 in workshops/)
## Total edges (deduped): 14
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] data_provenance:55:session-55-framework-update-bap-collab.md -> researchers:baptista-spacetime-analyst  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-55/session-55-framework-update-bap-collab.md | match='**Author**: Baptista Spacetime Analyst'
[EDGE:authored_by] gates:55:session-55-framework-update-bap-collab.md -> researchers:baptista-spacetime-analyst  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-55/session-55-framework-update-bap-collab.md | match='**Author**: Baptista Spacetime Analyst'
[EDGE:authored_by] data_provenance:55:session-55-framework-update-einstein-collab.md -> researchers:einstein-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-55/session-55-framework-update-einstein-collab.md | match='**Author**: Einstein Theorist'
[EDGE:authored_by] gates:55:session-55-framework-update-einstein-collab.md -> researchers:einstein-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-55/session-55-framework-update-einstein-collab.md | match='**Author**: Einstein Theorist'
[EDGE:authored_by] data_provenance:55:session-55-framework-update-naz-collab.md -> researchers:nazarewicz-nuclear-structure-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-55/session-55-framework-update-naz-collab.md | match='**Author**: Nazarewicz Nuclear Structure Theorist'
[EDGE:authored_by] gates:55:session-55-framework-update-naz-collab.md -> researchers:nazarewicz-nuclear-structure-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-55/session-55-framework-update-naz-collab.md | match='**Author**: Nazarewicz Nuclear Structure Theorist'
[EDGE:authored_by] data_provenance:55:session-55-framework-update-qa-collab.md -> researchers:quantum-acoustics-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-55/session-55-framework-update-qa-collab.md | match='**Author**: Quantum Acoustics Theorist'
[EDGE:authored_by] gates:55:session-55-framework-update-qa-collab.md -> researchers:quantum-acoustics-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-55/session-55-framework-update-qa-collab.md | match='**Author**: Quantum Acoustics Theorist'
[EDGE:authored_by] data_provenance:55:session-55-framework-update-qf-collab.md -> researchers:phonon-first-cosmologist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-55/session-55-framework-update-qf-collab.md | match='**Author**: Phonon-First Cosmologist (self-review + forward synthesis)'
[EDGE:authored_by] gates:55:session-55-framework-update-qf-collab.md -> researchers:phonon-first-cosmologist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-55/session-55-framework-update-qf-collab.md | match='**Author**: Phonon-First Cosmologist (self-review + forward synthesis)'
[EDGE:authored_by] data_provenance:55:session-55-framework-update-vol-collab.md -> researchers:volovik-superfluid-universe-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-55/session-55-framework-update-vol-collab.md | match='**Author**: Volovik Superfluid Universe Theorist'
[EDGE:authored_by] gates:55:session-55-framework-update-vol-collab.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-55/session-55-framework-update-vol-collab.md | match='**Author**: Volovik Superfluid Universe Theorist'
[EDGE:authored_by] data_provenance:55:session-55-framework-update.md -> researchers:phonon-first-cosmologist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-55/session-55-framework-update.md | match='**Author**: Phonon-First Cosmologist'
[EDGE:authored_by] gates:55:session-55-framework-update.md -> researchers:phonon-first-cosmologist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-55/session-55-framework-update.md | match='**Author**: Phonon-First Cosmologist'
