## S56 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G4
## Files scanned: 36 (+ 0 in workshops/)
## Total edges (deduped): 45
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:reviewed_by] data_provenance:56:session-56-bap-collab.md -> researchers:baptista-spacetime-analyst  # G3 | role=adversarial_review | conf=header-parsed | src=sessions/archive/session-56/session-56-bap-collab.md | match='**Reviewer**: baptista-spacetime-analyst (opus)'
[EDGE:reviewed_by] data_provenance:56:session-56-berry-collab.md -> researchers:berry-geometric-phase-theorist  # G3 | role=adversarial_review | conf=header-parsed | src=sessions/archive/session-56/session-56-berry-collab.md | match='**Reviewer**: Berry-Geometric-Phase-Theorist'
[EDGE:authored_by] data_provenance:56:session-56-connes-collab.md -> researchers:connes-ncg-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-56/session-56-connes-collab.md | match='**Author**: Connes NCG Theorist'
[EDGE:authored_by] gates:56:session-56-connes-collab.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-56/session-56-connes-collab.md | match='**Author**: Connes NCG Theorist'
[EDGE:reviewed_by] data_provenance:56:session-56-cw-collab.md -> researchers:cosmic-web-theorist  # G3 | role=adversarial_review | conf=header-parsed | src=sessions/archive/session-56/session-56-cw-collab.md | match='**Reviewer**: cosmic-web-theorist (opus)'
[EDGE:reviewed_by] data_provenance:56:session-56-dirac-collab.md -> researchers:dirac-antimatter-theorist  # G3 | role=adversarial_review | conf=header-parsed | src=sessions/archive/session-56/session-56-dirac-collab.md | match='**Reviewer**: Dirac-Antimatter-Theorist (Paul Dirac methodology)'
[EDGE:authored_by] data_provenance:56:session-56-dm-synthesis.md -> researchers:phonon-first-cosmologist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-56/session-56-dm-synthesis.md | match='**Author**: Phonon-First Cosmologist'
[EDGE:authored_by] gates:56:session-56-dm-synthesis.md -> researchers:phonon-first-cosmologist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-56/session-56-dm-synthesis.md | match='**Author**: Phonon-First Cosmologist'
[EDGE:reviewed_by] data_provenance:56:session-56-einstein-collab.md -> researchers:einstein-theorist  # G3 | role=adversarial_review | conf=header-parsed | src=sessions/archive/session-56/session-56-einstein-collab.md | match='**Reviewer**: Einstein-Theorist (GR, equivalence principle, cosmological cons
[EDGE:reviewed_by] data_provenance:56:session-56-feynman-collab.md -> researchers:feynman-theorist  # G3 | role=adversarial_review | conf=header-parsed | src=sessions/archive/session-56/session-56-feynman-collab.md | match='**Reviewer**: Feynman-Theorist (path integrals, QFT, renormalization, Feynman 
[EDGE:reviewed_by] data_provenance:56:session-56-final-synthesis-cw-collab.md -> researchers:cosmic-web-theorist  # G3 | role=adversarial_review | conf=header-parsed | src=sessions/archive/session-56/session-56-final-synthesis-cw-collab.md | match='**Reviewer**: cosmic-web-theorist (opus)'
[EDGE:authored_by] data_provenance:56:session-56-final-synthesis-naz-collab.md -> researchers:nazarewicz-nuclear-structure-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-56/session-56-final-synthesis-naz-collab.md | match='**Author**: Nazarewicz Nuclear Structure Theorist'
[EDGE:authored_by] gates:56:session-56-final-synthesis-naz-collab.md -> researchers:nazarewicz-nuclear-structure-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-56/session-56-final-synthesis-naz-collab.md | match='**Author**: Nazarewicz Nuclear Structure Theorist'
[EDGE:authored_by] data_provenance:56:session-56-final-synthesis.md -> researchers:hawking-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-56/session-56-final-synthesis.md | match='**Author**: Hawking-Theorist'
