## S57 Chain-of-Custody Edges (generated by tools/harvest_chain_of_custody_edges.py)
## Generated: 2026-06-13T17:43:18Z
## Workingpapers scanned: 1
## Verdict files scanned: 1
## Plan files scanned: 1
## Session .md files scanned (cited_in scope): 8
## Total edges (deduped): 26
## Edge types: anchored_in
## Extractors: tools/_chain_of_custody_extractors.py (self-test 11/11 PASS)

[EDGE:anchored_in] gates:THE-SHATTERING-57 -> sessions:57  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-57/s57_gate_verdicts.txt | match='THE-SHATTERING-57: INFO'
[EDGE:anchored_in] gates:LEGGETT-TAU-PROFILE-57 -> sessions:57  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-57/s57_gate_verdicts.txt | match='LEGGETT-TAU-PROFILE-57: INFO'
[EDGE:anchored_in] gates:CHANNEL-ENERGY-BUDGET-57 -> sessions:57  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-57/s57_gate_verdicts.txt | match='CHANNEL-ENERGY-BUDGET-57: INFO'
[EDGE:anchored_in] gates:GGE-EQUILIBRIUM-GAP-57 -> sessions:57  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-57/s57_gate_verdicts.txt | match='GGE-EQUILIBRIUM-GAP-57: FAIL'
[EDGE:anchored_in] gates:ANDREEV-ANISOTROPY-EST-57 -> sessions:57  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-57/s57_gate_verdicts.txt | match='ANDREEV-ANISOTROPY-EST-57: INFO'
[EDGE:anchored_in] gates:FINITE-RATE-TRANSIT-57 -> sessions:57  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-57/s57_gate_verdicts.txt | match='FINITE-RATE-TRANSIT-57: INFO'
[EDGE:anchored_in] gates:LEGGETT-PARTITION-57 -> sessions:57  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-57/s57_gate_verdicts.txt | match='LEGGETT-PARTITION-57: INFO'
[EDGE:anchored_in] gates:GAP-SCALING-57 -> sessions:57  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-57/s57_gate_verdicts.txt | match='GAP-SCALING-57: PASS'
[EDGE:anchored_in] gates:ANDREEV-INTEG-57 -> sessions:57  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-57/s57_gate_verdicts.txt | match='ANDREEV-INTEG-57: INFO'
[EDGE:anchored_in] gates:PARKER-BA-57 -> sessions:57  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-57/s57_gate_verdicts.txt | match='PARKER-BA-57: PASS'
[EDGE:anchored_in] gates:DESERT-DYNAMICS-57 -> sessions:57  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-57/s57_gate_verdicts.txt | match='DESERT-DYNAMICS-57: INFO'
[EDGE:anchored_in] gates:CC-SIGN-57 -> sessions:57  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-57/s57_gate_verdicts.txt | match='CC-SIGN-57: PASS'
[EDGE:anchored_in] gates:FABRIC-DM-ABUNDANCE-57 -> sessions:57  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-57/s57_gate_verdicts.txt | match='FABRIC-DM-ABUNDANCE-57: PASS'
[EDGE:anchored_in] gates:FLOQUET-PLASMA-57 -> sessions:57  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-57/s57_gate_verdicts.txt | match='FLOQUET-PLASMA-57: FAIL'
[EDGE:anchored_in] gates:SUB-GAP-BA-57 -> sessions:57  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-57/s57_gate_verdicts.txt | match='SUB-GAP-BA-57: PASS'
[EDGE:anchored_in] gates:PERCOLATION-CC-57 -> sessions:57  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-57/s57_gate_verdicts.txt | match='PERCOLATION-CC-57: INFO'
[EDGE:anchored_in] gates:CHI-Q-MICROSCOPIC-57 -> sessions:57  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-57/s57_gate_verdicts.txt | match='CHI-Q-MICROSCOPIC-57: INFO'
[EDGE:anchored_in] gates:OFF-JENSEN-EJ-57 -> sessions:57  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-57/s57_gate_verdicts.txt | match='OFF-JENSEN-EJ-57: PASS'
[EDGE:anchored_in] gates:BAYESIAN-FABRIC-57 -> sessions:57  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-57/s57_gate_verdicts.txt | match='BAYESIAN-FABRIC-57: INFO'
