## S58 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G4
## Files scanned: 12 (+ 0 in workshops/)
## Total edges (deduped): 51
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] data_provenance:58:session-58-addendum-substrate-measurement.md -> researchers:mack-cosmic-bridge  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-58/session-58-addendum-substrate-measurement.md | match='**Author**: Mack Cosmic Bridge'
[EDGE:authored_by] gates:58:session-58-addendum-substrate-measurement.md -> researchers:mack-cosmic-bridge  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-58/session-58-addendum-substrate-measurement.md | match='**Author**: Mack Cosmic Bridge'
[EDGE:authored_by] data_provenance:58:session-58-back-to-basics.md -> researchers:mack-cosmic-bridge  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-58/session-58-back-to-basics.md | match='**Author**: Katie Mack (Cosmic Bridge Agent)'
[EDGE:authored_by] gates:58:session-58-back-to-basics.md -> researchers:mack-cosmic-bridge  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-58/session-58-back-to-basics.md | match='**Author**: Katie Mack (Cosmic Bridge Agent)'
[EDGE:authored_by] data_provenance:58:session-58-baptista-collab.md -> researchers:baptista-spacetime-analyst  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-58/session-58-baptista-collab.md | match='**Author**: Baptista Spacetime Analyst'
[EDGE:authored_by] gates:58:session-58-baptista-collab.md -> researchers:baptista-spacetime-analyst  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-58/session-58-baptista-collab.md | match='**Author**: Baptista Spacetime Analyst'
[EDGE:authored_by] data_provenance:58:session-58-cosmicweb-collab.md -> researchers:cosmic-web-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-58/session-58-cosmicweb-collab.md | match='**Author**: Cosmic Web Theorist'
[EDGE:authored_by] gates:58:session-58-cosmicweb-collab.md -> researchers:cosmic-web-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-58/session-58-cosmicweb-collab.md | match='**Author**: Cosmic Web Theorist'
[EDGE:authored_by] data_provenance:58:session-58-hawking-collab.md -> researchers:hawking-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-58/session-58-hawking-collab.md | match='**Author**: Hawking Theorist'
[EDGE:authored_by] gates:58:session-58-hawking-collab.md -> researchers:hawking-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-58/session-58-hawking-collab.md | match='**Author**: Hawking Theorist'
[EDGE:authored_by] data_provenance:58:session-58-lrd-collab.md -> researchers:little-red-dots-jwst-analyst  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-58/session-58-lrd-collab.md | match='**Author**: Little Red Dots JWST Analyst'
[EDGE:authored_by] gates:58:session-58-lrd-collab.md -> researchers:little-red-dots-jwst-analyst  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-58/session-58-lrd-collab.md | match='**Author**: Little Red Dots JWST Analyst'
[EDGE:authored_by] data_provenance:58:session-58-mack-collab.md -> researchers:mack-cosmic-bridge  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-58/session-58-mack-collab.md | match='**Author**: Mack Cosmic Bridge'
[EDGE:authored_by] gates:58:session-58-mack-collab.md -> researchers:mack-cosmic-bridge  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-58/session-58-mack-collab.md | match='**Author**: Mack Cosmic Bridge'
[EDGE:authored_by] gates:W0-1 -> researchers:phonon-first-cosmologist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-58/session-58-results-workingpaper.md | match='### W0-1: Bayesian Emulator Rebuild Under Volovik Partition (phonon-first-cosmol'
[EDGE:authored_by] gates:W0-2 -> researchers:volovik-superfluid-universe-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-58/session-58-results-workingpaper.md | match='### W0-2: Near-Cancellation Across 50 Tau Points (volovik-superfluid-universe-th'
[EDGE:authored_by] gates:W0-3 -> researchers:quantum-acoustics-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-58/session-58-results-workingpaper.md | match='### W0-3: Dipolar Coupling from Full V_bare Matrix (quantum-acoustics-theorist)'
[EDGE:authored_by] gates:W0-4 -> researchers:phonon-first-cosmologist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-58/session-58-results-workingpaper.md | match='### W0-4: Equation of State Under Volovik Partition [Mack] (phonon-first-cosmolo'
[EDGE:authored_by] gates:W1-1 -> researchers:landau-condensed-matter-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-58/session-58-results-workingpaper.md | match='### W1-1: N_pair = 2 Exact Diagonalization on 2-Cell System (landau-condensed-ma'
[EDGE:authored_by] gates:W1-2 -> researchers:volovik-superfluid-universe-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-58/session-58-results-workingpaper.md | match='### W1-2: Richardson-Gaudin Hessian in Integral Space I^8 (volovik-superfluid-un'
[EDGE:authored_by] gates:W1-3 -> researchers:quantum-acoustics-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-58/session-58-results-workingpaper.md | match='### W1-3: Cubic and Quartic Leggett Mode Coupling (quantum-acoustics-theorist)'
[EDGE:authored_by] gates:W2-2 -> researchers:schwarzschild-penrose-geometer  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-58/session-58-results-workingpaper.md | match='### W2-2: Transit Dynamics in the 2D Potential (schwarzschild-penrose-geometer)'
[EDGE:authored_by] gates:W2-3 -> researchers:landau-condensed-matter-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-58/session-58-results-workingpaper.md | match='### W2-3: Landau Parameters and Pomeranchuk Stability (landau-condensed-matter-t'
[EDGE:authored_by] gates:W2-4 -> researchers:tesla-resonance  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-58/session-58-results-workingpaper.md | match='### W2-4: Three-Mode Resonance Census (tesla-resonance)'
[EDGE:authored_by] gates:W3-1 -> researchers:quantum-acoustics-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-58/session-58-results-workingpaper.md | match='### W3-1: Unruh Acoustic Metric Construction (quantum-acoustics-theorist)'
[EDGE:authored_by] gates:W3-2 -> researchers:berry-geometric-phase-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-58/session-58-results-workingpaper.md | match='### W3-2: Sub-Gap Andreev Phase Shift and Pi-Junction Search (berry-geometric-ph'
[EDGE:authored_by] gates:W3-3 -> researchers:baptista-spacetime-analyst  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-58/session-58-results-workingpaper.md | match='### W3-3: Spectral Action Hessian at the Fold (baptista-spacetime-analyst)'
[EDGE:authored_by] gates:W3-5 -> researchers:landau-condensed-matter-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-58/session-58-results-workingpaper.md | match='### W3-5: Superfluid Stiffness and BKT on Finite Graph (landau-condensed-matter-'
[EDGE:authored_by] gates:W3-7 -> researchers:tesla-resonance  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-58/session-58-results-workingpaper.md | match='### W3-7: Acoustic Impedance at Domain Boundaries (tesla-resonance)'
[EDGE:authored_by] gates:W3-8 -> researchers:tesla-resonance  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-58/session-58-results-workingpaper.md | match='### W3-8: omega_J vs omega_att Full Transit Verification (tesla-resonance)'
