## S60 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G4
## Files scanned: 17 (+ 0 in workshops/)
## Total edges (deduped): 53
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] data_provenance:60:framework-3HeB-comparison-naz-collab.md -> researchers:nazarewicz-nuclear-structure-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-60/framework-3HeB-comparison-naz-collab.md | match='**Author**: Nazarewicz Nuclear Structure Theorist'
[EDGE:authored_by] gates:60:framework-3HeB-comparison-naz-collab.md -> researchers:nazarewicz-nuclear-structure-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-60/framework-3HeB-comparison-naz-collab.md | match='**Author**: Nazarewicz Nuclear Structure Theorist'
[EDGE:authored_by] data_provenance:60:framework-3HeB-comparison.md -> researchers:volovik-superfluid-universe-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-60/framework-3HeB-comparison.md | match='**Author**: Volovik Superfluid Universe Theorist'
[EDGE:authored_by] data_provenance:60:framework-3HeB-comparison.md -> researchers:connes-ncg-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-60/framework-3HeB-comparison.md | match='**Author**: Connes NCG Theorist'
[EDGE:authored_by] gates:60:framework-3HeB-comparison.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-60/framework-3HeB-comparison.md | match='**Author**: Volovik Superfluid Universe Theorist'
[EDGE:authored_by] gates:60:framework-3HeB-comparison.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-60/framework-3HeB-comparison.md | match='**Author**: Connes NCG Theorist'
[EDGE:authored_by] data_provenance:60:framework-particle-emergence.md -> researchers:nazarewicz-nuclear-structure-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-60/framework-particle-emergence.md | match='**Author**: Nazarewicz Nuclear Structure Theorist'
[EDGE:authored_by] gates:60:framework-particle-emergence.md -> researchers:nazarewicz-nuclear-structure-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-60/framework-particle-emergence.md | match='**Author**: Nazarewicz Nuclear Structure Theorist'
[EDGE:authored_by] data_provenance:60:session-60-bap-collab.md -> researchers:baptista-spacetime-analyst  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-60/session-60-bap-collab.md | match='**Author**: Baptista Spacetime Analyst'
[EDGE:authored_by] gates:60:session-60-bap-collab.md -> researchers:baptista-spacetime-analyst  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-60/session-60-bap-collab.md | match='**Author**: Baptista Spacetime Analyst'
[EDGE:authored_by] data_provenance:60:session-60-hawking-collab.md -> researchers:hawking-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-60/session-60-hawking-collab.md | match='**Author**: Hawking Theorist'
[EDGE:authored_by] gates:60:session-60-hawking-collab.md -> researchers:hawking-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-60/session-60-hawking-collab.md | match='**Author**: Hawking Theorist'
[EDGE:authored_by] data_provenance:60:session-60-landau-collab.md -> researchers:landau-condensed-matter-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-60/session-60-landau-collab.md | match='**Author**: Landau Condensed Matter Theorist'
[EDGE:authored_by] gates:60:session-60-landau-collab.md -> researchers:landau-condensed-matter-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-60/session-60-landau-collab.md | match='**Author**: Landau Condensed Matter Theorist'
