## S66 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G5
## Files scanned: 21 (+ 0 in workshops/)
## Total edges (deduped): 78
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] data_provenance:66:session-66-baptista-collab.md -> researchers:baptista-spacetime-analyst  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-66/session-66-baptista-collab.md | match='**Author**: Baptista Spacetime-Analyst'
[EDGE:authored_by] gates:66:session-66-baptista-collab.md -> researchers:baptista-spacetime-analyst  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-66/session-66-baptista-collab.md | match='**Author**: Baptista Spacetime-Analyst'
[EDGE:authored_by] data_provenance:66:session-66-cosmic-web-collab.md -> researchers:cosmic-web-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-66/session-66-cosmic-web-collab.md | match='**Author**: Cosmic-Web Theorist'
[EDGE:authored_by] gates:66:session-66-cosmic-web-collab.md -> researchers:cosmic-web-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-66/session-66-cosmic-web-collab.md | match='**Author**: Cosmic-Web Theorist'
[EDGE:participates_in] researchers:einstein-theorist -> data_provenance:data_provenance:sessions/archive/session-66/session-66-einstein-phonon-first-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-66/session-66-einstein-phonon-first-workshop.md | match='einstein (einstein-theorist)'
[EDGE:participates_in] researchers:phonon-first-cosmologist -> data_provenance:data_provenance:sessions/archive/session-66/session-66-einstein-phonon-first-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-66/session-66-einstein-phonon-first-workshop.md | match='phonon-first (phonon-first-cosmologist)'
[EDGE:authored_by] data_provenance:66:session-66-inflation-exflation-synthesis.md -> researchers:mack-cosmic-bridge  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-66/session-66-inflation-exflation-synthesis.md | match='**Author**: Katie Mack (Cosmic Bridge Agent)'
[EDGE:authored_by] gates:66:session-66-inflation-exflation-synthesis.md -> researchers:mack-cosmic-bridge  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-66/session-66-inflation-exflation-synthesis.md | match='**Author**: Katie Mack (Cosmic Bridge Agent)'
[EDGE:authored_by] data_provenance:66:session-66-landau-collab.md -> researchers:landau-condensed-matter-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-66/session-66-landau-collab.md | match='**Author**: Landau Condensed-Matter Theorist'
[EDGE:authored_by] gates:66:session-66-landau-collab.md -> researchers:landau-condensed-matter-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-66/session-66-landau-collab.md | match='**Author**: Landau Condensed-Matter Theorist'
[EDGE:authored_by] data_provenance:66:session-66-lizzi-collab.md -> researchers:lizzi-spectral-functional-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-66/session-66-lizzi-collab.md | match='**Author**: Lizzi Spectral-Functional Theorist'
