## S69 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G5
## Files scanned: 13 (+ 0 in workshops/)
## Total edges (deduped): 53
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:reviewed_by] data_provenance:69:s69-bucher-singularity-review.md -> researchers:landau-condensed-matter-theorist  # G3 | role=adversarial_review | conf=header-parsed | src=sessions/archive/session-69/s69-bucher-singularity-review.md | match='**Reviewer**: Landau Condensed-Matter Theorist'
[EDGE:authored_by] data_provenance:69:session-69-baptista-collab.md -> researchers:baptista-spacetime-analyst  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-69/session-69-baptista-collab.md | match='session-69-baptista-collab.md'
[EDGE:authored_by] gates:69:session-69-baptista-collab.md -> researchers:baptista-spacetime-analyst  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-69/session-69-baptista-collab.md | match='**Agent**: Baptista Spacetime Analyst (Workhorse-KK-Geometry)'
[EDGE:authored_by] data_provenance:69:session-69-cosmic-web-collab.md -> researchers:cosmic-web-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-69/session-69-cosmic-web-collab.md | match='**Author**: Cosmic Web Theorist'
[EDGE:authored_by] gates:69:session-69-cosmic-web-collab.md -> researchers:cosmic-web-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-69/session-69-cosmic-web-collab.md | match='**Author**: Cosmic Web Theorist'
[EDGE:reviewed_by] data_provenance:69:session-69-dungen-collab.md -> researchers:van-den-dungen-bridge-theorist  # G3 | role=adversarial_review | conf=header-parsed | src=sessions/archive/session-69/session-69-dungen-collab.md | match='**Reviewer**: Van den Dungen (NCG submersion bridge)'
[EDGE:authored_by] data_provenance:69:session-69-lizzi-collab.md -> researchers:lizzi-spectral-functional-theorist  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-69/session-69-lizzi-collab.md | match='session-69-lizzi-collab.md'
[EDGE:authored_by] data_provenance:69:session-69-mack-collab.md -> researchers:mack-cosmic-bridge  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-69/session-69-mack-collab.md | match='**Author**: Mack Cosmic Bridge'
[EDGE:authored_by] gates:69:session-69-mack-collab.md -> researchers:mack-cosmic-bridge  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-69/session-69-mack-collab.md | match='**Author**: Mack Cosmic Bridge'
[EDGE:reviewed_by] data_provenance:69:session-69-phonon-first-collab.md -> researchers:phonon-first-cosmologist  # G3 | role=adversarial_review | conf=header-parsed | src=sessions/archive/session-69/session-69-phonon-first-collab.md | match='**Reviewer**: Phonon-First Cosmologist'
[EDGE:authored_by] gates:W1-A -> researchers:landau-condensed-matter-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-69/session-69-results-workingpaper.md | match='### W1-A: PHI-EFF-BCS-BOGOL-69 -- Squeeze Phase Determination (landau-condensed-'
[EDGE:authored_by] gates:W1-B -> researchers:gen-physicist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-69/session-69-results-workingpaper.md | match='### W1-B: AS-NORMALIZATION-CHAIN-69 -- Resolve 12.9x Mismatch (gen-physicist)'
[EDGE:authored_by] gates:W1-C -> researchers:mack-cosmic-bridge  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-69/session-69-results-workingpaper.md | match='### W1-C: ISW-TRACKING-BOLTZMANN-69 -- Full Boltzmann ISW (mack-cosmic-bridge)'
[EDGE:authored_by] gates:W1-E -> researchers:gen-physicist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-69/session-69-results-workingpaper.md | match='### W1-E: OFF-JENSEN-SA-69 -- Off-Jensen Spectral Action (gen-physicist)'
[EDGE:authored_by] gates:W1-F -> researchers:quantum-acoustics-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-69/session-69-results-workingpaper.md | match='### W1-F: NON-BD-SQUEEZE-RECONCILED-69 -- Reconciled Squeeze Estimate (quantum-a'
[EDGE:authored_by] gates:W2-A -> researchers:gen-physicist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-69/session-69-results-workingpaper.md | match='### W2-A: TRANSIT-CONSISTENCY-69 -- Impulsive Consistency Relations (gen-physici'
[EDGE:authored_by] gates:W2-C -> researchers:mack-cosmic-bridge  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-69/session-69-results-workingpaper.md | match='### W2-C: CMB-S4-NS-PREREGISTER-69 -- n_s Decision Rules (mack-cosmic-bridge)'
[EDGE:authored_by] gates:W2-D -> researchers:mack-cosmic-bridge  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-69/session-69-results-workingpaper.md | match='### W2-D: PVD-05-FSIGMA8-69 -- Growth Rate vs Data (mack-cosmic-bridge)'
[EDGE:authored_by] gates:W2-E -> researchers:mack-cosmic-bridge  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-69/session-69-results-workingpaper.md | match='### W2-E: PVD-04-SNE-PANTHEON-69 -- Supernova Distance Modulus (mack-cosmic-brid'
[EDGE:authored_by] gates:W2-F -> researchers:gen-physicist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-69/session-69-results-workingpaper.md | match='### W2-F: PVD-13-DA-DESI-69 -- Angular Diameter Distance (gen-physicist)'
[EDGE:authored_by] gates:W2-G -> researchers:gen-physicist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-69/session-69-results-workingpaper.md | match='### W2-G: C2-DEGENERACY-LIFT-AS-69 -- Degeneracy Lifting A_s Channel (gen-physic'
[EDGE:authored_by] gates:W3-A -> researchers:schwarzschild-penrose-geometer  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-69/session-69-results-workingpaper.md | match='### W3-A: SONIC-PENROSE-INEQUALITY-69 -- Geometric A_s Bound (schwarzschild-penr'
[EDGE:authored_by] gates:W3-B -> researchers:mack-cosmic-bridge  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-69/session-69-results-workingpaper.md | match='### W3-B: EUCLID-ISW-RSD-JOINT-69 -- Combined Fisher Forecast (mack-cosmic-bridg'
[EDGE:authored_by] gates:W3-C -> researchers:baptista-spacetime-analyst  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-69/session-69-results-workingpaper.md | match='### W3-C: KK-THRESHOLD-HIGGS-QUARTIC-69 -- Corrected Higgs Mass (baptista-spacet'
[EDGE:authored_by] gates:W3-D -> researchers:gen-physicist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-69/session-69-results-workingpaper.md | match='### W3-D: PVD-07-PLANCK-CL-69 -- Planck Power Spectrum Shape Test (gen-physicist'
[EDGE:authored_by] gates:W4-A -> researchers:einstein-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-69/session-69-results-workingpaper.md | match='### W4-A: EP-TRANSIT-CORRECTION-69 -- Finite Relaxation Correction to eps_H (ein'
[EDGE:authored_by] gates:W4-B -> researchers:gen-physicist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-69/session-69-results-workingpaper.md | match='### W4-B: SWAMPLAND-1LOOP-69 -- BCS-Dressed Swampland Distance (gen-physicist)'
[EDGE:authored_by] gates:W4-C -> researchers:einstein-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-69/session-69-results-workingpaper.md | match='### W4-C: CONFORMAL-ANOMALY-EPSH-69 -- Anomaly vs eps_H Protection (einstein-the'
[EDGE:authored_by] gates:W4-D -> researchers:mack-cosmic-bridge  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-69/session-69-results-workingpaper.md | match='### W4-D: EUCLID-LENSING-TRACKING-69 -- CMB Lensing from Tracking DE (mack-cosmi'
[EDGE:authored_by] gates:W4-E -> researchers:phonon-first-cosmologist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-69/session-69-results-workingpaper.md | match='### W4-E: SPECTRAL-DIM-BCS-PROTECTION-69 -- d_s Protection Under BCS (phonon-fir'
[EDGE:authored_by] gates:W4-F -> researchers:schwarzschild-penrose-geometer  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-69/session-69-results-workingpaper.md | match='### W4-F: CONFORMAL-FACTOR-TRANSIT-69 -- Penrose Diagram Shape (schwarzschild-pe'
[EDGE:authored_by] gates:W4-G -> researchers:baptista-spacetime-analyst  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-69/session-69-results-workingpaper.md | match='### W4-G: BCS-DRESSED-HESSIAN-69 -- Fold Stability Under BCS (baptista-spacetime'
