## S70 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G5
## Files scanned: 6 (+ 0 in workshops/)
## Total edges (deduped): 66
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] data_provenance:70:session-70-connes-synthesis.md -> researchers:connes-ncg-theorist  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-70/session-70-connes-synthesis.md | match='session-70-connes-synthesis.md'
[EDGE:authored_by] gates:70:session-70-connes-synthesis.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-70/session-70-connes-synthesis.md | match='**Agent**: Connes-NCG-Theorist (Workhorse-NCG)'
[EDGE:authored_by] data_provenance:70:session-70-gen-physicist-synthesis.md -> researchers:gen-physicist  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-70/session-70-gen-physicist-synthesis.md | match='session-70-gen-physicist-synthesis.md'
[EDGE:authored_by] gates:70:session-70-gen-physicist-synthesis.md -> researchers:gen-physicist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-70/session-70-gen-physicist-synthesis.md | match='**Agent**: Gen-Physicist'
[EDGE:participates_in] researchers:hawking-theorist -> data_provenance:data_provenance:sessions/archive/session-70/session-70-hawking-phonon-first-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-70/session-70-hawking-phonon-first-workshop.md | match='hawking (hawking-theorist)'
[EDGE:participates_in] researchers:phonon-first-cosmologist -> data_provenance:data_provenance:sessions/archive/session-70/session-70-hawking-phonon-first-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-70/session-70-hawking-phonon-first-workshop.md | match='phonon-first (phonon-first-cosmologist)'
[EDGE:authored_round] researchers:hawking-theorist -> data_provenance:data_provenance:sessions/archive/session-70/session-70-hawking-phonon-first-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-70/session-70-hawking-phonon-first-workshop.md | match='## Round 1 — Hawking'
[EDGE:authored_round] researchers:phonon-first-cosmologist -> data_provenance:data_provenance:sessions/archive/session-70/session-70-hawking-phonon-first-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-70/session-70-hawking-phonon-first-workshop.md | match='## Round 1 — Phonon-First'
[EDGE:authored_round] researchers:hawking-theorist -> data_provenance:data_provenance:sessions/archive/session-70/session-70-hawking-phonon-first-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-70/session-70-hawking-phonon-first-workshop.md | match='## Round 2 — Hawking'
[EDGE:authored_round] researchers:phonon-first-cosmologist -> data_provenance:data_provenance:sessions/archive/session-70/session-70-hawking-phonon-first-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-70/session-70-hawking-phonon-first-workshop.md | match='## Round 2 — Phonon-First'
[EDGE:participates_in] researchers:landau-condensed-matter-theorist -> data_provenance:data_provenance:sessions/archive/session-70/session-70-landau-lizzi-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-70/session-70-landau-lizzi-workshop.md | match='landau (landau-condensed-matter-theorist)'
