## S71 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G5
## Files scanned: 8 (+ 0 in workshops/)
## Total edges (deduped): 41
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] data_provenance:71:session-71-dirac-synthesis.md -> researchers:dirac-antimatter-theorist  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-71/session-71-dirac-synthesis.md | match='session-71-dirac-synthesis.md'
[EDGE:authored_by] gates:71:session-71-dirac-synthesis.md -> researchers:dirac-antimatter-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-71/session-71-dirac-synthesis.md | match='**Agent**: dirac-antimatter-theorist (dirac)'
[EDGE:participates_in] researchers:landau-condensed-matter-theorist -> data_provenance:data_provenance:sessions/archive/session-71/session-71-landau-baptista-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-71/session-71-landau-baptista-workshop.md | match='landau (landau-condensed-matter-theorist)'
[EDGE:participates_in] researchers:baptista-spacetime-analyst -> data_provenance:data_provenance:sessions/archive/session-71/session-71-landau-baptista-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-71/session-71-landau-baptista-workshop.md | match='baptista (baptista-spacetime-analyst)'
[EDGE:authored_round] researchers:landau-condensed-matter-theorist -> data_provenance:data_provenance:sessions/archive/session-71/session-71-landau-baptista-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-71/session-71-landau-baptista-workshop.md | match='## Round 1 — Landau'
[EDGE:authored_round] researchers:baptista-spacetime-analyst -> data_provenance:data_provenance:sessions/archive/session-71/session-71-landau-baptista-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-71/session-71-landau-baptista-workshop.md | match='## Round 1 — Baptista'
[EDGE:authored_round] researchers:landau-condensed-matter-theorist -> data_provenance:data_provenance:sessions/archive/session-71/session-71-landau-baptista-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-71/session-71-landau-baptista-workshop.md | match='## Round 2 — Landau'
[EDGE:authored_round] researchers:baptista-spacetime-analyst -> data_provenance:data_provenance:sessions/archive/session-71/session-71-landau-baptista-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-71/session-71-landau-baptista-workshop.md | match='## Round 2 — Baptista'
[EDGE:participates_in] researchers:mack-cosmic-bridge -> data_provenance:data_provenance:sessions/archive/session-71/session-71-mack-van-den-dungen-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-71/session-71-mack-van-den-dungen-workshop.md | match='mack (mack-cosmic-bridge)'
[EDGE:participates_in] researchers:van-den-dungen-bridge-theorist -> data_provenance:data_provenance:sessions/archive/session-71/session-71-mack-van-den-dungen-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-71/session-71-mack-van-den-dungen-workshop.md | match='van-den-dungen (van-den-dungen-bridge-theorist)'
[EDGE:authored_round] researchers:mack-cosmic-bridge -> data_provenance:data_provenance:sessions/archive/session-71/session-71-mack-van-den-dungen-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-71/session-71-mack-van-den-dungen-workshop.md | match='## Round 1 — Mack'
