## S72 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G5
## Files scanned: 16 (+ 0 in workshops/)
## Total edges (deduped): 52
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] gates:72:session-72-audit-connes.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-72/session-72-audit-connes.md | match='**Agent**: connes-ncg-theorist (Workhorse-NCG)'
[EDGE:authored_by] gates:72:session-72-audit-landau.md -> researchers:landau-condensed-matter-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-72/session-72-audit-landau.md | match='**Agent**: landau-condensed-matter-theorist'
[EDGE:authored_by] data_provenance:72:session-72-audit-mack.md -> researchers:mack-cosmic-bridge  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-72/session-72-audit-mack.md | match='**Author**: Katie Mack (Cosmic Bridge)'
[EDGE:authored_by] gates:72:session-72-audit-mack.md -> researchers:mack-cosmic-bridge  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-72/session-72-audit-mack.md | match='**Author**: Katie Mack (Cosmic Bridge)'
[EDGE:authored_by] data_provenance:72:session-72-audit-phonon-first.md -> researchers:phonon-first-cosmologist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-72/session-72-audit-phonon-first.md | match='**Author**: Phonon-First Cosmologist'
[EDGE:authored_by] gates:72:session-72-audit-phonon-first.md -> researchers:phonon-first-cosmologist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-72/session-72-audit-phonon-first.md | match='**Author**: Phonon-First Cosmologist'
[EDGE:authored_by] gates:72:session-72-audit-volovik.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-72/session-72-audit-volovik.md | match='**Agent**: volovik-superfluid-universe-theorist'
[EDGE:authored_by] data_provenance:72:session-72-laminar-flow-workshop-tesla-collab.md -> researchers:tesla-resonance  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-72/session-72-laminar-flow-workshop-tesla-collab.md | match='**Author**: Tesla Resonance'
[EDGE:authored_by] gates:72:session-72-laminar-flow-workshop-tesla-collab.md -> researchers:tesla-resonance  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-72/session-72-laminar-flow-workshop-tesla-collab.md | match='**Author**: Tesla Resonance'
[EDGE:participates_in] researchers:volovik-superfluid-universe-theorist -> data_provenance:data_provenance:sessions/archive/session-72/session-72-laminar-flow-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-72/session-72-laminar-flow-workshop.md | match='volovik (volovik-superfluid-universe-theorist)'
[EDGE:participates_in] researchers:quantum-acoustics-theorist -> data_provenance:data_provenance:sessions/archive/session-72/session-72-laminar-flow-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-72/session-72-laminar-flow-workshop.md | match='quantum-acoustics (quantum-acoustics-theorist)'
