## S73b Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G5
## Files scanned: 7 (+ 0 in workshops/)
## Total edges (deduped): 44
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] data_provenance:73b:session-73b-dirac-synthesis.md -> researchers:dirac-antimatter-theorist  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-73b/session-73b-dirac-synthesis.md | match='session-73b-dirac-synthesis.md'
[EDGE:authored_by] gates:73b:session-73b-dirac-synthesis.md -> researchers:dirac-antimatter-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-73b/session-73b-dirac-synthesis.md | match='**Agent**: dirac-antimatter-theorist (Workhorse-Antimatter)'
[EDGE:participates_in] researchers:landau-condensed-matter-theorist -> data_provenance:data_provenance:sessions/archive/session-73b/session-73b-landau-baptista-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-73b/session-73b-landau-baptista-workshop.md | match='landau (landau-condensed-matter-theorist)'
[EDGE:participates_in] researchers:baptista-spacetime-analyst -> data_provenance:data_provenance:sessions/archive/session-73b/session-73b-landau-baptista-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-73b/session-73b-landau-baptista-workshop.md | match='baptista (baptista-spacetime-analyst)'
[EDGE:authored_round] researchers:landau-condensed-matter-theorist -> data_provenance:data_provenance:sessions/archive/session-73b/session-73b-landau-baptista-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-73b/session-73b-landau-baptista-workshop.md | match='## Round 1 — landau'
[EDGE:authored_round] researchers:baptista-spacetime-analyst -> data_provenance:data_provenance:sessions/archive/session-73b/session-73b-landau-baptista-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-73b/session-73b-landau-baptista-workshop.md | match='## Round 1 — baptista'
[EDGE:authored_round] researchers:landau-condensed-matter-theorist -> data_provenance:data_provenance:sessions/archive/session-73b/session-73b-landau-baptista-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-73b/session-73b-landau-baptista-workshop.md | match='## Round 2 — landau'
[EDGE:authored_round] researchers:baptista-spacetime-analyst -> data_provenance:data_provenance:sessions/archive/session-73b/session-73b-landau-baptista-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-73b/session-73b-landau-baptista-workshop.md | match='## Round 2 — baptista'
[EDGE:participates_in] researchers:mack-cosmic-bridge -> data_provenance:data_provenance:sessions/archive/session-73b/session-73b-mack-vdd-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-73b/session-73b-mack-vdd-workshop.md | match='mack (mack-cosmic-bridge)'
[EDGE:participates_in] researchers:van-den-dungen-bridge-theorist -> data_provenance:data_provenance:sessions/archive/session-73b/session-73b-mack-vdd-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-73b/session-73b-mack-vdd-workshop.md | match='vdd (van-den-dungen-bridge-theorist)'
[EDGE:authored_round] researchers:mack-cosmic-bridge -> data_provenance:data_provenance:sessions/archive/session-73b/session-73b-mack-vdd-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-73b/session-73b-mack-vdd-workshop.md | match='## Round 1 — mack'
[EDGE:authored_round] researchers:van-den-dungen-bridge-theorist -> data_provenance:data_provenance:sessions/archive/session-73b/session-73b-mack-vdd-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-73b/session-73b-mack-vdd-workshop.md | match='## Round 1 — vdd'
[EDGE:authored_round] researchers:mack-cosmic-bridge -> data_provenance:data_provenance:sessions/archive/session-73b/session-73b-mack-vdd-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-73b/session-73b-mack-vdd-workshop.md | match='## Round 2 — mack'
[EDGE:authored_round] researchers:van-den-dungen-bridge-theorist -> data_provenance:data_provenance:sessions/archive/session-73b/session-73b-mack-vdd-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-73b/session-73b-mack-vdd-workshop.md | match='## Round 2 — vdd'
[EDGE:participates_in] researchers:phonon-first-cosmologist -> data_provenance:data_provenance:sessions/archive/session-73b/session-73b-phonon-first-hawking-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-73b/session-73b-phonon-first-hawking-workshop.md | match='phonon-first (phonon-first-cosmologist)'
[EDGE:participates_in] researchers:hawking-theorist -> data_provenance:data_provenance:sessions/archive/session-73b/session-73b-phonon-first-hawking-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-73b/session-73b-phonon-first-hawking-workshop.md | match='hawking (hawking-theorist)'
[EDGE:authored_round] researchers:phonon-first-cosmologist -> data_provenance:data_provenance:sessions/archive/session-73b/session-73b-phonon-first-hawking-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-73b/session-73b-phonon-first-hawking-workshop.md | match='## Round 1 — phonon-first'
