## S74 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G5
## Files scanned: 16 (+ 0 in workshops/)
## Total edges (deduped): 112
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] data_provenance:74:session-74-einstein-synthesis.md -> researchers:einstein-theorist  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-74/session-74-einstein-synthesis.md | match='session-74-einstein-synthesis.md'
[EDGE:authored_by] gates:74:session-74-einstein-synthesis.md -> researchers:einstein-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-einstein-synthesis.md | match='**Agent**: einstein-theorist'
[EDGE:authored_by] data_provenance:74:session-74-hawking-synthesis.md -> researchers:hawking-theorist  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-74/session-74-hawking-synthesis.md | match='session-74-hawking-synthesis.md'
[EDGE:authored_by] gates:74:session-74-hawking-synthesis.md -> researchers:hawking-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-hawking-synthesis.md | match='**Agent**: hawking-theorist (Hawking)'
[EDGE:authored_by] data_provenance:74:session-74-lizzi-synthesis.md -> researchers:lizzi-spectral-functional-theorist  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-74/session-74-lizzi-synthesis.md | match='session-74-lizzi-synthesis.md'
[EDGE:authored_by] gates:74:session-74-lizzi-synthesis.md -> researchers:lizzi-spectral-functional-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-lizzi-synthesis.md | match='**Agent**: lizzi-spectral-functional-theorist (Lizzi)'
[EDGE:authored_by] data_provenance:74:session-74-luxe-pre-registration.md -> researchers:feynman-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-luxe-pre-registration.md | match='**Author**: Feynman-Theorist'
[EDGE:authored_by] gates:74:session-74-luxe-pre-registration.md -> researchers:feynman-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-luxe-pre-registration.md | match='**Author**: Feynman-Theorist'
[EDGE:participates_in] researchers:mack-cosmic-bridge -> data_provenance:data_provenance:sessions/archive/session-74/session-74-mack-landau-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-74/session-74-mack-landau-workshop.md | match='mack (mack-cosmic-bridge)'
[EDGE:participates_in] researchers:landau-condensed-matter-theorist -> data_provenance:data_provenance:sessions/archive/session-74/session-74-mack-landau-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-74/session-74-mack-landau-workshop.md | match='landau (landau-condensed-matter-theorist)'
[EDGE:authored_round] researchers:mack-cosmic-bridge -> data_provenance:data_provenance:sessions/archive/session-74/session-74-mack-landau-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-74/session-74-mack-landau-workshop.md | match='## Round 1 — mack'
