## S75 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G5
## Files scanned: 12 (+ 0 in workshops/)
## Total edges (deduped): 79
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:participates_in] researchers:baptista-spacetime-analyst -> data_provenance:data_provenance:sessions/archive/session-75/session-75-baptista-qa-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-75/session-75-baptista-qa-workshop.md | match='Baptista (baptista-spacetime-analyst)'
[EDGE:participates_in] researchers:quantum-acoustics-theorist -> data_provenance:data_provenance:sessions/archive/session-75/session-75-baptista-qa-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-75/session-75-baptista-qa-workshop.md | match='QA (quantum-acoustics-theorist)'
[EDGE:authored_round] researchers:baptista-spacetime-analyst -> data_provenance:data_provenance:sessions/archive/session-75/session-75-baptista-qa-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-75/session-75-baptista-qa-workshop.md | match='## Round 1 — Baptista'
[EDGE:authored_round] researchers:quantum-acoustics-theorist -> data_provenance:data_provenance:sessions/archive/session-75/session-75-baptista-qa-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-75/session-75-baptista-qa-workshop.md | match='## Round 1 — QA'
[EDGE:authored_round] researchers:baptista-spacetime-analyst -> data_provenance:data_provenance:sessions/archive/session-75/session-75-baptista-qa-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-75/session-75-baptista-qa-workshop.md | match='## Round 2 — Baptista'
[EDGE:authored_round] researchers:quantum-acoustics-theorist -> data_provenance:data_provenance:sessions/archive/session-75/session-75-baptista-qa-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-75/session-75-baptista-qa-workshop.md | match='## Round 2 — QA'
[EDGE:authored_by] data_provenance:75:session-75-baptista-synthesis.md -> researchers:baptista-spacetime-analyst  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-75/session-75-baptista-synthesis.md | match='session-75-baptista-synthesis.md'
[EDGE:authored_by] data_provenance:75:session-75-mack-synthesis.md -> researchers:mack-cosmic-bridge  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-75/session-75-mack-synthesis.md | match='session-75-mack-synthesis.md'
[EDGE:participates_in] researchers:mack-cosmic-bridge -> data_provenance:data_provenance:sessions/archive/session-75/session-75-mack-transit-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-75/session-75-mack-transit-workshop.md | match='Mack (mack-cosmic-bridge)'
[EDGE:participates_in] researchers:transit-dynamics-theorist -> data_provenance:data_provenance:sessions/archive/session-75/session-75-mack-transit-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-75/session-75-mack-transit-workshop.md | match='Transit (transit-dynamics-theorist)'
[EDGE:authored_round] researchers:mack-cosmic-bridge -> data_provenance:data_provenance:sessions/archive/session-75/session-75-mack-transit-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-75/session-75-mack-transit-workshop.md | match='## Round 1 — Mack'
[EDGE:authored_round] researchers:mack-cosmic-bridge -> data_provenance:data_provenance:sessions/archive/session-75/session-75-mack-transit-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-75/session-75-mack-transit-workshop.md | match='## Round 2 — Mack'
[EDGE:authored_by] data_provenance:75:session-75-pomeranchuk-audit.md -> researchers:tesla-resonance  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-75/session-75-pomeranchuk-audit.md | match='**Author**: Tesla-Resonance (Workhorse-Resonance)'
[EDGE:authored_by] gates:75:session-75-pomeranchuk-audit.md -> researchers:tesla-resonance  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-75/session-75-pomeranchuk-audit.md | match='**Author**: Tesla-Resonance (Workhorse-Resonance)'
[EDGE:authored_by] data_provenance:75:session-75-qa-synthesis.md -> researchers:quantum-acoustics-theorist  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-75/session-75-qa-synthesis.md | match='session-75-qa-synthesis.md'
[EDGE:authored_by] gates:75:session-75-qa-synthesis.md -> researchers:quantum-acoustics-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-75/session-75-qa-synthesis.md | match='**Agent**: Quantum-Acoustics Theorist'
[EDGE:authored_by] gates:W1-A -> researchers:transit-dynamics-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-75/session-75-results-workingpaper.md | match='### W1-A: H-PHYS-REDUCTION-75 -- Effective Hubble at Perturbation Epoch vs. Fold'
[EDGE:authored_by] gates:W1-B -> researchers:transit-dynamics-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-75/session-75-results-workingpaper.md | match='### W1-B: B1-TENSOR-MIXING-75 -- Does the B1 Acoustic Branch Project to Scalar o'
