## S78 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G6
## Files scanned: 2 (+ 0 in workshops/)
## Total edges (deduped): 15
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:synthesized_by] gates:USER -> sessions:(wave-synthesis)  # G6 | role=orchestrator | conf=header-parsed | src=sessions/archive/session-78/session-78-results-workingpaper.md | match='**Owner**: synthesized across Wave 1 (not a single-agent gate)'
[EDGE:authored_by] gates:W1- -> researchers:transit-dynamics-theorist  # G6 | role=primary | conf=header-parsed | src=sessions/archive/session-78/session-78-results-workingpaper.md | match='**Owner**: transit-dynamics-theorist'
[EDGE:authored_by] gates:W1- -> researchers:einstein-theorist  # G6 | role=primary | conf=header-parsed | src=sessions/archive/session-78/session-78-results-workingpaper.md | match='**Owner**: einstein-theorist'
[EDGE:authored_by] gates:W1- -> researchers:landau-condensed-matter-theorist  # G6 | role=primary | conf=header-parsed | src=sessions/archive/session-78/session-78-results-workingpaper.md | match='**Owner**: landau-condensed-matter-theorist'
[EDGE:authored_by] gates:W2- -> researchers:landau-condensed-matter-theorist  # G6 | role=primary | conf=header-parsed | src=sessions/archive/session-78/session-78-results-workingpaper.md | match='**Owner**: landau-condensed-matter-theorist'
[EDGE:authored_by] gates:W2- -> researchers:lizzi-spectral-functional-theorist  # G6 | role=primary | conf=header-parsed | src=sessions/archive/session-78/session-78-results-workingpaper.md | match='**Owner**: lizzi-spectral-functional-theorist'
[EDGE:authored_by] gates:W2- -> researchers:transit-dynamics-theorist  # G6 | role=primary | conf=header-parsed | src=sessions/archive/session-78/session-78-results-workingpaper.md | match='**Owner**: transit-dynamics-theorist'
[EDGE:authored_by] gates:W3- -> researchers:lizzi-spectral-functional-theorist  # G6 | role=primary | conf=header-parsed | src=sessions/archive/session-78/session-78-results-workingpaper.md | match='**Owner**: lizzi-spectral-functional-theorist'
[EDGE:authored_by] gates:W3- -> researchers:transit-dynamics-theorist  # G6 | role=primary | conf=header-parsed | src=sessions/archive/session-78/session-78-results-workingpaper.md | match='**Owner**: transit-dynamics-theorist'
[EDGE:authored_by] gates:W3- -> researchers:einstein-theorist  # G6 | role=primary | conf=header-parsed | src=sessions/archive/session-78/session-78-results-workingpaper.md | match='**Owner**: einstein-theorist'
[EDGE:authored_by] gates:W3- -> researchers:volovik-superfluid-universe-theorist  # G6 | role=primary | conf=header-parsed | src=sessions/archive/session-78/session-78-results-workingpaper.md | match='**Owner**: volovik-superfluid-universe-theorist'
[EDGE:authored_by] gates:W3- -> researchers:mack-cosmic-bridge  # G6 | role=primary | conf=header-parsed | src=sessions/archive/session-78/session-78-results-workingpaper.md | match='**Owner**: mack-cosmic-bridge'
[EDGE:authored_by] gates:W3- -> researchers:quantum-acoustics-theorist  # G6 | role=primary | conf=header-parsed | src=sessions/archive/session-78/session-78-results-workingpaper.md | match='**Owner**: quantum-acoustics-theorist (qa)'
[EDGE:authored_by] gates:W3- -> researchers:schwarzschild-penrose-geometer  # G6 | role=primary | conf=header-parsed | src=sessions/archive/session-78/session-78-results-workingpaper.md | match='**Owner**: schwarzschild-penrose-geometer'
[EDGE:authored_by] gates:W3- -> researchers:landau-condensed-matter-theorist  # G6 | role=primary | conf=header-parsed | src=sessions/archive/session-78/session-78-results-workingpaper.md | match='**Owner**: landau-condensed-matter-theorist'
