## S78 Chain-of-Custody Edges (generated by tools/harvest_chain_of_custody_edges.py)
## Generated: 2026-06-13T17:43:18Z
## Workingpapers scanned: 1
## Verdict files scanned: 1
## Plan files scanned: 2
## Session .md files scanned (cited_in scope): 3
## Total edges (deduped): 23
## Edge types: anchored_in,cited_in
## Extractors: tools/_chain_of_custody_extractors.py (self-test 11/11 PASS)

[EDGE:anchored_in] gates:S78-W1-A-AS-NORM-TRACE -> sessions:78  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-78/s78_gate_verdicts.txt | match='S78-W1-A-AS-NORM-TRACE: PASS'
[EDGE:anchored_in] gates:S78-W1-B-NORM-INDEP-VERIFY -> sessions:78  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-78/s78_gate_verdicts.txt | match='S78-W1-B-NORM-INDEP-VERIFY: FAIL'
[EDGE:anchored_in] gates:S78-W1-D-MULTI-BAND-ECOND -> sessions:78  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-78/s78_gate_verdicts.txt | match='S78-W1-D-MULTI-BAND-ECOND: FAIL'
[EDGE:anchored_in] gates:S78-W1-E-PRE-FOLD-VACUUM -> sessions:78  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-78/s78_gate_verdicts.txt | match='S78-W1-E-PRE-FOLD-VACUUM: FAIL'
[EDGE:anchored_in] gates:S78-W2-D-F-CONV-ANOMALY -> sessions:78  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-78/s78_gate_verdicts.txt | match='S78-W2-D-F-CONV-ANOMALY: FAIL'
[EDGE:anchored_in] gates:S78-W2-F-A4-R2-F-STAR -> sessions:78  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-78/s78_gate_verdicts.txt | match='S78-W2-F-A4-R2-F-STAR: PASS'
[EDGE:anchored_in] gates:S78-W2-C-ZETA-JOSEPHSON -> sessions:78  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-78/s78_gate_verdicts.txt | match='S78-W2-C-ZETA-JOSEPHSON: FAIL'
[EDGE:anchored_in] gates:S78-W2-A-MU-EFF-96X96 -> sessions:78  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-78/s78_gate_verdicts.txt | match='S78-W2-A-MU-EFF-96X96: FAIL'
[EDGE:anchored_in] gates:S78-W3-E-1-PRE-IC -> sessions:78  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-78/s78_gate_verdicts.txt | match='S78-W3-E-1-PRE-IC: FAIL'
[EDGE:anchored_in] gates:S78-W3-E-2-REQUIRED-SUPP -> sessions:78  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-78/s78_gate_verdicts.txt | match='S78-W3-E-2-REQUIRED-SUPP: FAIL'
[EDGE:anchored_in] gates:S78-W3-B-FAMP-TILT-SMOOTH -> sessions:78  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-78/s78_gate_verdicts.txt | match='S78-W3-B-FAMP-TILT-SMOOTH: INFO'
[EDGE:anchored_in] gates:S78-W3-A-CHI2-LMAX-CONV -> sessions:78  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-78/s78_gate_verdicts.txt | match='S78-W3-A-CHI2-LMAX-CONV: FAIL'
[EDGE:anchored_in] gates:S78-W3-L-SDW-ZETA-DICT -> sessions:78  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-78/s78_gate_verdicts.txt | match='S78-W3-L-SDW-ZETA-DICT: PASS'
[EDGE:anchored_in] gates:S78-W3-J-SIN2-W-NON-TREE -> sessions:78  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-78/s78_gate_verdicts.txt | match='S78-W3-J-SIN2-W-NON-TREE: FAIL'
[EDGE:anchored_in] gates:S78-W3-C-TENSOR-FAMP -> sessions:78  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-78/s78_gate_verdicts.txt | match='S78-W3-C-TENSOR-FAMP: INFO'
[EDGE:anchored_in] gates:S78-W3-F-FNL-COHERENCE -> sessions:78  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-78/s78_gate_verdicts.txt | match='S78-W3-F-FNL-COHERENCE: INFO'
[EDGE:anchored_in] gates:S78-W3-D-JOSEPHSON-LEGGETT-MIX -> sessions:78  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-78/s78_gate_verdicts.txt | match='S78-W3-D-JOSEPHSON-LEGGETT-MIX: PASS'
[EDGE:anchored_in] gates:S78-W3-I-EVOI-78 -> sessions:78  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-78/s78_gate_verdicts.txt | match='S78-W3-I-EVOI-78: PASS'
