## S80 Chain-of-Custody Edges (generated by tools/harvest_chain_of_custody_edges.py)
## Generated: 2026-06-13T17:43:18Z
## Workingpapers scanned: 1
## Verdict files scanned: 1
## Plan files scanned: 2
## Session .md files scanned (cited_in scope): 2
## Total edges (deduped): 14
## Edge types: anchored_in,cited_in
## Extractors: tools/_chain_of_custody_extractors.py (self-test 11/11 PASS)

[EDGE:anchored_in] gates:S80-W1-A-SLOT-CONSISTENCY-AUDIT -> sessions:80  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-80/s80_gate_verdicts.txt | match='S80-W1-A-SLOT-CONSISTENCY-AUDIT: PASS'
[EDGE:anchored_in] gates:S80-CONSTANT-RENAME -> sessions:80  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-80/s80_gate_verdicts.txt | match='S80-CONSTANT-RENAME: PASSED'
[EDGE:anchored_in] gates:S80-W1-B-REMED -> sessions:80  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-80/s80_gate_verdicts.txt | match='S80-W1-B-REMED: PASS'
[EDGE:anchored_in] gates:S80-PRU-AUDIT-TOOLING -> sessions:80  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-80/s80_gate_verdicts.txt | match='S80-PRU-AUDIT-TOOLING: PASS'
[EDGE:anchored_in] gates:S80-M-KK-STRUCTURAL-ROLE-DOCUMENTATION -> sessions:80  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-80/s80_gate_verdicts.txt | match='S80-M-KK-STRUCTURAL-ROLE-DOCUMENTATION: PASSED'
[EDGE:anchored_in] gates:S80-OMEGA-L1-PROVENANCE -> sessions:80  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-80/s80_gate_verdicts.txt | match='S80-OMEGA-L1-PROVENANCE: FAIL'
[EDGE:anchored_in] gates:S80-CANONICAL-CONSTANTS-RATIOS-VS-ABSOLUTES-CLASSIFICATION -> sessions:80  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-80/s80_gate_verdicts.txt | match='S80-CANONICAL-CONSTANTS-RATIOS-VS-ABSOLUTES-CLASSIFICATION: PASS'
[EDGE:anchored_in] gates:S80-W2-C-REMED -> sessions:80  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-80/s80_gate_verdicts.txt | match='S80-W2-C-REMED: PASS'
[EDGE:anchored_in] gates:S80-WAVE-0-SCOPE-AUDIT -> sessions:80  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-80/s80_gate_verdicts.txt | match='S80-WAVE-0-SCOPE-AUDIT: PASS'
[EDGE:anchored_in] gates:S80-W2C-L8-DRIFT -> sessions:80  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-80/s80_gate_verdicts.txt | match='S80-W2C-L8-DRIFT: FAIL'
[EDGE:anchored_in] gates:S80-P-OBS-ALIGNED-CATALOG -> sessions:80  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-80/s80_gate_verdicts.txt | match='S80-P-OBS-ALIGNED-CATALOG: PASS'
[EDGE:anchored_in] gates:S80-CC-RATIOS-ONLY-THEOREM -> sessions:80  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-80/s80_gate_verdicts.txt | match='S80-CC-RATIOS-ONLY-THEOREM: PASS'
[EDGE:anchored_in] gates:S80-TWO-AXIS-TRACKING-ADOPTION -> sessions:80  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-80/s80_gate_verdicts.txt | match='S80-TWO-AXIS-TRACKING-ADOPTION: PASS'
[EDGE:cited_in] researchers:connes-ncg-theorist -> sessions:80  # RESEARCHER_PATH_RE | role=paper-cited | conf=path-citation | src=sessions/archive/session-80/session-80-results-workingpaper.md | match='researchers/Connes/07_1996_Chamseddine_Connes_Spectral_action_principle.md'
