## S81 Chain-of-Custody Edges (generated by tools/harvest_chain_of_custody_edges.py)
## Generated: 2026-06-13T17:43:18Z
## Workingpapers scanned: 1
## Verdict files scanned: 2
## Plan files scanned: 0
## Session .md files scanned (cited_in scope): 1
## Total edges (deduped): 1578
## Edge types: anchored_in
## Extractors: tools/_chain_of_custody_extractors.py (self-test 11/11 PASS)

[EDGE:anchored_in] gates:T3-BATCH-S19A-COMPLEXITY-FUNCTIONAL -> sessions:81  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-81/s81_batch_gate_verdicts.txt | match='T3-BATCH-S19A-COMPLEXITY-FUNCTIONAL: INFO'
[EDGE:anchored_in] gates:T3-BATCH-S19A-ENTROPY-CAPACITY -> sessions:81  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-81/s81_batch_gate_verdicts.txt | match='T3-BATCH-S19A-ENTROPY-CAPACITY: INFO'
[EDGE:anchored_in] gates:T3-BATCH-S19A-FALSE-VACUUM-ANALYSIS -> sessions:81  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-81/s81_batch_gate_verdicts.txt | match='T3-BATCH-S19A-FALSE-VACUUM-ANALYSIS: INFO'
[EDGE:anchored_in] gates:T3-BATCH-S19A-LEVEL-STATISTICS -> sessions:81  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-81/s81_batch_gate_verdicts.txt | match='T3-BATCH-S19A-LEVEL-STATISTICS: INFO'
[EDGE:anchored_in] gates:T3-BATCH-S19A-SPECTRAL-DIMENSION -> sessions:81  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-81/s81_batch_gate_verdicts.txt | match='T3-BATCH-S19A-SPECTRAL-DIMENSION: INFO'
[EDGE:anchored_in] gates:T3-BATCH-S19A-SPECTRAL-GAP -> sessions:81  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-81/s81_batch_gate_verdicts.txt | match='T3-BATCH-S19A-SPECTRAL-GAP: INFO'
[EDGE:anchored_in] gates:T3-BATCH-S19A-SWEEP-DATA -> sessions:81  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-81/s81_batch_gate_verdicts.txt | match='T3-BATCH-S19A-SWEEP-DATA: INFO'
[EDGE:anchored_in] gates:T3-BATCH-S21A-LOW-MODE-TT-CASIMIR -> sessions:81  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-81/s81_batch_gate_verdicts.txt | match='T3-BATCH-S21A-LOW-MODE-TT-CASIMIR: INFO'
[EDGE:anchored_in] gates:T3-BATCH-S21C-CP1-IDENTITY-INVESTIGATION -> sessions:81  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-81/s81_batch_gate_verdicts.txt | match='T3-BATCH-S21C-CP1-IDENTITY-INVESTIGATION: INFO'
[EDGE:anchored_in] gates:T3-BATCH-S21C-GAUSS-BONNET -> sessions:81  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-81/s81_batch_gate_verdicts.txt | match='T3-BATCH-S21C-GAUSS-BONNET: INFO'
[EDGE:anchored_in] gates:T3-BATCH-S21C-GB-DEBUG -> sessions:81  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-81/s81_batch_gate_verdicts.txt | match='T3-BATCH-S21C-GB-DEBUG: INFO'
[EDGE:anchored_in] gates:T3-BATCH-S21C-GB-DEBUG2 -> sessions:81  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-81/s81_batch_gate_verdicts.txt | match='T3-BATCH-S21C-GB-DEBUG2: INFO'
