## S82 Chain-of-Custody Edges (generated by tools/harvest_chain_of_custody_edges.py)
## Generated: 2026-06-13T17:43:18Z
## Workingpapers scanned: 1
## Verdict files scanned: 1
## Plan files scanned: 1
## Session .md files scanned (cited_in scope): 17
## Total edges (deduped): 48
## Edge types: anchored_in,cited_in
## Extractors: tools/_chain_of_custody_extractors.py (self-test 11/11 PASS)

[EDGE:anchored_in] gates:S82-W0-A-BRANCH-COUNT -> sessions:82  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-82/s82_gate_verdicts.txt | match='S82-W0-A-BRANCH-COUNT: INFO'
[EDGE:anchored_in] gates:S82-H-TILDE-EPOCH-TD -> sessions:82  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-82/s82_gate_verdicts.txt | match='S82-H-TILDE-EPOCH-TD: PASS'
[EDGE:anchored_in] gates:S82-CC-RATIOS-ONLY-THEOREM-SG -> sessions:82  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-82/s82_gate_verdicts.txt | match='S82-CC-RATIOS-ONLY-THEOREM-SG: PASS'
[EDGE:anchored_in] gates:S82-UNIFIED-AS-79-FULL-A -> sessions:82  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-82/s82_gate_verdicts.txt | match='S82-UNIFIED-AS-79-FULL-A: PASS'
[EDGE:anchored_in] gates:S82-UNIFIED-AS-79-FULL-B -> sessions:82  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-82/s82_gate_verdicts.txt | match='S82-UNIFIED-AS-79-FULL-B: FAIL'
[EDGE:anchored_in] gates:S82-UNIFIED-AS-79-CSUB-SIGN -> sessions:82  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-82/s82_gate_verdicts.txt | match='S82-UNIFIED-AS-79-CSUB-SIGN: PASS'
[EDGE:anchored_in] gates:S82-CHI-N-WARD-DUAL -> sessions:82  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-82/s82_gate_verdicts.txt | match='S82-CHI-N-WARD-DUAL: INFO'
[EDGE:anchored_in] gates:S82-H-TILDE-EPOCH-LI -> sessions:82  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-82/s82_gate_verdicts.txt | match='S82-H-TILDE-EPOCH-LI: INFO'
[EDGE:anchored_in] gates:S82-H-TILDE-EPOCH-LI-ZUBAREV -> sessions:82  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-82/s82_gate_verdicts.txt | match='S82-H-TILDE-EPOCH-LI-ZUBAREV: INFO'
[EDGE:anchored_in] gates:S82-UNIFIED-AS-79-FULL-REPLAY-A -> sessions:82  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-82/s82_gate_verdicts.txt | match='S82-UNIFIED-AS-79-FULL-REPLAY-A: PASS'
[EDGE:anchored_in] gates:S82-UNIFIED-AS-79-FULL-REPLAY-B -> sessions:82  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-82/s82_gate_verdicts.txt | match='S82-UNIFIED-AS-79-FULL-REPLAY-B: PASS'
[EDGE:anchored_in] gates:S82-KASPAROV-ABELIAN-PROOF -> sessions:82  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-82/s82_gate_verdicts.txt | match='S82-KASPAROV-ABELIAN-PROOF: PASS'
[EDGE:anchored_in] gates:S82-UNIFIED-BACKREACT-79 -> sessions:82  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-82/s82_gate_verdicts.txt | match='S82-UNIFIED-BACKREACT-79: FAIL'
[EDGE:anchored_in] gates:S82-GW-CHANNEL -> sessions:82  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-82/s82_gate_verdicts.txt | match='S82-GW-CHANNEL: PASS'
[EDGE:anchored_in] gates:S82-PS-SUBSTRATE-MATCHED-IC -> sessions:82  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-82/s82_gate_verdicts.txt | match='S82-PS-SUBSTRATE-MATCHED-IC: PASS'
[EDGE:anchored_in] gates:S82-HEAT-KERNEL-MP-EXCLUSION -> sessions:82  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-82/s82_gate_verdicts.txt | match='S82-HEAT-KERNEL-MP-EXCLUSION: PASS'
[EDGE:anchored_in] gates:S82-W3G-BETA-R1 -> sessions:82  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-82/s82_gate_verdicts.txt | match='S82-W3G-BETA-R1: PASS'
[EDGE:anchored_in] gates:S82-W3G-BETA-R2 -> sessions:82  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-82/s82_gate_verdicts.txt | match='S82-W3G-BETA-R2: INFO'
[EDGE:anchored_in] gates:S82-W3G-BETA-R3 -> sessions:82  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-82/s82_gate_verdicts.txt | match='S82-W3G-BETA-R3: PASS'
[EDGE:anchored_in] gates:S82-B1-JENSEN-SCAN -> sessions:82  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-82/s82_gate_verdicts.txt | match='S82-B1-JENSEN-SCAN: PASS'
[EDGE:anchored_in] gates:S82-MULTIPAIR-ECOND -> sessions:82  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-82/s82_gate_verdicts.txt | match='S82-MULTIPAIR-ECOND: FAIL'
[EDGE:anchored_in] gates:S82-CUSHION-DERIVATION-PIN -> sessions:82  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-82/s82_gate_verdicts.txt | match='S82-CUSHION-DERIVATION-PIN: PASS'
[EDGE:anchored_in] gates:S82-F0-CONVENTION-AUDIT -> sessions:82  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-82/s82_gate_verdicts.txt | match='S82-F0-CONVENTION-AUDIT: PASS'
[EDGE:anchored_in] gates:S82-A2-CLUSTER-TEST -> sessions:82  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-82/s82_gate_verdicts.txt | match='S82-A2-CLUSTER-TEST: FAIL'
[EDGE:anchored_in] gates:S82-PHONON-LENGTH-CANONICALIZATION -> sessions:82  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-82/s82_gate_verdicts.txt | match='S82-PHONON-LENGTH-CANONICALIZATION: PASS'
[EDGE:anchored_in] gates:S82-S-PP-FULL-ED -> sessions:82  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-82/s82_gate_verdicts.txt | match='S82-S-PP-FULL-ED: PASS'
[EDGE:anchored_in] gates:S82-FIRAS-CHLUBA-FULL -> sessions:82  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-82/s82_gate_verdicts.txt | match='S82-FIRAS-CHLUBA-FULL: PASS'
[EDGE:anchored_in] gates:S82-PHASE-ALIGNMENT-K-SCAN -> sessions:82  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-82/s82_gate_verdicts.txt | match='S82-PHASE-ALIGNMENT-K-SCAN: PASS'
[EDGE:anchored_in] gates:S82-DIM-H-PI-UNIVERSAL-EXCLUSION -> sessions:82  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-82/s82_gate_verdicts.txt | match='S82-DIM-H-PI-UNIVERSAL-EXCLUSION: PASS'
[EDGE:anchored_in] gates:S82-EJ-CONVENTION-AUDIT -> sessions:82  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-82/s82_gate_verdicts.txt | match='S82-EJ-CONVENTION-AUDIT: INFO'
[EDGE:anchored_in] gates:S82-SIC-PHYSICAL-CAP -> sessions:82  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-82/s82_gate_verdicts.txt | match='S82-SIC-PHYSICAL-CAP: PASS'
[EDGE:anchored_in] gates:S82-R-FAMILY-ATLAS-EXTENSION -> sessions:82  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-82/s82_gate_verdicts.txt | match='S82-R-FAMILY-ATLAS-EXTENSION: PASS'
[EDGE:anchored_in] gates:S82-FAMP-SC-3PI -> sessions:82  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-82/s82_gate_verdicts.txt | match='S82-FAMP-SC-3PI: PASS'
[EDGE:anchored_in] gates:S82-GGE-FNL-CHANNEL -> sessions:82  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-82/s82_gate_verdicts.txt | match='S82-GGE-FNL-CHANNEL: PASS'
[EDGE:anchored_in] gates:S82-RANK-UNIVERSALITY-PROOF -> sessions:82  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-82/s82_gate_verdicts.txt | match='S82-RANK-UNIVERSALITY-PROOF: PASS'
[EDGE:anchored_in] gates:S82-C-GOLD-PROVENANCE-REPAIR -> sessions:82  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-82/s82_gate_verdicts.txt | match='S82-C-GOLD-PROVENANCE-REPAIR: PASS'
[EDGE:anchored_in] gates:S82-AS-ADJACENT-OBS -> sessions:82  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-82/s82_gate_verdicts.txt | match='S82-AS-ADJACENT-OBS: PASS'
[EDGE:anchored_in] gates:S82-MU-EFF-LK -> sessions:82  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-82/s82_gate_verdicts.txt | match='S82-MU-EFF-LK: INFO'
