## S83 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G7
## Files scanned: 20 (+ 5 in workshops/)
## Total edges (deduped): 64
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] gates:83:session-83-connes-synthesis.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-83/session-83-connes-synthesis.md | match='**Agent**: connes-ncg-theorist (Workhorse-NCG)'
[EDGE:authored_by] data_provenance:83:session-83-connes-synthesis.md -> researchers:connes-ncg-theorist  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-83/session-83-connes-synthesis.md | match='session-83-connes-synthesis.md'
[EDGE:authored_by] gates:83:session-83-einstein-synthesis.md -> researchers:einstein-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-83/session-83-einstein-synthesis.md | match='**Agent**: einstein-theorist (Einstein)'
[EDGE:authored_by] data_provenance:83:session-83-einstein-synthesis.md -> researchers:einstein-theorist  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-83/session-83-einstein-synthesis.md | match='session-83-einstein-synthesis.md'
[EDGE:authored_by] gates:83:session-83-feynman-synthesis.md -> researchers:feynman-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-83/session-83-feynman-synthesis.md | match='**Agent**: feynman-theorist (feynman)'
[EDGE:authored_by] data_provenance:83:session-83-feynman-synthesis.md -> researchers:feynman-theorist  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-83/session-83-feynman-synthesis.md | match='session-83-feynman-synthesis.md'
[EDGE:authored_by] gates:83:session-83-gen-physicist-s6-synthesis.md -> researchers:gen-physicist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-83/session-83-gen-physicist-s6-synthesis.md | match='**Agent**: gen-physicist (generalist closeout; part (a) of three-solo synthes
[EDGE:authored_by] gates:83:session-83-gen-physicist-synthesis.md -> researchers:gen-physicist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-83/session-83-gen-physicist-synthesis.md | match='**Agent**: gen-physicist (Gen)'
[EDGE:authored_by] data_provenance:83:session-83-gen-physicist-synthesis.md -> researchers:gen-physicist  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-83/session-83-gen-physicist-synthesis.md | match='session-83-gen-physicist-synthesis.md'
[EDGE:authored_by] gates:83:session-83-kaku-synthesis.md -> researchers:kaku-speculative-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-83/session-83-kaku-synthesis.md | match='**Agent**: kaku-speculative-theorist (Dreamer / cross-domain bridge)'
[EDGE:authored_by] data_provenance:83:session-83-kaku-synthesis.md -> researchers:kaku-speculative-theorist  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-83/session-83-kaku-synthesis.md | match='session-83-kaku-synthesis.md'
[EDGE:authored_by] gates:83:session-83-kk-synthesis.md -> researchers:kaluza-klein-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-83/session-83-kk-synthesis.md | match='**Agent**: kaluza-klein-theorist (KK)'
[EDGE:authored_by] data_provenance:83:session-83-kk-synthesis.md -> researchers:kaluza-klein-theorist  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-83/session-83-kk-synthesis.md | match='session-83-kk-synthesis.md'
[EDGE:authored_by] gates:83:session-83-landau-synthesis.md -> researchers:landau-condensed-matter-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-83/session-83-landau-synthesis.md | match='**Agent**: landau-condensed-matter-theorist (Lev Davidovich Landau, Soviet theor'
[EDGE:authored_by] data_provenance:83:session-83-landau-synthesis.md -> researchers:landau-condensed-matter-theorist  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-83/session-83-landau-synthesis.md | match='session-83-landau-synthesis.md'
[EDGE:authored_by] gates:83:session-83-lizzi-cc5-synthesis.md -> researchers:lizzi-spectral-functional-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-83/session-83-lizzi-cc5-synthesis.md | match='**Agent**: lizzi-spectral-functional-theorist (CC-5 / propagation-atlas solo)'
[EDGE:authored_by] gates:83:session-83-lizzi-s6-synthesis.md -> researchers:lizzi-spectral-functional-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-83/session-83-lizzi-s6-synthesis.md | match='**Agent**: lizzi-spectral-functional-theorist (Lizzi solo c — §VII.K-META extens'
[EDGE:authored_by] gates:83:session-83-lizzi-synthesis.md -> researchers:lizzi-spectral-functional-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-83/session-83-lizzi-synthesis.md | match='**Agent**: lizzi-spectral-functional-theorist (Lizzi solo a — spectral-functiona'
[EDGE:authored_by] data_provenance:83:session-83-lizzi-synthesis.md -> researchers:lizzi-spectral-functional-theorist  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-83/session-83-lizzi-synthesis.md | match='session-83-lizzi-synthesis.md'
[EDGE:authored_by] gates:83:session-83-mack-gearmachine-review.md -> researchers:mack-cosmic-bridge  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-83/session-83-mack-gearmachine-review.md | match='**Agent**: mack-cosmic-bridge (Mack)'
[EDGE:authored_by] gates:83:session-83-mack-s6-synthesis.md -> researchers:mack-cosmic-bridge  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-83/session-83-mack-s6-synthesis.md | match='**Agent**: mack-cosmic-bridge (Katie Mack, Cosmic Bridge) — part (b) of three-so'
[EDGE:authored_by] gates:83:session-83-mack-synthesis.md -> researchers:mack-cosmic-bridge  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-83/session-83-mack-synthesis.md | match='**Agent**: mack-cosmic-bridge (Katie Mack, Cosmic Bridge) — part (a) of two-solo'
[EDGE:authored_by] data_provenance:83:session-83-mack-synthesis.md -> researchers:mack-cosmic-bridge  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-83/session-83-mack-synthesis.md | match='session-83-mack-synthesis.md'
[EDGE:authored_by] gates:83:session-83-sagan-synthesis.md -> researchers:sagan-empiricist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-83/session-83-sagan-synthesis.md | match='**Agent**: sagan-empiricist (part (b) of two-solo synthesis)'
[EDGE:authored_by] data_provenance:83:session-83-sagan-synthesis.md -> researchers:sagan-empiricist  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-83/session-83-sagan-synthesis.md | match='session-83-sagan-synthesis.md'
[EDGE:authored_by] gates:83:session-83-sp-synthesis.md -> researchers:schwarzschild-penrose-geometer  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-83/session-83-sp-synthesis.md | match='**Agent**: schwarzschild-penrose-geometer (SP)'
[EDGE:authored_by] data_provenance:83:session-83-sp-synthesis.md -> researchers:schwarzschild-penrose-geometer  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-83/session-83-sp-synthesis.md | match='session-83-sp-synthesis.md'
[EDGE:authored_by] gates:83:session-83-van-den-dungen-synthesis.md -> researchers:van-den-dungen-bridge-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-83/session-83-van-den-dungen-synthesis.md | match='**Agent**: van-den-dungen-bridge-theorist (Van den Dungen)'
[EDGE:authored_by] data_provenance:83:session-83-van-den-dungen-synthesis.md -> researchers:van-den-dungen-bridge-theorist  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-83/session-83-van-den-dungen-synthesis.md | match='session-83-van-den-dungen-synthesis.md'
[EDGE:authored_by] gates:83:session-83-volovik-synthesis.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-83/session-83-volovik-synthesis.md | match='**Agent**: volovik-superfluid-universe-theorist (part (b) of two-solo synthesis)'
[EDGE:authored_by] data_provenance:83:session-83-volovik-synthesis.md -> researchers:volovik-superfluid-universe-theorist  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-83/session-83-volovik-synthesis.md | match='session-83-volovik-synthesis.md'
[EDGE:participates_in] researchers:feynman-theorist -> data_provenance:sessions/archive/session-83/workshops/s83-dynamics-dressing-audit.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-83/workshops/s83-dynamics-dressing-audit.md | match='feynman (feynman-theorist)'
[EDGE:participates_in] researchers:transit-dynamics-theorist -> data_provenance:sessions/archive/session-83/workshops/s83-dynamics-dressing-audit.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-83/workshops/s83-dynamics-dressing-audit.md | match='transit (transit-dynamics-theorist)'
[EDGE:authored_round] researchers:feynman-theorist -> data_provenance:sessions/archive/session-83/workshops/s83-dynamics-dressing-audit.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-83/workshops/s83-dynamics-dressing-audit.md | match='## Round 1 — feynman'
[EDGE:authored_round] researchers:feynman-theorist -> data_provenance:sessions/archive/session-83/workshops/s83-dynamics-dressing-audit.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-83/workshops/s83-dynamics-dressing-audit.md | match='## Round 2 — feynman'
[EDGE:participates_in] researchers:tesla-resonance -> data_provenance:sessions/archive/session-83/workshops/s83-gear-machine-thought-experiment.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-83/workshops/s83-gear-machine-thought-experiment.md | match='tesla (tesla-resonance)'
[EDGE:participates_in] researchers:kaku-speculative-theorist -> data_provenance:sessions/archive/session-83/workshops/s83-gear-machine-thought-experiment.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-83/workshops/s83-gear-machine-thought-experiment.md | match='kaku (kaku-speculative-theorist)'
[EDGE:authored_round] researchers:tesla-resonance -> data_provenance:sessions/archive/session-83/workshops/s83-gear-machine-thought-experiment.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-83/workshops/s83-gear-machine-thought-experiment.md | match='## Round 1 — tesla'
[EDGE:authored_round] researchers:kaku-speculative-theorist -> data_provenance:sessions/archive/session-83/workshops/s83-gear-machine-thought-experiment.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-83/workshops/s83-gear-machine-thought-experiment.md | match='## Round 1 — kaku'
[EDGE:authored_round] researchers:tesla-resonance -> data_provenance:sessions/archive/session-83/workshops/s83-gear-machine-thought-experiment.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-83/workshops/s83-gear-machine-thought-experiment.md | match='## Round 2 — tesla'
[EDGE:authored_round] researchers:kaku-speculative-theorist -> data_provenance:sessions/archive/session-83/workshops/s83-gear-machine-thought-experiment.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-83/workshops/s83-gear-machine-thought-experiment.md | match='## Round 2 — kaku'
[EDGE:authored_round] researchers:tesla-resonance -> data_provenance:sessions/archive/session-83/workshops/s83-gear-machine-thought-experiment.md#round-3  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-83/workshops/s83-gear-machine-thought-experiment.md | match='## Round 3 — tesla'
[EDGE:participates_in] researchers:kitaev-quantum-chaos-theorist -> data_provenance:sessions/archive/session-83/workshops/s83-methodology-debts-v3.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-83/workshops/s83-methodology-debts-v3.md | match='kitaev (kitaev-quantum-chaos-theorist)'
[EDGE:participates_in] researchers:sagan-empiricist -> data_provenance:sessions/archive/session-83/workshops/s83-methodology-debts-v3.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-83/workshops/s83-methodology-debts-v3.md | match='sagan (sagan-empiricist)'
[EDGE:authored_round] researchers:kitaev-quantum-chaos-theorist -> data_provenance:sessions/archive/session-83/workshops/s83-methodology-debts-v3.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-83/workshops/s83-methodology-debts-v3.md | match='## Round 1 — kitaev'
[EDGE:authored_round] researchers:sagan-empiricist -> data_provenance:sessions/archive/session-83/workshops/s83-methodology-debts-v3.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-83/workshops/s83-methodology-debts-v3.md | match='## Round 1 — sagan'
[EDGE:authored_round] researchers:kitaev-quantum-chaos-theorist -> data_provenance:sessions/archive/session-83/workshops/s83-methodology-debts-v3.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-83/workshops/s83-methodology-debts-v3.md | match='## Round 2 — kitaev'
[EDGE:authored_round] researchers:sagan-empiricist -> data_provenance:sessions/archive/session-83/workshops/s83-methodology-debts-v3.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-83/workshops/s83-methodology-debts-v3.md | match='## Round 2 — sagan'
[EDGE:participates_in] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-83/workshops/s83-mu_BC-geometric-derivation.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-83/workshops/s83-mu_BC-geometric-derivation.md | match='connes (connes-ncg-theorist)'
[EDGE:participates_in] researchers:kaku-speculative-theorist -> data_provenance:sessions/archive/session-83/workshops/s83-mu_BC-geometric-derivation.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-83/workshops/s83-mu_BC-geometric-derivation.md | match='kaku (kaku-speculative-theorist)'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-83/workshops/s83-mu_BC-geometric-derivation.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-83/workshops/s83-mu_BC-geometric-derivation.md | match='## Round 1 — connes'
[EDGE:authored_round] researchers:kaku-speculative-theorist -> data_provenance:sessions/archive/session-83/workshops/s83-mu_BC-geometric-derivation.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-83/workshops/s83-mu_BC-geometric-derivation.md | match='## Round 1 — kaku'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-83/workshops/s83-mu_BC-geometric-derivation.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-83/workshops/s83-mu_BC-geometric-derivation.md | match='## Round 2 — connes'
[EDGE:authored_round] researchers:kaku-speculative-theorist -> data_provenance:sessions/archive/session-83/workshops/s83-mu_BC-geometric-derivation.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-83/workshops/s83-mu_BC-geometric-derivation.md | match='## Round 2 — kaku'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-83/workshops/s83-mu_BC-geometric-derivation.md#round-3  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-83/workshops/s83-mu_BC-geometric-derivation.md | match='## Round 3 — connes'
[EDGE:authored_round] researchers:kaku-speculative-theorist -> data_provenance:sessions/archive/session-83/workshops/s83-mu_BC-geometric-derivation.md#round-3  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-83/workshops/s83-mu_BC-geometric-derivation.md | match='## Round 3 — kaku'
[EDGE:participates_in] researchers:mack-cosmic-bridge -> data_provenance:sessions/archive/session-83/workshops/s83-w_0-regulator-adjudication.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-83/workshops/s83-w_0-regulator-adjudication.md | match='mack (mack-cosmic-bridge)'
[EDGE:participates_in] researchers:sagan-empiricist -> data_provenance:sessions/archive/session-83/workshops/s83-w_0-regulator-adjudication.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-83/workshops/s83-w_0-regulator-adjudication.md | match='sagan (sagan-empiricist)'
[EDGE:authored_round] researchers:mack-cosmic-bridge -> data_provenance:sessions/archive/session-83/workshops/s83-w_0-regulator-adjudication.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-83/workshops/s83-w_0-regulator-adjudication.md | match='## Round 1 — mack'
[EDGE:authored_round] researchers:sagan-empiricist -> data_provenance:sessions/archive/session-83/workshops/s83-w_0-regulator-adjudication.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-83/workshops/s83-w_0-regulator-adjudication.md | match='## Round 1 — sagan'
[EDGE:authored_round] researchers:mack-cosmic-bridge -> data_provenance:sessions/archive/session-83/workshops/s83-w_0-regulator-adjudication.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-83/workshops/s83-w_0-regulator-adjudication.md | match='## Round 2 — mack'
[EDGE:authored_round] researchers:sagan-empiricist -> data_provenance:sessions/archive/session-83/workshops/s83-w_0-regulator-adjudication.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-83/workshops/s83-w_0-regulator-adjudication.md | match='## Round 2 — sagan'
[EDGE:authored_round] researchers:mack-cosmic-bridge -> data_provenance:sessions/archive/session-83/workshops/s83-w_0-regulator-adjudication.md#round-3  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-83/workshops/s83-w_0-regulator-adjudication.md | match='## Round 3 — mack'
[EDGE:authored_round] researchers:sagan-empiricist -> data_provenance:sessions/archive/session-83/workshops/s83-w_0-regulator-adjudication.md#round-3  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-83/workshops/s83-w_0-regulator-adjudication.md | match='## Round 3 — sagan'
