## S84 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G7
## Files scanned: 34 (+ 0 in workshops/)
## Total edges (deduped): 45
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] gates:84:session-84-CC-revisit.md -> researchers:tesla-resonance  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-84/session-84-CC-revisit.md | match='**Agent**: tesla-resonance (Workhorse-Resonance)'
[EDGE:authored_by] gates:84:session-84-connes-CCrevisit-synthesis.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-84/session-84-connes-CCrevisit-synthesis.md | match='**Agent**: connes-ncg-theorist (Workhorse-NCG)'
[EDGE:authored_by] gates:84:session-84-feynman-synthesis.md -> researchers:feynman-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-84/session-84-feynman-synthesis.md | match='**Agent**: feynman-theorist (Feynman)'
[EDGE:authored_by] data_provenance:84:session-84-feynman-synthesis.md -> researchers:feynman-theorist  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-84/session-84-feynman-synthesis.md | match='session-84-feynman-synthesis.md'
[EDGE:authored_by] gates:84:session-84-mack-synthesis.md -> researchers:mack-cosmic-bridge  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-84/session-84-mack-synthesis.md | match='**Agent**: mack-cosmic-bridge (cosmological observational bridge)'
[EDGE:authored_by] data_provenance:84:session-84-mack-synthesis.md -> researchers:mack-cosmic-bridge  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-84/session-84-mack-synthesis.md | match='session-84-mack-synthesis.md'
[EDGE:authored_by] gates:84:session-84-s1-connes-alpha_s-synthesis.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-84/session-84-s1-connes-alpha_s-synthesis.md | match='**Agent**: connes-ncg-theorist (Workhorse-NCG)'
[EDGE:authored_by] gates:84:session-84-s1-landau-alpha_s-synthesis.md -> researchers:landau-condensed-matter-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-84/session-84-s1-landau-alpha_s-synthesis.md | match='**Agent**: landau-condensed-matter-theorist (S-1 solo, 2 of 3)'
[EDGE:authored_by] gates:84:session-84-s1-mack-alpha_s-synthesis.md -> researchers:mack-cosmic-bridge  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-84/session-84-s1-mack-alpha_s-synthesis.md | match='**Agent**: mack-cosmic-bridge (S-1 solo, 3 of 3)'
[EDGE:authored_by] gates:84:session-84-s2-landau-kcorridor-synthesis.md -> researchers:landau-condensed-matter-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-84/session-84-s2-landau-kcorridor-synthesis.md | match='**Author**: `landau-condensed-matter-theorist`'
[EDGE:authored_by] data_provenance:84:session-84-s2-landau-kcorridor-synthesis.md -> researchers:landau-condensed-matter-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-84/session-84-s2-landau-kcorridor-synthesis.md | match='**Author**: `landau-condensed-matter-theorist`'
