## S85 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G7
## Files scanned: 54 (+ 9 in workshops/)
## Total edges (deduped): 115
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] gates:85:session-85-1a-cc-residue-landau.md -> researchers:landau-condensed-matter-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-85/session-85-1a-cc-residue-landau.md | match='**Agent**: landau-condensed-matter-theorist (landau)'
[EDGE:authored_by] gates:85:session-85-1a-cc-residue-phonon-first.md -> researchers:phonon-first-cosmologist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-85/session-85-1a-cc-residue-phonon-first.md | match='**Agent**: phonon-first-cosmologist (subsection (a) — cross-pillar BCS / NCG 
[EDGE:authored_by] gates:85:session-85-1a-cc-residue-transit.md -> researchers:transit-dynamics-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-85/session-85-1a-cc-residue-transit.md | match='**Agent**: transit-dynamics-theorist (Workhorse-Transit-Dynamics)'
[EDGE:authored_by] gates:85:session-85-1b-3heb-inversion-connes.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-85/session-85-1b-3heb-inversion-connes.md | match='**Agent**: connes-ncg-theorist (connes)'
[EDGE:authored_by] gates:85:session-85-1b-3heb-inversion-landau.md -> researchers:landau-condensed-matter-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-85/session-85-1b-3heb-inversion-landau.md | match='**Author**: `landau-condensed-matter-theorist` (BCS / Leggett-mode / lab-superf
[EDGE:authored_by] data_provenance:85:session-85-1b-3heb-inversion-landau.md -> researchers:landau-condensed-matter-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-85/session-85-1b-3heb-inversion-landau.md | match='**Author**: `landau-condensed-matter-theorist` (BCS / Leggett-mode / lab-superf
[EDGE:authored_by] gates:85:session-85-1b-3heb-inversion-volovik.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-85/session-85-1b-3heb-inversion-volovik.md | match='**Author**: `volovik-superfluid-universe-theorist` (solo synthesis, REVIEW-MOD
[EDGE:authored_by] data_provenance:85:session-85-1b-3heb-inversion-volovik.md -> researchers:volovik-superfluid-universe-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-85/session-85-1b-3heb-inversion-volovik.md | match='**Author**: `volovik-superfluid-universe-theorist` (solo synthesis, REVIEW-MOD
[EDGE:authored_by] gates:85:session-85-1d-vii-p-meta-connes.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-85/session-85-1d-vii-p-meta-connes.md | match='**Agent**: connes-ncg-theorist (Connes-NCG-Theorist / Workhorse-NCG)'
[EDGE:authored_by] gates:85:session-85-1d-vii-p-meta-lizzi.md -> researchers:lizzi-spectral-functional-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-85/session-85-1d-vii-p-meta-lizzi.md | match='**Agent**: `lizzi-spectral-functional-theorist` (lizzi)'
[EDGE:authored_by] gates:85:session-85-1d-vii-p-meta-van-den-dungen.md -> researchers:van-den-dungen-bridge-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-85/session-85-1d-vii-p-meta-van-den-dungen.md | match='**Agent**: van-den-dungen-bridge-theorist (vdd)'
[EDGE:authored_by] gates:85:session-85-3a-zeta-stabilization-lizzi.md -> researchers:lizzi-spectral-functional-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-85/session-85-3a-zeta-stabilization-lizzi.md | match='**Agent**: lizzi-spectral-functional-theorist (lizzi)'
[EDGE:reviewed_by] data_provenance:85:session-85-3a-zeta-stabilization-spectral-geometer.md -> researchers:spectral-geometer  # G3 | role=adversarial_review | conf=header-parsed | src=sessions/archive/session-85/session-85-3a-zeta-stabilization-spectral-geometer.md | match='**Reviewer**: spectral-geometer (heat-kernel / Seeley
[EDGE:authored_by] gates:85:session-85-3b-branch-c-phonon-kaku.md -> researchers:kaku-speculative-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-85/session-85-3b-branch-c-phonon-kaku.md | match='**Agent**: kaku-speculative-theorist (Subsection (c), Slot 1b Row 3B; parallel w
[EDGE:authored_by] gates:85:session-85-3b-branch-c-phonon-landau.md -> researchers:landau-condensed-matter-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-85/session-85-3b-branch-c-phonon-landau.md | match='**Agent**: landau-condensed-matter-theorist (Landau)'
[EDGE:authored_by] gates:85:session-85-3b-branch-c-phonon-volovik.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-85/session-85-3b-branch-c-phonon-volovik.md | match='**Agent**: volovik-superfluid-universe-theorist (volovik)'
[EDGE:authored_by] gates:85:session-85-4a-elimination-bulletins-gen-physicist.md -> researchers:gen-physicist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-85/session-85-4a-elimination-bulletins-gen-physicist.md | match='**Agent**: gen-physicist (broad structural reading + dimensionali
[EDGE:authored_by] gates:85:session-85-full-s85-closeout.md -> researchers:gen-physicist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-85/session-85-full-s85-closeout.md | match='**Agent**: gen-physicist (sole writer)'
[EDGE:authored_by] gates:85:session-85-gen-physicist-synthesis-w6-13.md -> researchers:gen-physicist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-85/session-85-gen-physicist-synthesis-w6-13.md | match='**Agent**: gen-physicist'
[EDGE:authored_by] data_provenance:85:session-85-gen-physicist-synthesis-w6-13.md -> researchers:gen-physicist  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-85/session-85-gen-physicist-synthesis-w6-13.md | match='session-85-gen-physicist-synthesis-w6-13.md'
[EDGE:authored_by] gates:85:session-85-lizzi-synthesis-w6-13.md -> researchers:lizzi-spectral-functional-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-85/session-85-lizzi-synthesis-w6-13.md | match='**Agent**: lizzi'
[EDGE:authored_by] data_provenance:85:session-85-lizzi-synthesis-w6-13.md -> researchers:lizzi-spectral-functional-theorist  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-85/session-85-lizzi-synthesis-w6-13.md | match='session-85-lizzi-synthesis-w6-13.md'
[EDGE:authored_by] gates:85:session-85-mack-synthesis-w6-13.md -> researchers:mack-cosmic-bridge  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-85/session-85-mack-synthesis-w6-13.md | match='**Author**: mack-cosmic-bridge'
[EDGE:authored_by] data_provenance:85:session-85-mack-synthesis-w6-13.md -> researchers:mack-cosmic-bridge  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-85/session-85-mack-synthesis-w6-13.md | match='**Author**: mack-cosmic-bridge'
[EDGE:authored_by] gates:85:session-85-s1-regulator-boundary-lizzi.md -> researchers:lizzi-spectral-functional-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-85/session-85-s1-regulator-boundary-lizzi.md | match='**Author**: `lizzi-spectral-functional-theorist` (solo synthesis; connes and
[EDGE:authored_by] data_provenance:85:session-85-s1-regulator-boundary-lizzi.md -> researchers:lizzi-spectral-functional-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-85/session-85-s1-regulator-boundary-lizzi.md | match='**Author**: `lizzi-spectral-functional-theorist` (solo synthesis; connes and
[EDGE:authored_by] gates:85:session-85-s2-k-corridor-volovik.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-85/session-85-s2-k-corridor-volovik.md | match='**Author**: volovik-superfluid-universe-theorist (solo, no coordination with lan'
[EDGE:authored_by] data_provenance:85:session-85-s2-k-corridor-volovik.md -> researchers:volovik-superfluid-universe-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-85/session-85-s2-k-corridor-volovik.md | match='**Author**: volovik-superfluid-universe-theorist (solo, no coordination with lan'
[EDGE:authored_by] gates:85:session-85-s3-alphas-registry-connes.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-85/session-85-s3-alphas-registry-connes.md | match='**Agent**: connes-ncg-theorist (Workhorse-NCG)'
[EDGE:authored_by] gates:85:session-85-s3-alphas-registry-landau.md -> researchers:landau-condensed-matter-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-85/session-85-s3-alphas-registry-landau.md | match='**Author**: `landau-condensed-matter-theorist` (solo, independent of S-1, S-2)
[EDGE:authored_by] data_provenance:85:session-85-s3-alphas-registry-landau.md -> researchers:landau-condensed-matter-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-85/session-85-s3-alphas-registry-landau.md | match='**Author**: `landau-condensed-matter-theorist` (solo, independent of S-1, S-2)
[EDGE:authored_by] gates:85:session-85-s4-elimination-bulletins-gen-physicist.md -> researchers:gen-physicist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-85/session-85-s4-elimination-bulletins-gen-physicist.md | match='**Agent**: gen-physicist (cross-domain workhorse)'
[EDGE:authored_by] gates:85:session-85-s4-elimination-bulletins-kaku.md -> researchers:kaku-speculative-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-85/session-85-s4-elimination-bulletins-kaku.md | match='**Agent**: kaku-speculative-theorist (alternative-pathway / cross-paradigm
[EDGE:authored_by] gates:85:session-85-s5-falsifier-inventory-gen-physicist.md -> researchers:gen-physicist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-85/session-85-s5-falsifier-inventory-gen-physicist.md | match='**Agent**: gen-physicist (Workhorse-Gen-Physicist; cross-domain wor
[EDGE:authored_by] gates:85:session-85-s5-falsifier-inventory-mack.md -> researchers:mack-cosmic-bridge  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-85/session-85-s5-falsifier-inventory-mack.md | match='**Author**: mack-cosmic-bridge'
[EDGE:authored_by] data_provenance:85:session-85-s5-falsifier-inventory-mack.md -> researchers:mack-cosmic-bridge  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-85/session-85-s5-falsifier-inventory-mack.md | match='**Author**: mack-cosmic-bridge'
[EDGE:authored_by] gates:85:session-85-s6-truncation-taxonomy-lizzi.md -> researchers:lizzi-spectral-functional-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-85/session-85-s6-truncation-taxonomy-lizzi.md | match='**Agent**: lizzi-spectral-functional-theorist (lizzi)'
[EDGE:reviewed_by] data_provenance:85:session-85-s6-truncation-taxonomy-spectral-geometer.md -> researchers:spectral-geometer  # G3 | role=adversarial_review | conf=header-parsed | src=sessions/archive/session-85/session-85-s6-truncation-taxonomy-spectral-geometer.md | match='**Reviewer**: spectral-geometer (heat-kernel / Seele
[EDGE:authored_by] gates:85:session-85-s7-combined-landscape-gen-physicist.md -> researchers:gen-physicist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-85/session-85-s7-combined-landscape-gen-physicist.md | match='**Agent**: gen-physicist (cross-domain workhorse)'
[EDGE:authored_by] gates:85:session-85-s7-combined-landscape-lizzi.md -> researchers:lizzi-spectral-functional-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-85/session-85-s7-combined-landscape-lizzi.md | match='**Agent**: lizzi-spectral-functional-theorist (lizzi)'
[EDGE:authored_by] gates:85:session-85-s7-combined-landscape-mack.md -> researchers:mack-cosmic-bridge  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-85/session-85-s7-combined-landscape-mack.md | match='**Agent**: mack-cosmic-bridge'
[EDGE:authored_by] gates:85:session-85-w0-workingpaper.md -> researchers:gen-physicist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-85/session-85-w0-workingpaper.md | match='**Agent**: `gen-physicist`'
[EDGE:authored_by] gates:85:session-85-w10-workingpaper.md -> researchers:kaku-speculative-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-85/session-85-w10-workingpaper.md | match='**Agent**: `kaku-speculative-theorist` (solo; kaku correspondence-table post-S64'
[EDGE:authored_by] gates:85:session-85-w11-workingpaper.md -> researchers:van-den-dungen-bridge-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-85/session-85-w11-workingpaper.md | match='**Agent**: `van-den-dungen-bridge-theorist`'
[EDGE:authored_by] gates:85:session-85-w12-workingpaper.md -> researchers:gen-physicist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-85/session-85-w12-workingpaper.md | match='**Agent**: `gen-physicist`'
[EDGE:authored_by] gates:85:session-85-w13-workingpaper.md -> researchers:tesla-resonance  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-85/session-85-w13-workingpaper.md | match='**Agent**: `tesla-resonance` (Workhorse-Resonance).'
[EDGE:authored_by] gates:85:session-85-w1a-workingpaper.md -> researchers:mack-cosmic-bridge  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-85/session-85-w1a-workingpaper.md | match='**Agent**: `mack-cosmic-bridge`'
[EDGE:authored_by] gates:85:session-85-w1b-workingpaper.md -> researchers:mack-cosmic-bridge  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-85/session-85-w1b-workingpaper.md | match='**Agent**: `mack-cosmic-bridge`'
[EDGE:authored_by] gates:85:session-85-w1c-workingpaper.md -> researchers:mack-cosmic-bridge  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-85/session-85-w1c-workingpaper.md | match='**Agent**: `mack-cosmic-bridge` (bridge-solo).'
[EDGE:authored_by] gates:85:session-85-w2-workingpaper.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-85/session-85-w2-workingpaper.md | match='**Agent**: `connes-ncg-theorist`'
[EDGE:authored_by] gates:85:session-85-w3-workingpaper.md -> researchers:landau-condensed-matter-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-85/session-85-w3-workingpaper.md | match='**Agent**: `landau-condensed-matter-theorist`'
[EDGE:authored_by] gates:85:session-85-w4-workingpaper.md -> researchers:mack-cosmic-bridge  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-85/session-85-w4-workingpaper.md | match='**Agent**: `mack-cosmic-bridge`'
[EDGE:authored_by] gates:85:session-85-w5-workingpaper.md -> researchers:lizzi-spectral-functional-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-85/session-85-w5-workingpaper.md | match='**Agent**: `lizzi-spectral-functional-theorist`'
[EDGE:authored_by] gates:85:session-85-w6-workingpaper.md -> researchers:schwarzschild-penrose-geometer  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-85/session-85-w6-workingpaper.md | match='**Agent**: `schwarzschild-penrose-geometer`'
[EDGE:authored_by] gates:85:session-85-w7-workingpaper.md -> researchers:transit-dynamics-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-85/session-85-w7-workingpaper.md | match='**Agent**: `transit-dynamics-theorist`'
[EDGE:authored_by] gates:85:session-85-w8-workingpaper.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-85/session-85-w8-workingpaper.md | match='**Agent**: `volovik-superfluid-universe-theorist`'
[EDGE:authored_by] gates:85:session-85-w9-workingpaper.md -> researchers:feynman-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-85/session-85-w9-workingpaper.md | match='**Agent**: `feynman-theorist` (solo; main-agent rclab-solo dispatch).'
[EDGE:participates_in] researchers:feynman-theorist -> data_provenance:sessions/archive/session-85/workshops/s85-1c-perturbative-immunization-family.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-85/workshops/s85-1c-perturbative-immunization-family.md | match='feynman (feynman-theorist)'
[EDGE:participates_in] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-85/workshops/s85-1c-perturbative-immunization-family.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-85/workshops/s85-1c-perturbative-immunization-family.md | match='lizzi (lizzi-spectral-functional-theorist)'
[EDGE:authored_round] researchers:feynman-theorist -> data_provenance:sessions/archive/session-85/workshops/s85-1c-perturbative-immunization-family.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-85/workshops/s85-1c-perturbative-immunization-family.md | match='## Round 1 — feynman'
[EDGE:authored_round] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-85/workshops/s85-1c-perturbative-immunization-family.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-85/workshops/s85-1c-perturbative-immunization-family.md | match='## Round 1 — lizzi'
[EDGE:authored_round] researchers:feynman-theorist -> data_provenance:sessions/archive/session-85/workshops/s85-1c-perturbative-immunization-family.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-85/workshops/s85-1c-perturbative-immunization-family.md | match='## Round 2 — feynman'
[EDGE:authored_round] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-85/workshops/s85-1c-perturbative-immunization-family.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-85/workshops/s85-1c-perturbative-immunization-family.md | match='## Round 2 — lizzi'
[EDGE:participates_in] researchers:transit-dynamics-theorist -> data_provenance:sessions/archive/session-85/workshops/s85-2a-epsilon-pivot-first-principles.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-85/workshops/s85-2a-epsilon-pivot-first-principles.md | match='transit (transit-dynamics-theorist)'
[EDGE:participates_in] researchers:landau-condensed-matter-theorist -> data_provenance:sessions/archive/session-85/workshops/s85-2a-epsilon-pivot-first-principles.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-85/workshops/s85-2a-epsilon-pivot-first-principles.md | match='landau (landau-condensed-matter-theorist)'
[EDGE:authored_round] researchers:landau-condensed-matter-theorist -> data_provenance:sessions/archive/session-85/workshops/s85-2a-epsilon-pivot-first-principles.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-85/workshops/s85-2a-epsilon-pivot-first-principles.md | match='## Round 1 — landau'
[EDGE:authored_round] researchers:landau-condensed-matter-theorist -> data_provenance:sessions/archive/session-85/workshops/s85-2a-epsilon-pivot-first-principles.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-85/workshops/s85-2a-epsilon-pivot-first-principles.md | match='## Round 2 — landau'
