## S85 Chain-of-Custody Edges (generated by tools/harvest_chain_of_custody_edges.py)
## Generated: 2026-06-13T17:43:18Z
## Workingpapers scanned: 16
## Verdict files scanned: 1
## Plan files scanned: 20
## Session .md files scanned (cited_in scope): 63
## Total edges (deduped): 205
## Edge types: anchored_in,cited_in,succ_of
## Extractors: tools/_chain_of_custody_extractors.py (self-test 11/11 PASS)

[EDGE:anchored_in] gates:S85-FOLDED-BISPECTRUM-21CM-SHAPE-TEMPLATE -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-FOLDED-BISPECTRUM-21CM-SHAPE-TEMPLATE: FAIL'
[EDGE:anchored_in] gates:S85-F_CONV-TWO-LOOP-Z_R-INVESTIGATION -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-F_CONV-TWO-LOOP-Z_R-INVESTIGATION: PASS'
[EDGE:anchored_in] gates:S85-PIXIE-MU-K-ENDPOINT-PREREG -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-PIXIE-MU-K-ENDPOINT-PREREG: PASS'
[EDGE:anchored_in] gates:S85-CC-5-LMAX-ASYMPTOTIC-REFIT -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-CC-5-LMAX-ASYMPTOTIC-REFIT: PASS'
[EDGE:anchored_in] gates:S85-BETA-S-CMB-S4-PREREG -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-BETA-S-CMB-S4-PREREG: PASS'
[EDGE:anchored_in] gates:S85-DR3-REGULATOR-SUCCESSOR-TREE -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-DR3-REGULATOR-SUCCESSOR-TREE: PASS'
[EDGE:anchored_in] gates:S85-ZUBAREV-LMAX-CONVERGENCE-TO-MINUS-ONE -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-ZUBAREV-LMAX-CONVERGENCE-TO-MINUS-ONE: FAIL'
[EDGE:anchored_in] gates:S85-W2-ALPHA-S-AXIOM-MINIMALITY-AU -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-W2-ALPHA-S-AXIOM-MINIMALITY-AU: PASS'
[EDGE:anchored_in] gates:S85-W2-KO6-HIGGS-SIGN-DIRECTION -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-W2-KO6-HIGGS-SIGN-DIRECTION: PASS'
[EDGE:anchored_in] gates:S85-W2-PRE-CC-1-KO6-ON-ETA -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-W2-PRE-CC-1-KO6-ON-ETA: PASS'
[EDGE:anchored_in] gates:S85-W3-CF-5-PIXIE-KMFIRAS-PREREG -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-W3-CF-5-PIXIE-KMFIRAS-PREREG: PASS'
[EDGE:anchored_in] gates:S85-W3-CF-7-R7-GOLDSTONE-EMERGENCE -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-W3-CF-7-R7-GOLDSTONE-EMERGENCE: INFO'
[EDGE:anchored_in] gates:S85-W2-THREE-SOLO-CONVERGENCE-VERIFY -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-W2-THREE-SOLO-CONVERGENCE-VERIFY: PASS'
[EDGE:anchored_in] gates:S85-W3-CF-4-BOGOLIUBOV-DEPHASING-AT-K -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-W3-CF-4-BOGOLIUBOV-DEPHASING-AT-K: INFO'
[EDGE:anchored_in] gates:S85-W2-CROSS-SESSION-THEOREM-FAMILY -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-W2-CROSS-SESSION-THEOREM-FAMILY: PASS'
[EDGE:anchored_in] gates:S85-W2-HP3-DISJOINT-CORRIDOR-THREE-WAY -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-W2-HP3-DISJOINT-CORRIDOR-THREE-WAY: PASS'
[EDGE:anchored_in] gates:S85-W3-CF-6-K-REGULATOR-MAP-THEOREM -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-W3-CF-6-K-REGULATOR-MAP-THEOREM: PASS'
[EDGE:anchored_in] gates:S85-W2-QUANTUM-DISJOINT-CORRIDOR -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-W2-QUANTUM-DISJOINT-CORRIDOR: PASS'
[EDGE:anchored_in] gates:S85-W3-CF-2-TWO-SPEED-TRANSFER-IDENTITY -> sessions:85  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-85/s85_gate_verdicts.txt | match='S85-W3-CF-2-TWO-SPEED-TRANSFER-IDENTITY: PASS'
