## S86 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G7
## Files scanned: 27 (+ 38 in workshops/)
## Total edges (deduped): 167
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] gates:86:c1_exflation_proposal.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-86/c1_exflation_proposal.md | match='**Author**: volovik-superfluid-universe-theorist'
[EDGE:authored_by] data_provenance:86:c1_exflation_proposal.md -> researchers:volovik-superfluid-universe-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-86/c1_exflation_proposal.md | match='**Author**: volovik-superfluid-universe-theorist'
[EDGE:authored_by] gates:86:session-86-w0a-workingpaper.md -> researchers:orchestrator  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-86/session-86-w0a-workingpaper.md | match='**Agent**: orchestrator (lizzi-spectral-functional-theorist dispatched first; re'
[EDGE:authored_by] gates:86:session-86-w0a-workingpaper.md -> researchers:lizzi-spectral-functional-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-86/session-86-w0a-workingpaper.md | match='**Agent**: `lizzi-spectral-functional-theorist`'
[EDGE:authored_by] gates:86:session-86-w0a-workingpaper.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-86/session-86-w0a-workingpaper.md | match='**Agent**: connes-ncg-theorist (validator) + orchestrator (`.claude/` template c'
[EDGE:authored_by] gates:86:session-86-w0b-workingpaper.md -> researchers:orchestrator  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-86/session-86-w0b-workingpaper.md | match='**Agent**: orchestrator (single-agent /rclab-solo execution)'
[EDGE:authored_by] gates:86:session-86-w10-workingpaper.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-86/session-86-w10-workingpaper.md | match='**Agent**: `connes-ncg-theorist` (lizzi self-blacklisted as originating proposer'
[EDGE:authored_by] gates:86:session-86-w10-workingpaper.md -> researchers:spectral-geometer  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-86/session-86-w10-workingpaper.md | match='**Agent**: `spectral-geometer` (lizzi self-blacklisted; Gilkey heat-kernel asymp'
[EDGE:authored_by] gates:86:session-86-w11-workingpaper.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-86/session-86-w11-workingpaper.md | match='**Agent**: `volovik-superfluid-universe-theorist` (PRIMARY)'
[EDGE:authored_by] gates:86:session-86-w11-workingpaper.md -> researchers:sagan-empiricist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-86/session-86-w11-workingpaper.md | match='**Agent**: `sagan-empiricist` (PRIMARY; fallback `mack-cosmic-bridge`)'
[EDGE:authored_by] gates:86:session-86-w12-workingpaper.md -> researchers:mack-cosmic-bridge  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-86/session-86-w12-workingpaper.md | match='**Agent**: `mack-cosmic-bridge`'
