## S86 Chain-of-Custody Edges (generated by tools/harvest_chain_of_custody_edges.py)
## Generated: 2026-06-13T17:43:18Z
## Workingpapers scanned: 21
## Verdict files scanned: 1
## Plan files scanned: 23
## Session .md files scanned (cited_in scope): 86
## Total edges (deduped): 172
## Edge types: anchored_in,cited_in,succ_of
## Extractors: tools/_chain_of_custody_extractors.py (self-test 11/11 PASS)

[EDGE:anchored_in] gates:S86-CANON-PRDR-K-DISAMBIGUATION -> sessions:86  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-86/s86_gate_verdicts.txt | match='S86-CANON-PRDR-K-DISAMBIGUATION: FAIL'
[EDGE:anchored_in] gates:S86-PRU-EXTENSION-RULE-V2-LANDING -> sessions:86  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-86/s86_gate_verdicts.txt | match='S86-PRU-EXTENSION-RULE-V2-LANDING: PASS'
[EDGE:anchored_in] gates:S86-RULE-FILE-V3-LANDING -> sessions:86  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-86/s86_gate_verdicts.txt | match='S86-RULE-FILE-V3-LANDING: PASS'
[EDGE:anchored_in] gates:S86-CUTOFF-AXIS-YAML-PIN -> sessions:86  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-86/s86_gate_verdicts.txt | match='S86-CUTOFF-AXIS-YAML-PIN: PASS'
[EDGE:anchored_in] gates:S86-PLAN-GEN-DISCIPLINE-UPDATE -> sessions:86  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-86/s86_gate_verdicts.txt | match='S86-PLAN-GEN-DISCIPLINE-UPDATE: PASS'
[EDGE:anchored_in] gates:S86-CANONICAL-PHRASING-AUDIT -> sessions:86  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-86/s86_gate_verdicts.txt | match='S86-CANONICAL-PHRASING-AUDIT: PASS'
[EDGE:anchored_in] gates:S86-SINGLE-NAME-CONFLATION-METHODOLOGY-ENTRY -> sessions:86  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-86/s86_gate_verdicts.txt | match='S86-SINGLE-NAME-CONFLATION-METHODOLOGY-ENTRY: PASS'
[EDGE:anchored_in] gates:S86-PRR-THREE-LAYER-ADJUDICATION -> sessions:86  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-86/s86_gate_verdicts.txt | match='S86-PRR-THREE-LAYER-ADJUDICATION: PASS'
[EDGE:anchored_in] gates:S86-W7-SIG2-DUAL-SHA-REGEN -> sessions:86  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-86/s86_gate_verdicts.txt | match='S86-W7-SIG2-DUAL-SHA-REGEN: INFO'
[EDGE:anchored_in] gates:S86-LAMBDA-TOP-DIRECT-EXTRACTION -> sessions:86  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-86/s86_gate_verdicts.txt | match='S86-LAMBDA-TOP-DIRECT-EXTRACTION: FAIL'
[EDGE:anchored_in] gates:S86-DUAL-SHA-INFRASTRUCTURE -> sessions:86  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-86/s86_gate_verdicts.txt | match='S86-DUAL-SHA-INFRASTRUCTURE: PASS'
