## S87 Chain-of-Custody Edges (generated by tools/harvest_chain_of_custody_edges.py)
## Generated: 2026-06-13T17:43:18Z
## Workingpapers scanned: 1
## Verdict files scanned: 1
## Plan files scanned: 21
## Session .md files scanned (cited_in scope): 22
## Total edges (deduped): 147
## Edge types: anchored_in,cited_in,succ_of
## Extractors: tools/_chain_of_custody_extractors.py (self-test 11/11 PASS)

[EDGE:anchored_in] gates:S87-VII-PROP-LANDING-A -> sessions:87  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-87/s87_gate_verdicts.txt | match='S87-VII-PROP-LANDING-A: PASS'
[EDGE:anchored_in] gates:S87-VII-PROP-LANDING-B -> sessions:87  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-87/s87_gate_verdicts.txt | match='S87-VII-PROP-LANDING-B: PASS'
[EDGE:anchored_in] gates:S87-W1B-T5-LANDING -> sessions:87  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-87/s87_gate_verdicts.txt | match='S87-W1B-T5-LANDING: PASS'
[EDGE:anchored_in] gates:S87-MELLIN-CONE-NO-GO-THEOREM-LANDING -> sessions:87  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-87/s87_gate_verdicts.txt | match='S87-MELLIN-CONE-NO-GO-THEOREM-LANDING: PASS'
[EDGE:anchored_in] gates:S87-FINITE-SPECTRUM-MELLIN-DIRICHLET-IDENTITY-LANDING -> sessions:87  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-87/s87_gate_verdicts.txt | match='S87-FINITE-SPECTRUM-MELLIN-DIRICHLET-IDENTITY-LANDING: PASS'
[EDGE:anchored_in] gates:S87-W3-PER-EVAL-FINITENESS-PRE-REG -> sessions:87  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-87/s87_gate_verdicts.txt | match='S87-W3-PER-EVAL-FINITENESS-PRE-REG: FAIL'
[EDGE:anchored_in] gates:S87-A0-R-PROTECTION-FAILURE-IS-M2-AXIOM-FAILURE-LANDING -> sessions:87  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-87/s87_gate_verdicts.txt | match='S87-A0-R-PROTECTION-FAILURE-IS-M2-AXIOM-FAILURE-LANDING: FAIL'
[EDGE:anchored_in] gates:S87-M2-STRUCTURAL-SOURCE-FOR-LAMBDA-SA-FINITE-L-RESIDUAL-LANDING -> sessions:87  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-87/s87_gate_verdicts.txt | match='S87-M2-STRUCTURAL-SOURCE-FOR-LAMBDA-SA-FINITE-L-RESIDUAL-LANDING: FAIL'
[EDGE:anchored_in] gates:S87-PV-SUBTRACTION-RECALIBRATION -> sessions:87  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-87/s87_gate_verdicts.txt | match='S87-PV-SUBTRACTION-RECALIBRATION: FAIL'
[EDGE:anchored_in] gates:S87-D-EFF-ANCHOR-VERIFICATION -> sessions:87  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-87/s87_gate_verdicts.txt | match='S87-D-EFF-ANCHOR-VERIFICATION: FAIL'
[EDGE:anchored_in] gates:S87-PAIRED-SLOT-RATIO-INTERPRETATION -> sessions:87  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-87/s87_gate_verdicts.txt | match='S87-PAIRED-SLOT-RATIO-INTERPRETATION: INFO'
[EDGE:anchored_in] gates:S87-PS-AF-RECALIBRATION-DIAGNOSTIC -> sessions:87  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-87/s87_gate_verdicts.txt | match='S87-PS-AF-RECALIBRATION-DIAGNOSTIC: INFO'
[EDGE:anchored_in] gates:S88-CONNES-DISTANCE-FINITE-SPECTRUM-IDENTITY-CONJECTURE -> sessions:87  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-87/s87_gate_verdicts.txt | match='S88-CONNES-DISTANCE-FINITE-SPECTRUM-IDENTITY-CONJECTURE: INFO'
[EDGE:anchored_in] gates:S87-VII-SLOT-ALLOC-AUDIT-CLASS-F-EXT -> sessions:87  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-87/s87_gate_verdicts.txt | match='S87-VII-SLOT-ALLOC-AUDIT-CLASS-F-EXT: PASS'
[EDGE:anchored_in] gates:S87-LMAX-WEYL-CONVERGENCE-SWEEP -> sessions:87  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-87/s87_gate_verdicts.txt | match='S87-LMAX-WEYL-CONVERGENCE-SWEEP: FAIL'
[EDGE:anchored_in] gates:S87-W1B-HK-5-PV-CONTINUUM-POLE-RECONCILIATION -> sessions:87  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-87/s87_gate_verdicts.txt | match='S87-W1B-HK-5-PV-CONTINUUM-POLE-RECONCILIATION: PASS'
