## S88 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G7
## Files scanned: 27 (+ 55 in workshops/)
## Total edges (deduped): 121
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] gates:88:session-88-w10-workingpaper.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-88/session-88-w10-workingpaper.md | match='**Agent**: `connes-ncg-theorist`'
[EDGE:authored_by] gates:88:session-88-w10-workingpaper.md -> researchers:gen-physicist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-88/session-88-w10-workingpaper.md | match='**Agent**: `gen-physicist` (plan-pinned); orchestrator-direct-write in `/rclab-s'
[EDGE:authored_by] gates:88:session-88-w11-workingpaper.md -> researchers:lizzi-spectral-functional-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-88/session-88-w11-workingpaper.md | match='**Agent**: `lizzi-spectral-functional-theorist` (orchestrator); gen-physicist (C'
[EDGE:authored_by] gates:88:session-88-w11-workingpaper.md -> researchers:gen-physicist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-88/session-88-w11-workingpaper.md | match='**Agent**: `gen-physicist` (orchestrator); connes-ncg-theorist (CO; NCG-axiomati'
[EDGE:authored_by] gates:88:session-88-w11-workingpaper.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-88/session-88-w11-workingpaper.md | match='**Agent**: `connes-ncg-theorist` (orchestrator); gen-physicist (CO; toy-spectrum'
[EDGE:authored_by] gates:88:session-88-w12-workingpaper.md -> researchers:mack-cosmic-bridge  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-88/session-88-w12-workingpaper.md | match='**Agent**: `mack-cosmic-bridge` (cosmological observable provenance) + `gen-phys'
[EDGE:authored_by] gates:88:session-88-w12-workingpaper.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-88/session-88-w12-workingpaper.md | match='**Agent**: `connes-ncg-theorist` (cross-region partition machinery) + `gen-physi'
[EDGE:authored_by] gates:88:session-88-w12-workingpaper.md -> researchers:gen-physicist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-88/session-88-w12-workingpaper.md | match='**Agent**: `gen-physicist` (orchestrator-direct-write; solo-runner orchestrator)'
[EDGE:authored_by] gates:88:session-88-w13-workingpaper.md -> researchers:gen-physicist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-88/session-88-w13-workingpaper.md | match='**Agent**: `gen-physicist`'
[EDGE:authored_by] gates:88:session-88-w13-workingpaper.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-88/session-88-w13-workingpaper.md | match='**Agent**: `connes-ncg-theorist`'
[EDGE:authored_by] gates:88:session-88-w13-workingpaper.md -> researchers:lizzi-spectral-functional-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-88/session-88-w13-workingpaper.md | match='**Agent**: `lizzi-spectral-functional-theorist`'
