## S88 Chain-of-Custody Edges (generated by tools/harvest_chain_of_custody_edges.py)
## Generated: 2026-06-13T17:43:18Z
## Workingpapers scanned: 24
## Verdict files scanned: 2
## Plan files scanned: 26
## Session .md files scanned (cited_in scope): 99
## Total edges (deduped): 280
## Edge types: anchored_in,cited_in,succ_of
## Extractors: tools/_chain_of_custody_extractors.py (self-test 11/11 PASS)

[EDGE:anchored_in] gates:S88-CF-CURV-5-CASCADE-SCALING-DERIVATION -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-CF-CURV-5-CASCADE-SCALING-DERIVATION: PASS'
[EDGE:anchored_in] gates:S88-CF-CURV-6-N-PBH-PER-CASCADE-GENERATION -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-CF-CURV-6-N-PBH-PER-CASCADE-GENERATION: PASS'
[EDGE:anchored_in] gates:S88-CF-CURV-7-BULK-CASCADE-GGE-ENERGY-BOOKKEEPING -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-CF-CURV-7-BULK-CASCADE-GGE-ENERGY-BOOKKEEPING: PASS'
[EDGE:anchored_in] gates:S88-CF-CURV-17-LOCK-SELF-CONSISTENCY-DS-1-WEAK-READING -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-CF-CURV-17-LOCK-SELF-CONSISTENCY-DS-1-WEAK-READING: PASS'
[EDGE:anchored_in] gates:S88-CF-CURV-8-F-H3-HP1-COHOMOLOGY-LOCK-BOUNDARY -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-CF-CURV-8-F-H3-HP1-COHOMOLOGY-LOCK-BOUNDARY: PASS'
[EDGE:anchored_in] gates:S88-CF-CURV-9-CONNES-GRAPH-AUTOMORPHISM-HORIZON-EDGES -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-CF-CURV-9-CONNES-GRAPH-AUTOMORPHISM-HORIZON-EDGES: PASS'
[EDGE:anchored_in] gates:S88-CF-CURV-10-SUBSTRATE-BITS-PER-PIXEL -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-CF-CURV-10-SUBSTRATE-BITS-PER-PIXEL: FAIL'
[EDGE:anchored_in] gates:S88-CF-CURV-11-PAGE-TIME-CASCADE-TAIL-MASS -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-CF-CURV-11-PAGE-TIME-CASCADE-TAIL-MASS: PASS'
[EDGE:anchored_in] gates:S88-CF-CURV-12-UNIVERSAL-LOCK-CONDITION-THEOREM-STAGE-1-PROMOTION -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-CF-CURV-12-UNIVERSAL-LOCK-CONDITION-THEOREM-STAGE-1-PROMOTION: PASS'
[EDGE:anchored_in] gates:S88-CF-CURV-13-JWST-ROMAN-ATHENA-89-PEAK-DETECTION -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-CF-CURV-13-JWST-ROMAN-ATHENA-89-PEAK-DETECTION: PASS'
[EDGE:anchored_in] gates:S88-CF-CURV-14-TS-EM-2-BASE-2-LADDER-SPECTROSCOPY -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-CF-CURV-14-TS-EM-2-BASE-2-LADDER-SPECTROSCOPY: PASS'
