## S89 Chain-of-Custody Edges (generated by tools/harvest_chain_of_custody_edges.py)
## Generated: 2026-06-13T17:43:18Z
## Workingpapers scanned: 7
## Verdict files scanned: 1
## Plan files scanned: 9
## Session .md files scanned (cited_in scope): 24
## Total edges (deduped): 113
## Edge types: anchored_in,carries_forward,cited_in,succ_of
## Extractors: tools/_chain_of_custody_extractors.py (self-test 11/11 PASS)

[EDGE:carries_forward] sessions:89 -> gates:CF-W1-3-RETRY  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-89/session-89-w1-workingpaper.md | match='### CF-W1-3-RETRY — Refined species-multiplicity table with lattice-QCD-correcte'
[EDGE:carries_forward] sessions:89 -> gates:CF-W1-2-DEFERRED  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-89/session-89-w1-workingpaper.md | match='### CF-W1-2-DEFERRED — Re-execute §W1-2 multi-species L_H post-(CF-W1-3-RETRY) P'
[EDGE:carries_forward] sessions:89 -> gates:CF-W1-4-PROMOTE  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-89/session-89-w1-workingpaper.md | match='### CF-W1-4-PROMOTE — Refine β_PBH at L_max=12 substrate pinning + cascade-tail-'
[EDGE:carries_forward] sessions:89 -> gates:CF-W1-1-ALT-CORRIDOR  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-89/session-89-w1-workingpaper.md | match='### CF-W1-1-ALT-CORRIDOR — Re-derive α(M) substrate-IS function-form via alterna'
[EDGE:carries_forward] sessions:89 -> gates:CF-W1-3-RETRY-CRITERION-REVISION  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-89/session-89-w1-workingpaper.md | match='### CF-W1-3-RETRY-CRITERION-REVISION — Boltzmann-suppressed cross-check anchor s'
[EDGE:carries_forward] sessions:89 -> gates:CF-W2-1-RETRY  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-89/session-89-w2-workingpaper.md | match='### CF-W2-1-RETRY — Re-author §W2-1 with Class-8.3-aware tolerance + xc1/xc2 obs'
[EDGE:carries_forward] sessions:89 -> gates:CF-W2-2-DEFERRED  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-89/session-89-w2-workingpaper.md | match='### CF-W2-2-DEFERRED — Re-execute landau path post-A.3 PASS'
[EDGE:carries_forward] sessions:89 -> gates:CF-W2-4-DEFERRED  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-89/session-89-w2-workingpaper.md | match='### CF-W2-4-DEFERRED — Sagan dual-prior 3-track JSON pre-registration post-(A.3 '
[EDGE:carries_forward] sessions:89 -> gates:CF-A40-FAIL-ALTERNATIVE-CHIRALITY  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-89/session-89-w2-workingpaper.md | match='### CF-A40-FAIL-ALTERNATIVE-CHIRALITY — Investigate alternative chirality struct'
[EDGE:carries_forward] sessions:89 -> gates:CF-W3-2-DEFICIT-RECONCILIATION  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-89/session-89-w3-workingpaper.md | match='### CF-W3-2-DEFICIT-RECONCILIATION — Re-derive c_substrate using W-12 §IV.1 defi'
[EDGE:carries_forward] sessions:89 -> gates:CF-W3-6-MACK-REGISTRY-LANDING  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-89/session-89-w3-workingpaper.md | match='### CF-W3-6-MACK-REGISTRY-LANDING — mack-cosmic-bridge sole-writer registry land'
[EDGE:carries_forward] sessions:89 -> gates:CF-W3-9-RICHARDSON-EXTRAPOLATION  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-89/session-89-w3-workingpaper.md | match='### CF-W3-9-RICHARDSON-EXTRAPOLATION — Richardson L^{−3} extrapolation of Source'
[EDGE:carries_forward] sessions:89 -> gates:CF-W4-2-A3-RECOMPUTE  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-89/session-89-w4-workingpaper.md | match='### CF-W4-2-A3-RECOMPUTE — A.3 CONNES-KAROUBI-PAIRING-BDG-RESTRICTED-INFRASTRUCT'
[EDGE:carries_forward] sessions:89 -> gates:CF-W4-3-ELEMENT2-RETROFIT  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-89/session-89-w4-workingpaper.md | match='### CF-W4-3-ELEMENT2-RETROFIT — §VII.W-3.LAB Element-2 OE-form retrofit per S88 '
[EDGE:carries_forward] sessions:89 -> gates:CF-W4-5-A36-PENDING  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-89/session-89-w4-workingpaper.md | match='### CF-W4-5-A36-PENDING — §VII.AR Stage-2 PENDING-A.36 anchor-sweep dependency'
[EDGE:carries_forward] sessions:89 -> gates:CF-W4-6-MELLIN-LMAX-SATURATION  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-89/session-89-w4-workingpaper.md | match='### CF-W4-6-MELLIN-LMAX-SATURATION — §VII.AQ clause (ii) Mellin L_max-stability '
[EDGE:carries_forward] sessions:89 -> gates:CF-W4-7-VII-AH-STAGE-3-PROMOTION  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-89/session-89-w4-workingpaper.md | match='### CF-W4-7-VII-AH-STAGE-3-PROMOTION — §VII.AH STAGE-3-PERMANENT promotion regis'
[EDGE:carries_forward] sessions:89 -> gates:CF-W4-7-ORTHOGONALITY-K2  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-89/session-89-w4-workingpaper.md | match='### CF-W4-7-ORTHOGONALITY-K2 — Substrate-input-orthogonality clause K-counter K='
[EDGE:carries_forward] sessions:89 -> gates:CF-W5-1  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-89/session-89-w5-workingpaper.md | match='### CF-W5-1 — S90-W5-5-RETRY-WITH-PV-SUBTRACTED-MELLIN-S3-EXTRACTION'
[EDGE:carries_forward] sessions:89 -> gates:CF-W5-2  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-89/session-89-w5-workingpaper.md | match='### CF-W5-2 — S90-W5-7-RETRY-WITH-CANONICAL-W7A74-PRIMARY-EVALUATOR'
[EDGE:carries_forward] sessions:89 -> gates:CF-W5-3  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-89/session-89-w5-workingpaper.md | match='### CF-W5-3 — S90-CORNER-IV-FULL-BDG-REDERIVE-PER-LMAX'
[EDGE:carries_forward] sessions:89 -> gates:CF-W5-4  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-89/session-89-w5-workingpaper.md | match='### CF-W5-4 — S90-FWD-CN-MACK-COSMIC-BRIDGE-LANDINGS'
[EDGE:carries_forward] sessions:89 -> gates:CF-W6-1  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-89/session-89-w6-workingpaper.md | match='### CF-W6-1 — §VII.AN registry-anchor reconciliation (mack-cosmic-bridge)'
[EDGE:carries_forward] sessions:89 -> gates:CF-W6-2  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-89/session-89-w6-workingpaper.md | match='### CF-W6-2 — W6a plan-file restoration OR downstream-anchor reconciliation'
[EDGE:carries_forward] sessions:89 -> gates:CF-W6-3  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-89/session-89-w6-workingpaper.md | match='### CF-W6-3 — §VII.U.2 Corner-classification reconciliation (mack-cosmic-bridge)'
[EDGE:carries_forward] sessions:89 -> gates:CF-W6-4  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-89/session-89-w6-workingpaper.md | match='### CF-W6-4 — `_corner_classification_audit.py` target-list extension to include'
[EDGE:carries_forward] sessions:89 -> gates:CF-W6-5  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-89/session-89-w6-workingpaper.md | match='### CF-W6-5 — W6-7 substantive D_max measurement (CO-author re-dispatch)'
[EDGE:carries_forward] sessions:89 -> gates:CF-W6-6  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-89/session-89-w6-workingpaper.md | match='### CF-W6-6 — Plan-staleness validator regex tightening (orchestrator)'
[EDGE:carries_forward] sessions:89 -> gates:CF-W6-7  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-89/session-89-w6-workingpaper.md | match='### CF-W6-7 — EG1 K-counter regex extension to recognize K-letter form (orchestr'
[EDGE:carries_forward] sessions:89 -> gates:CF-W7-1  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-89/session-89-w7-workingpaper.md | match='### CF-W7-1 — S90 FWD-C1 §VII.AU.OP-PROJ single-shot PASS landing (R1 lexical-fo'
[EDGE:carries_forward] sessions:89 -> gates:CF-W7-2  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-89/session-89-w7-workingpaper.md | match='### CF-W7-2 — S90 registry hygiene cleanup for §VII.AAU + §VII.AV WITHDRAWN-IN-F'
[EDGE:carries_forward] sessions:89 -> gates:CF-W7-3  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-89/session-89-w7-workingpaper.md | match='### CF-W7-3 — Plan-pre-registration rubric self-inconsistency (Class-8.2 calibra'
[EDGE:anchored_in] gates:S89-ALPHA-M-NCG-HORIZON-MICROSTATE-COUNT-DERIVATION -> sessions:89  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-89/s89_gate_verdicts.txt | match='S89-ALPHA-M-NCG-HORIZON-MICROSTATE-COUNT-DERIVATION: FAIL'
[EDGE:anchored_in] gates:S89-F-M-SPECIES-MULTIPLICITY-LOOKUP-TABLE -> sessions:89  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-89/s89_gate_verdicts.txt | match='S89-F-M-SPECIES-MULTIPLICITY-LOOKUP-TABLE: FAIL'
[EDGE:anchored_in] gates:S89-L-H-CANONICAL-RE-PINNING-CASCADE-TAIL-13OOM -> sessions:89  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-89/s89_gate_verdicts.txt | match='S89-L-H-CANONICAL-RE-PINNING-CASCADE-TAIL-13OOM: FAIL'
[EDGE:anchored_in] gates:S89-N-PBH-BAND-EDGE-TENSION-RECONCILIATION -> sessions:89  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-89/s89_gate_verdicts.txt | match='S89-N-PBH-BAND-EDGE-TENSION-RECONCILIATION: INFO'
[EDGE:anchored_in] gates:S89-CONNES-KAROUBI-PAIRING-BDG-RESTRICTED-INFRASTRUCTURE -> sessions:89  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-89/s89_gate_verdicts.txt | match='S89-CONNES-KAROUBI-PAIRING-BDG-RESTRICTED-INFRASTRUCTURE: FAIL'
[EDGE:anchored_in] gates:S89-BCS-PHYSICS-GROUNDED-R-SUBSTRATE-LANDAU-PATH -> sessions:89  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-89/s89_gate_verdicts.txt | match='S89-BCS-PHYSICS-GROUNDED-R-SUBSTRATE-LANDAU-PATH: FAIL'
[EDGE:anchored_in] gates:S89-INDEPENDENT-CHI-PRIME-INHERITANCE-MORPHISM-M2C-CL1-TARGET -> sessions:89  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-89/s89_gate_verdicts.txt | match='S89-INDEPENDENT-CHI-PRIME-INHERITANCE-MORPHISM-M2C-CL1-TARGET: PASS'
[EDGE:anchored_in] gates:S89-3HEB-EXCESS-INHERITANCE-CONNES-KAROUBI-PAIRING-CANONICAL -> sessions:89  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-89/s89_gate_verdicts.txt | match='S89-3HEB-EXCESS-INHERITANCE-CONNES-KAROUBI-PAIRING-CANONICAL: FAIL'
[EDGE:anchored_in] gates:S89-CHIRALITY-FIDELITY-3-PROXY-RECOMPUTE-CS-GV-ETACS -> sessions:89  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-89/s89_gate_verdicts.txt | match='S89-CHIRALITY-FIDELITY-3-PROXY-RECOMPUTE-CS-GV-ETACS: FAIL'
