## S90 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G7
## Files scanned: 18 (+ 11 in workshops/)
## Total edges (deduped): 77
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:reviewed_by] data_provenance:90:session-90-connes-s2-pru-class-8-7-synthesis.md -> researchers:connes-ncg-theorist  # G3 | role=adversarial_review | conf=header-parsed | src=sessions/archive/session-90/session-90-connes-s2-pru-class-8-7-synthesis.md | match='**Reviewer**: connes-ncg-theorist (Workhorse-NCG; independe
[EDGE:authored_by] gates:90:session-90-connes-s3-partial-positive-synthesis.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-90/session-90-connes-s3-partial-positive-synthesis.md | match='**Agent**: `connes-ncg-theorist` (Workhorse-NCG; independent solo s
[EDGE:authored_by] gates:90:session-90-gen-physicist-s8-combined-landscape-synthesis.md -> researchers:gen-physicist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-90/session-90-gen-physicist-s8-combined-landscape-synthesis.md | match='**Agent**: gen-physicist (S-8 closeout solo per `sessions/
[EDGE:authored_by] gates:90:session-90-lizzi-s4-meta-p3-synthesis.md -> researchers:lizzi-spectral-functional-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-90/session-90-lizzi-s4-meta-p3-synthesis.md | match='**Author**: lizzi-spectral-functional-theorist (independent solo synthesis)'
[EDGE:authored_by] data_provenance:90:session-90-lizzi-s4-meta-p3-synthesis.md -> researchers:lizzi-spectral-functional-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-90/session-90-lizzi-s4-meta-p3-synthesis.md | match='**Author**: lizzi-spectral-functional-theorist (independent solo synthesis)'
[EDGE:authored_by] gates:90:session-90-lizzi-s7-d4-envelope-synthesis.md -> researchers:lizzi-spectral-functional-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-90/session-90-lizzi-s7-d4-envelope-synthesis.md | match='**Author**: lizzi-spectral-functional-theorist PRIMARY; connes-ncg-theori
[EDGE:co_authored_by] gates:90:session-90-lizzi-s7-d4-envelope-synthesis.md -> researchers:connes-ncg-theorist  # G7 | role=co_author | conf=header-parsed | src=sessions/archive/session-90/session-90-lizzi-s7-d4-envelope-synthesis.md | match='**Author**: lizzi-spectral-functional-theorist PRIMARY; connes-ncg-theo
[EDGE:cites_prior_session] gates:90:session-90-volovik-s1-deferred-pending-synthesis.md -> sessions:90  # G7 | conf=provenance-block | src=sessions/archive/session-90/session-90-volovik-s1-deferred-pending-synthesis.md | match='> **Provenance**: S90 Slot 1 entry S-1 of the S90 workshop schedule per `/rcla
[EDGE:authored_by] gates:90:session-90-volovik-s6-vii-av-pathway-synthesis.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-90/session-90-volovik-s6-vii-av-pathway-synthesis.md | match='**Agent**: volovik-superfluid-universe-theorist (solo independent sy
[EDGE:authored_by] gates:90:session-90-w1-workingpaper.md -> researchers:mack-cosmic-bridge  # G7 | role=sole_writer | conf=header-parsed | src=sessions/archive/session-90/session-90-w1-workingpaper.md | match='**Agent**: `gen-physicist orchestrator-direct-write` (CO-AUTHOR: `mack-cosmic-br'
[EDGE:authored_by] gates:90:session-90-w2-workingpaper.md -> researchers:mack-cosmic-bridge  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-90/session-90-w2-workingpaper.md | match='**Agent**: `mack-cosmic-bridge` (sole-writer; co-signers: connes-ncg-theorist, l'
[EDGE:cites_prior_session] gates:90:session-90-w2-workingpaper.md -> sessions:90  # G7 | conf=provenance-block | src=sessions/archive/session-90/session-90-w2-workingpaper.md | match='> **Provenance**: lifted from `sessions/archive/session-90/workshops/_seed-w2.md'
[EDGE:authored_by] gates:90:session-90-w3-workingpaper.md -> researchers:mack-cosmic-bridge  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-90/session-90-w3-workingpaper.md | match='**Agent**: `mack-cosmic-bridge` (sole writer per `feedback_mack-bridge-role.md`)'
[EDGE:authored_by] gates:90:session-90-w4-workingpaper.md -> researchers:phonon-first-cosmologist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-90/session-90-w4-workingpaper.md | match='**Agent**: `phonon-first-cosmologist` (PRIMARY; orchestrator-conducted under /rc'
[EDGE:authored_by] gates:90:session-90-w5-workingpaper.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-90/session-90-w5-workingpaper.md | match='**Agent**: `connes-ncg-theorist` PRIMARY on §W2-1.A (Connes-Karoubi pairing, BdG'
[EDGE:authored_by] gates:90:session-90-w5-workingpaper.md -> researchers:lizzi-spectral-functional-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-90/session-90-w5-workingpaper.md | match='**Agent**: `connes-ncg-theorist` PRIMARY on §W2-1.A (Connes-Karoubi pairing, BdG'
[EDGE:authored_by] gates:90:session-90-w5-workingpaper.md -> researchers:landau-condensed-matter-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-90/session-90-w5-workingpaper.md | match='**Agent**: `landau-condensed-matter-theorist` PRIMARY (BCS-physics-grounded R_su'
[EDGE:co_authored_by] gates:90:session-90-w5-workingpaper.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=co_author | conf=header-parsed | src=sessions/archive/session-90/session-90-w5-workingpaper.md | match='**Agent**: `landau-condensed-matter-theorist` PRIMARY (BCS-physics-grounded R_su'
[EDGE:co_authored_by] gates:90:session-90-w5-workingpaper.md -> researchers:connes-ncg-theorist  # G7 | role=co_author | conf=header-parsed | src=sessions/archive/session-90/session-90-w5-workingpaper.md | match='**Agent**: `landau-condensed-matter-theorist` PRIMARY (BCS-physics-grounded R_su'
[EDGE:authored_by] gates:90:session-90-w5-workingpaper.md -> researchers:sagan-empiricist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-90/session-90-w5-workingpaper.md | match='**Agent**: `sagan-empiricist` PRIMARY (Sagan-revised dual-prior; per ledger expl'
[EDGE:authored_by] gates:90:session-90-w6-workingpaper.md -> researchers:gen-physicist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-90/session-90-w6-workingpaper.md | match='**Agent**: `gen-physicist` PRIMARY + `connes-ncg-theorist` CO-AUTHOR (plan-desig'
