## S91 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G7
## Files scanned: 19 (+ 17 in workshops/)
## Total edges (deduped): 71
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:reviewed_by] data_provenance:91:session-91-connes-ncg-theorist-w8-dual-anchor-synthesis.md -> researchers:connes-ncg-theorist  # G3 | role=adversarial_review | conf=header-parsed | src=sessions/archive/session-91/session-91-connes-ncg-theorist-w8-dual-anchor-synthesis.md | match='**Reviewer**: `connes-ncg-theorist` (Workhorse-N
[EDGE:authored_by] gates:91:session-91-connes-ncg-theorist-w9-schematic-vs-full-synthesis.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-91/session-91-connes-ncg-theorist-w9-schematic-vs-full-synthesis.md | match="**Author**: `connes-ncg-theorist` (Workhorse-NCG; fra
[EDGE:authored_by] data_provenance:91:session-91-connes-ncg-theorist-w9-schematic-vs-full-synthesis.md -> researchers:connes-ncg-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-91/session-91-connes-ncg-theorist-w9-schematic-vs-full-synthesis.md | match="**Author**: `connes-ncg-theorist` (Workhorse-NCG; fra
[EDGE:authored_by] data_provenance:91:session-91-connes-ncg-theorist-w9-wodzicki-bcs-closure-pathway.md -> researchers:connes-ncg-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-91/session-91-connes-ncg-theorist-w9-wodzicki-bcs-closure-pathway.md | match='**Author**: connes-ncg-theorist (CF-W9-9-1 primary o
[EDGE:authored_by] gates:91:session-91-lizzi-spectral-functional-theorist-synthesis.md -> researchers:lizzi-spectral-functional-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-91/session-91-lizzi-spectral-functional-theorist-synthesis.md | match='**Author**: lizzi-spectral-functional-theorist (Spearman ra
[EDGE:authored_by] data_provenance:91:session-91-lizzi-spectral-functional-theorist-synthesis.md -> researchers:lizzi-spectral-functional-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-91/session-91-lizzi-spectral-functional-theorist-synthesis.md | match='**Author**: lizzi-spectral-functional-theorist (Spearman ra
[EDGE:cites_prior_session] gates:91:session-91-mack-cosmic-bridge-synthesis.md -> sessions:91  # G7 | conf=provenance-block | src=sessions/archive/session-91/session-91-mack-cosmic-bridge-synthesis.md | match='> **Provenance**: S91 W1 (volovik-superfluid-universe-theorist PRIMARY substrate'
[EDGE:authored_by] gates:91:session-91-mack-cosmic-bridge-synthesis.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=sole_writer | conf=provenance-block | src=sessions/archive/session-91/session-91-mack-cosmic-bridge-synthesis.md | match='> **Provenance**: S91 W1 (volovik-superfluid-universe-theorist PRIMA
[EDGE:authored_by] data_provenance:91:session-91-mack-cosmic-bridge-synthesis.md -> researchers:mack-cosmic-bridge  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-91/session-91-mack-cosmic-bridge-synthesis.md | match='session-91-mack-cosmic-bridge-synthesis.md'
[EDGE:authored_by] gates:91:session-91-van-den-dungen-bridge-theorist-synthesis.md -> researchers:van-den-dungen-bridge-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-91/session-91-van-den-dungen-bridge-theorist-synthesis.md | match='**Author**: `van-den-dungen-bridge-theorist` (NCG submersion / 
[EDGE:authored_by] data_provenance:91:session-91-van-den-dungen-bridge-theorist-synthesis.md -> researchers:van-den-dungen-bridge-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-91/session-91-van-den-dungen-bridge-theorist-synthesis.md | match='**Author**: `van-den-dungen-bridge-theorist` (NCG submersion / 
[EDGE:authored_by] gates:91:session-91-volovik-superfluid-universe-theorist-synthesis.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-91/session-91-volovik-superfluid-universe-theorist-synthesis.md | match='**Author**: volovik-superfluid-universe-theorist (substra
[EDGE:authored_by] data_provenance:91:session-91-volovik-superfluid-universe-theorist-synthesis.md -> researchers:volovik-superfluid-universe-theorist  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-91/session-91-volovik-superfluid-universe-theorist-synthesis.md | match='session-91-volovik-superfluid-universe-theorist-synthe
[EDGE:authored_by] gates:91:session-91-volovik-superfluid-universe-theorist-vii-ax-completeness-synthesis.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-91/session-91-volovik-superfluid-universe-theorist-vii-ax-completeness-synthesis.md | match='**Author**: volovik-superfluid-univer
[EDGE:authored_by] data_provenance:91:session-91-volovik-superfluid-universe-theorist-vii-ax-completeness-synthesis.md -> researchers:volovik-superfluid-universe-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-91/session-91-volovik-superfluid-universe-theorist-vii-ax-completeness-synthesis.md | match='**Author**: volovik-superfluid-univer
[EDGE:authored_by] gates:91:session-91-w3-workingpaper.md -> researchers:van-den-dungen-bridge-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-91/session-91-w3-workingpaper.md | match='**Author**: van-den-dungen-bridge-theorist (NCG submersion + bridge-map speciali'
[EDGE:reviewed_by] data_provenance:91:session-91-w4-workingpaper.md -> researchers:hawking-theorist  # G3 | role=adversarial_review | conf=header-parsed | src=sessions/archive/session-91/session-91-w4-workingpaper.md | match='**Reviewer**: `hawking-theorist` (semiclassical-thermodynamic / temporal-coor
[EDGE:authored_by] gates:91:session-91-w7-workingpaper.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-91/session-91-w7-workingpaper.md | match='**Agent**: `connes-ncg-theorist`'
[EDGE:reviewed_by] data_provenance:91:session-91-w8-workingpaper.md -> researchers:mack-cosmic-bridge  # G3 | role=adversarial_review | conf=header-parsed | src=sessions/archive/session-91/session-91-w8-workingpaper.md | match='**Reviewer**: mack-cosmic-bridge (canonical Axis-B selection per plan §3 line
