## S92 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G7
## Files scanned: 14 (+ 18 in workshops/)
## Total edges (deduped): 84
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] gates:92:s92-loop-quantum-gravity-comparison-workshop-seeds.md -> researchers:loop-quantum-gravity-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-92/s92-loop-quantum-gravity-comparison-workshop-seeds.md | match='**Author**: loop-quantum-gravity-theorist (workhorse)'
[EDGE:authored_by] data_provenance:92:s92-loop-quantum-gravity-comparison-workshop-seeds.md -> researchers:loop-quantum-gravity-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-92/s92-loop-quantum-gravity-comparison-workshop-seeds.md | match='**Author**: loop-quantum-gravity-theorist (workhorse)'
[EDGE:authored_by] gates:92:session-92-mack-synthesis.md -> researchers:mack-cosmic-bridge  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-92/session-92-mack-synthesis.md | match='**Agent**: mack-cosmic-bridge (Katie Mack — Cosmic Bridge)'
[EDGE:authored_by] data_provenance:92:session-92-mack-synthesis.md -> researchers:mack-cosmic-bridge  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-92/session-92-mack-synthesis.md | match='session-92-mack-synthesis.md'
[EDGE:authored_by] gates:92:session-92-w1-workingpaper.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-92/session-92-w1-workingpaper.md | match='**Agent**: `connes-ncg-theorist`'
[EDGE:authored_by] gates:92:session-92-w1-workingpaper.md -> researchers:van-den-dungen-bridge-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-92/session-92-w1-workingpaper.md | match='**Agent**: `van-den-dungen-bridge-theorist` (OAA EXCLUDES `connes-ncg-theorist` '
[EDGE:authored_by] gates:92:session-92-w1-workingpaper.md -> researchers:mack-cosmic-bridge  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-92/session-92-w1-workingpaper.md | match='**Agent**: `mack-cosmic-bridge` (PRIMARY per `feedback_mack-bridge-role.md`; Sta'
[EDGE:authored_by] gates:92:session-92-w2-workingpaper.md -> researchers:mack-cosmic-bridge  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-92/session-92-w2-workingpaper.md | match='**Agent**: `mack-cosmic-bridge` (sole-writer per `feedback_mack-bridge-role.md`)'
[EDGE:authored_by] gates:92:session-92-w2-workingpaper.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-92/session-92-w2-workingpaper.md | match='**Agent**: `connes-ncg-theorist`'
[EDGE:authored_by] gates:92:session-92-w3-workingpaper.md -> researchers:mack-cosmic-bridge  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-92/session-92-w3-workingpaper.md | match='**Agent**: `mack-cosmic-bridge`'
[EDGE:authored_by] gates:92:session-92-w3-workingpaper.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-92/session-92-w3-workingpaper.md | match='**Agent**: `volovik-superfluid-universe-theorist`'
[EDGE:authored_by] gates:92:session-92-w3-workingpaper.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-92/session-92-w3-workingpaper.md | match='**Agent**: `connes-ncg-theorist`'
[EDGE:authored_by] gates:92:session-92-w3-workingpaper.md -> researchers:orchestrator  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-92/session-92-w3-workingpaper.md | match='**Author**: orchestrator (team-lead synthesis per `/rclab-coordinate` skill §6)'
[EDGE:authored_by] data_provenance:92:session-92-w3-workingpaper.md -> researchers:orchestrator  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-92/session-92-w3-workingpaper.md | match='**Author**: orchestrator (team-lead synthesis per `/rclab-coordinate` skill §6)'
[EDGE:authored_by] gates:92:session-92-w4-workingpaper.md -> researchers:gen-physicist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-92/session-92-w4-workingpaper.md | match='**Agent**: `gen-physicist`'
[EDGE:authored_by] gates:92:session-92-w4-workingpaper.md -> researchers:mack-cosmic-bridge  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-92/session-92-w4-workingpaper.md | match='**Agent**: `mack-cosmic-bridge`'
[EDGE:authored_by] gates:92:session-92-w5-workingpaper.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-92/session-92-w5-workingpaper.md | match='**Agent**: `volovik-superfluid-universe-theorist` (PRIMARY) + `landau-condensed-'
[EDGE:authored_by] gates:92:session-92-w5-workingpaper.md -> researchers:mack-cosmic-bridge  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-92/session-92-w5-workingpaper.md | match='**Agent**: `mack-cosmic-bridge` (sole-writer per `feedback_mack-bridge-role.md` '
[EDGE:reviewed_by] data_provenance:92:session-92-w5-workingpaper.md -> researchers:connes-ncg-theorist  # G3 | role=adversarial_review | conf=header-parsed | src=sessions/archive/session-92/session-92-w5-workingpaper.md | match='**Reviewer**: `connes-ncg-theorist` (NCG-axiomatic; framework-canonical spect
