## S93 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G7
## Files scanned: 15 (+ 15 in workshops/)
## Total edges (deduped): 49
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] gates:93:session-93-connes-ncg-theorist-synthesis.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-93/session-93-connes-ncg-theorist-synthesis.md | match='**Agent**: connes-ncg-theorist (Connes-NCG-Theorist / Workhorse-NCG)'
[EDGE:authored_by] data_provenance:93:session-93-connes-ncg-theorist-synthesis.md -> researchers:connes-ncg-theorist  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-93/session-93-connes-ncg-theorist-synthesis.md | match='session-93-connes-ncg-theorist-synthesis.md'
[EDGE:authored_by] gates:93:session-93-phonon-first-cosmologist-synthesis.md -> researchers:phonon-first-cosmologist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-93/session-93-phonon-first-cosmologist-synthesis.md | match='**Agent**: phonon-first-cosmologist (Phonon-First Cosmologist / cross
[EDGE:authored_by] data_provenance:93:session-93-phonon-first-cosmologist-synthesis.md -> researchers:phonon-first-cosmologist  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-93/session-93-phonon-first-cosmologist-synthesis.md | match='session-93-phonon-first-cosmologist-synthesis.md'
[EDGE:authored_by] gates:93:session-93-w1-workingpaper.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-93/session-93-w1-workingpaper.md | match='**Agent**: `connes-ncg-theorist`'
[EDGE:authored_by] gates:93:session-93-w1-workingpaper.md -> researchers:mack-cosmic-bridge  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-93/session-93-w1-workingpaper.md | match='**Agent**: `mack-cosmic-bridge`'
[EDGE:authored_by] gates:93:session-93-w2-workingpaper.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-93/session-93-w2-workingpaper.md | match='**Agent**: `connes-ncg-theorist`'
[EDGE:authored_by] gates:93:session-93-w2-workingpaper.md -> researchers:mack-cosmic-bridge  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-93/session-93-w2-workingpaper.md | match='**Agent**: `mack-cosmic-bridge` (sole-writer for all §VII registry landings per '
[EDGE:authored_by] gates:93:session-93-w3-workingpaper.md -> researchers:mack-cosmic-bridge  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-93/session-93-w3-workingpaper.md | match='**Agent**: `mack-cosmic-bridge`'
[EDGE:authored_by] gates:93:session-93-w3-workingpaper.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-93/session-93-w3-workingpaper.md | match='**Agent**: `volovik-superfluid-universe-theorist`'
[EDGE:authored_by] gates:93:session-93-w3-workingpaper.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-93/session-93-w3-workingpaper.md | match='**Agent**: `connes-ncg-theorist` (PRIMARY; volovik-superfluid-universe-theorist '
[EDGE:authored_by] gates:93:session-93-w3-workingpaper.md -> researchers:van-den-dungen-bridge-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-93/session-93-w3-workingpaper.md | match='**Agent**: `van-den-dungen-bridge-theorist` (Axis-A, NCG-submersion/spectral-fun'
[EDGE:authored_by] gates:93:session-93-w3-workingpaper.md -> researchers:gen-physicist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-93/session-93-w3-workingpaper.md | match='**Agent**: `gen-physicist` (derivation-author tag; EXECUTION orchestrator-direct'
[EDGE:reviewed_by] data_provenance:93:session-93-w3-workingpaper.md -> researchers:van-den-dungen-bridge-theorist  # G3 | role=adversarial_review | conf=header-parsed | src=sessions/archive/session-93/session-93-w3-workingpaper.md | match='**Reviewer**: `van-den-dungen-bridge-theorist` (Axis-A, NCG-submersion / spec
[EDGE:reviewed_by] data_provenance:93:session-93-w3-workingpaper.md -> researchers:mack-cosmic-bridge  # G3 | role=adversarial_review | conf=header-parsed | src=sessions/archive/session-93/session-93-w3-workingpaper.md | match='**Reviewer**: `mack-cosmic-bridge` (Axis-B, cosmological-bridge / substrate s
[EDGE:authored_by] gates:93:session-93-w4-workingpaper.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-93/session-93-w4-workingpaper.md | match='**Agent**: `connes-ncg-theorist` (Axis-A producing agent of the original §W6-3 v'
[EDGE:co_authored_by] gates:93:session-93-w4-workingpaper.md -> researchers:connes-ncg-theorist  # G7 | role=co_sign | conf=header-parsed | src=sessions/archive/session-93/session-93-w4-workingpaper.md | match='**Agent**: `mack-cosmic-bridge` (sole-writer for cosmology-side cross-pillar bri'
[EDGE:authored_by] gates:93:session-93-w4-workingpaper.md -> researchers:mack-cosmic-bridge  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-93/session-93-w4-workingpaper.md | match='**Agent**: `mack-cosmic-bridge` (sole-writer for PBH-class observational-predict'
[EDGE:reviewed_by] data_provenance:93:session-93-w4-workingpaper.md -> researchers:connes-ncg-theorist  # G3 | role=adversarial_review | conf=header-parsed | src=sessions/archive/session-93/session-93-w4-workingpaper.md | match='**Reviewer**: `connes-ncg-theorist` (Axis-A — NCG-axiomatic / spectral-functi
[EDGE:reviewed_by] data_provenance:93:session-93-w4-workingpaper.md -> researchers:volovik-superfluid-universe-theorist  # G3 | role=adversarial_review | conf=header-parsed | src=sessions/archive/session-93/session-93-w4-workingpaper.md | match='**Reviewer**: `volovik-superfluid-universe-theorist` (Axis-B — substrate / su
[EDGE:authored_by] gates:93:session-93-w5-workingpaper.md -> researchers:mack-cosmic-bridge  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-93/session-93-w5-workingpaper.md | match='**Agent**: `mack-cosmic-bridge`'
[EDGE:authored_by] gates:93:session-93-w5-workingpaper.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-93/session-93-w5-workingpaper.md | match='**Agent**: `connes-ncg-theorist` (FULL-tier C-C 1996 §2.2-2.3 pipeline)'
[EDGE:authored_by] gates:93:session-93-w5-workingpaper.md -> researchers:gen-physicist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-93/session-93-w5-workingpaper.md | match='**Agent**: `gen-physicist` (volovik-superfluid-universe-theorist alternate, Cell'
[EDGE:authored_by] gates:93:session-93-w6-workingpaper.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-93/session-93-w6-workingpaper.md | match='**Agent**: `connes-ncg-theorist` (NCG-axiomatic finite spectral-triple construct'
[EDGE:authored_by] gates:93:session-93-w7-workingpaper.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-93/session-93-w7-workingpaper.md | match='**Agent**: `connes-ncg-theorist` (named fallback: `gen-physicist` — FULL Connes-'
[EDGE:authored_by] gates:93:session-93-w8-workingpaper.md -> researchers:phonon-first-cosmologist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-93/session-93-w8-workingpaper.md | match='**Agent**: `phonon-first-cosmologist`'
[EDGE:authored_by] gates:93:session-93-w9-workingpaper.md -> researchers:gen-physicist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-93/session-93-w9-workingpaper.md | match='**Agent**: `gen-physicist`'
[EDGE:authored_by] gates:93:session-93-w9-workingpaper.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-93/session-93-w9-workingpaper.md | match='**Agent**: `connes-ncg-theorist` (ALTERNATE: `lizzi-spectral-functional-theorist'
[EDGE:participates_in] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-93/workshops/s93-vii-ax-op-proj-stage3-truncation-divergent-anchor.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-93/workshops/s93-vii-ax-op-proj-stage3-truncation-divergent-anchor.md | match='volovik (volovik-superfluid-universe-theorist)'
[EDGE:participates_in] researchers:mack-cosmic-bridge -> data_provenance:sessions/archive/session-93/workshops/s93-vii-ax-op-proj-stage3-truncation-divergent-anchor.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-93/workshops/s93-vii-ax-op-proj-stage3-truncation-divergent-anchor.md | match='mack (mack-cosmic-bridge)'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-93/workshops/s93-vii-ax-op-proj-stage3-truncation-divergent-anchor.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-93/workshops/s93-vii-ax-op-proj-stage3-truncation-divergent-anchor.md | match='## Round 1 — volovik'
[EDGE:authored_round] researchers:mack-cosmic-bridge -> data_provenance:sessions/archive/session-93/workshops/s93-vii-ax-op-proj-stage3-truncation-divergent-anchor.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-93/workshops/s93-vii-ax-op-proj-stage3-truncation-divergent-anchor.md | match='## Round 1 — mack'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-93/workshops/s93-vii-ax-op-proj-stage3-truncation-divergent-anchor.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-93/workshops/s93-vii-ax-op-proj-stage3-truncation-divergent-anchor.md | match='## Round 2 — volovik'
[EDGE:authored_round] researchers:mack-cosmic-bridge -> data_provenance:sessions/archive/session-93/workshops/s93-vii-ax-op-proj-stage3-truncation-divergent-anchor.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-93/workshops/s93-vii-ax-op-proj-stage3-truncation-divergent-anchor.md | match='## Round 2 — mack'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-93/workshops/s93-vii-ax-op-proj-stage3-truncation-divergent-anchor.md#round-3  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-93/workshops/s93-vii-ax-op-proj-stage3-truncation-divergent-anchor.md | match='## Round 3 — volovik'
[EDGE:authored_round] researchers:mack-cosmic-bridge -> data_provenance:sessions/archive/session-93/workshops/s93-vii-ax-op-proj-stage3-truncation-divergent-anchor.md#round-3  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-93/workshops/s93-vii-ax-op-proj-stage3-truncation-divergent-anchor.md | match='## Round 3 — mack'
[EDGE:participates_in] researchers:kaluza-klein-theorist -> data_provenance:sessions/archive/session-93/workshops/s93-w7-3-gamma-e-dos-exponent-estimator.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-93/workshops/s93-w7-3-gamma-e-dos-exponent-estimator.md | match='kk (kaluza-klein-theorist)'
[EDGE:participates_in] researchers:landau-condensed-matter-theorist -> data_provenance:sessions/archive/session-93/workshops/s93-w7-3-gamma-e-dos-exponent-estimator.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-93/workshops/s93-w7-3-gamma-e-dos-exponent-estimator.md | match='landau (landau-condensed-matter-theorist)'
