## S93 Chain-of-Custody Edges (generated by tools/harvest_chain_of_custody_edges.py)
## Generated: 2026-06-13T17:43:18Z
## Workingpapers scanned: 10
## Verdict files scanned: 1
## Plan files scanned: 13
## Session .md files scanned (cited_in scope): 30
## Total edges (deduped): 96
## Edge types: anchored_in,carries_forward,cited_in,succ_of
## Extractors: tools/_chain_of_custody_extractors.py (self-test 11/11 PASS)

[EDGE:carries_forward] sessions:93 -> gates:CF-S94-VII-AR-PASS-A-CONTINUOUS-PARAM-SUBSTRATE-DERIVATION  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-93/session-93-w5-workingpaper.md | match='### CF-S94-VII-AR-PASS-A-CONTINUOUS-PARAM-SUBSTRATE-DERIVATION — substrate-physi'
[EDGE:carries_forward] sessions:93 -> gates:CF-W9-12-3  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-93/session-93-w6-workingpaper.md | match='### CF-W9-12-3 — full-spectrum D_K_PS cache + Level-3 spectral-action anchor (co'
[EDGE:carries_forward] sessions:93 -> gates:CF-S94-VII-AZ-BAND-ADMISSIBLE-RE-EXTRACTION  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-93/session-93-w6-workingpaper.md | match='### CF-S94-VII-AZ-BAND-ADMISSIBLE-RE-EXTRACTION — discharge §VII.AZ Element-4 FI'
[EDGE:carries_forward] sessions:93 -> gates:CF-S94-W1-6  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-93/session-93-w7-workingpaper.md | match='### CF-S94-W1-6 — T5 direct-Connes-Karoubi α_s transport-operator recovery (NEW '
[EDGE:carries_forward] sessions:93 -> gates:CF-S94-K-CSUB-R-ABSOLUTE-CONVERGENCE  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-93/session-93-w7-workingpaper.md | match='### CF-S94-K-CSUB-R-ABSOLUTE-CONVERGENCE — UV-convergence of the FULL K_csub_R i'
[EDGE:carries_forward] sessions:93 -> gates:CF-S94-DS-GAMMA-E-RESOLUTION  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-93/session-93-w7-workingpaper.md | match='### CF-S94-DS-GAMMA-E-RESOLUTION — the `v_g^{B2}(τ)` scalar-trajectory discrimin'
[EDGE:carries_forward] sessions:93 -> gates:CF-S94-NARROW-PATH-WORKSHOP-6-COCYCLE-CONSTRUCTION  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-93/session-93-w8-workingpaper.md | match='### CF-S94-NARROW-PATH-WORKSHOP-6-COCYCLE-CONSTRUCTION — explicit exit-horizon H'
[EDGE:anchored_in] gates:S93-W0-1-STAGE-3-PROMOTION-SEQUENCING-PREREG -> sessions:93  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-93/s93_gate_verdicts.txt | match='S93-W0-1-STAGE-3-PROMOTION-SEQUENCING-PREREG: PASS'
[EDGE:anchored_in] gates:S93-W1-2-VII-BA-STAGE-1-CANDIDATE-REGISTRATION -> sessions:93  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-93/s93_gate_verdicts.txt | match='S93-W1-2-VII-BA-STAGE-1-CANDIDATE-REGISTRATION: FAIL'
[EDGE:anchored_in] gates:S93-W1-1-VII-BA-DEEP-POLE-MASQUERADE-DISCRIMINATOR -> sessions:93  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-93/s93_gate_verdicts.txt | match='S93-W1-1-VII-BA-DEEP-POLE-MASQUERADE-DISCRIMINATOR: INFO'
[EDGE:anchored_in] gates:S93-W1-3-VII-BA-F-FUNCTOR-NON-SCALAR-RECONSTRUCTION -> sessions:93  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-93/s93_gate_verdicts.txt | match='S93-W1-3-VII-BA-F-FUNCTOR-NON-SCALAR-RECONSTRUCTION: FAIL'
[EDGE:anchored_in] gates:S93-W2-2-VII-AU-OP-PROJ-STAGE-3-PERMANENT-PROMOTION -> sessions:93  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-93/s93_gate_verdicts.txt | match='S93-W2-2-VII-AU-OP-PROJ-STAGE-3-PERMANENT-PROMOTION: PASS'
[EDGE:anchored_in] gates:S93-W2-3-VII-AU-OP-PROJ-CANONICAL-CONSTANTS-PROMOTION-SUB-CLASS-KEYED -> sessions:93  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-93/s93_gate_verdicts.txt | match='S93-W2-3-VII-AU-OP-PROJ-CANONICAL-CONSTANTS-PROMOTION-SUB-CLASS-KEYED: PASS'
