## S94 Chain-of-Custody Edges (generated by tools/harvest_chain_of_custody_edges.py)
## Generated: 2026-06-13T17:43:18Z
## Workingpapers scanned: 8
## Verdict files scanned: 1
## Plan files scanned: 11
## Session .md files scanned (cited_in scope): 32
## Total edges (deduped): 52
## Edge types: anchored_in,carries_forward,cited_in,succ_of
## Extractors: tools/_chain_of_custody_extractors.py (self-test 11/11 PASS)

[EDGE:carries_forward] sessions:94 -> gates:CF-S95-HK-1  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-94/session-94-w1-workingpaper.md | match='### CF-S95-HK-1 — §VII.BG α_s T5 bridge two-agent Stage-2 → STAGE-3'
[EDGE:carries_forward] sessions:94 -> gates:CF-S95-K-CSUB-R-RE-ANCHOR  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-94/session-94-w1-workingpaper.md | match='### CF-S95-K-CSUB-R-RE-ANCHOR — K_csub_R convergence via higher-point PV / τ-run'
[EDGE:carries_forward] sessions:94 -> gates:CF-S95-VII-BE-TIER2-REANCHOR  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-94/session-94-w3-workingpaper.md | match='### CF-S95-VII-BE-TIER2-REANCHOR — §VII.BE FWD-C4 Level-3 Tier-2 dimensional re-'
[EDGE:carries_forward] sessions:94 -> gates:CF-S95-N-PBH-MAGNITUDE-RECOMPUTE  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-94/session-94-w5-workingpaper.md | match='### CF-S95-N-PBH-MAGNITUDE-RECOMPUTE — m⁻³ magnitude saturated-tail recompute at'
[EDGE:carries_forward] sessions:94 -> gates:CF-S95-W7-22-GAMMA-E-CRYSTALLIZATION  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-94/session-94-w7-workingpaper.md | match='### CF-S95-W7-22-GAMMA-E-CRYSTALLIZATION — crystallize γ_E (n=1-linear vs n=2-√-'
[EDGE:carries_forward] sessions:94 -> gates:CF-S95-W7-23-NARROW-PATH-REGIME-II-CHARACTERIZATION  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-94/session-94-w7-workingpaper.md | match='### CF-S95-W7-23-NARROW-PATH-REGIME-II-CHARACTERIZATION — substrate-own Regime-I'
[EDGE:anchored_in] gates:S94-K-CSUB-R-ABSOLUTE-CONVERGENCE -> sessions:94  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-94/s94_gate_verdicts.txt | match='S94-K-CSUB-R-ABSOLUTE-CONVERGENCE: FAIL'
[EDGE:anchored_in] gates:S94-A_S-MPL-CONVERGENCE -> sessions:94  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-94/s94_gate_verdicts.txt | match='S94-A_S-MPL-CONVERGENCE: INFO'
[EDGE:anchored_in] gates:S94-VII-BA-T4-ENVELOPE-EXTENSION -> sessions:94  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-94/s94_gate_verdicts.txt | match='S94-VII-BA-T4-ENVELOPE-EXTENSION: FAIL'
[EDGE:anchored_in] gates:S94-VII-BA-STAGE-2-CROSS-AXIS-VERIFY -> sessions:94  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-94/s94_gate_verdicts.txt | match='S94-VII-BA-STAGE-2-CROSS-AXIS-VERIFY: PASS'
[EDGE:anchored_in] gates:S94-VII-AU-WINDING-RECONCILIATION -> sessions:94  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-94/s94_gate_verdicts.txt | match='S94-VII-AU-WINDING-RECONCILIATION: PASS'
[EDGE:anchored_in] gates:S94-VII-AU-ALPHA-MINUS-3-LAYER-1 -> sessions:94  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-94/s94_gate_verdicts.txt | match='S94-VII-AU-ALPHA-MINUS-3-LAYER-1: PASS'
[EDGE:anchored_in] gates:S94-VII-AU-3HEB-BDI-LEVEL-3-ANCHOR -> sessions:94  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-94/s94_gate_verdicts.txt | match='S94-VII-AU-3HEB-BDI-LEVEL-3-ANCHOR: PASS'
[EDGE:anchored_in] gates:S94-MODULE-AS-CANONICAL-K3 -> sessions:94  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-94/s94_gate_verdicts.txt | match='S94-MODULE-AS-CANONICAL-K3: PASS'
[EDGE:anchored_in] gates:S94-VII-AZ-BAND-ADMISSIBLE-RE-EXTRACTION -> sessions:94  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-94/s94_gate_verdicts.txt | match='S94-VII-AZ-BAND-ADMISSIBLE-RE-EXTRACTION: PASS'
[EDGE:anchored_in] gates:S94-VII-PS-FULL-SPECTRUM-LEVEL-3 -> sessions:94  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-94/s94_gate_verdicts.txt | match='S94-VII-PS-FULL-SPECTRUM-LEVEL-3: FAIL'
