## S95 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G7
## Files scanned: 16 (+ 8 in workshops/)
## Total edges (deduped): 33
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:reviewed_by] data_provenance:95:session-95-connes-ncg-theorist-genericity-synthesis.md -> researchers:connes-ncg-theorist  # G3 | role=adversarial_review | conf=header-parsed | src=sessions/archive/session-95/session-95-connes-ncg-theorist-genericity-synthesis.md | match='**Reviewer**: connes-ncg-theorist (NCG / spectral-tr
[EDGE:authored_by] gates:95:session-95-connes-ncg-theorist-synthesis.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-95/session-95-connes-ncg-theorist-synthesis.md | match='**Author**: `connes-ncg-theorist` (solo; SOLE writer of this file)'
[EDGE:authored_by] data_provenance:95:session-95-connes-ncg-theorist-synthesis.md -> researchers:connes-ncg-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-95/session-95-connes-ncg-theorist-synthesis.md | match='**Author**: `connes-ncg-theorist` (solo; SOLE writer of this file)'
[EDGE:authored_by] gates:95:session-95-hawking-theorist-synthesis.md -> researchers:hawking-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-95/session-95-hawking-theorist-synthesis.md | match='**Agent**: Hawking-Theorist (black-hole thermodynamics / semiclassical-gravit
[EDGE:authored_by] data_provenance:95:session-95-hawking-theorist-synthesis.md -> researchers:hawking-theorist  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-95/session-95-hawking-theorist-synthesis.md | match='session-95-hawking-theorist-synthesis.md'
[EDGE:authored_by] gates:95:session-95-lizzi-spectral-functional-theorist-synthesis.md -> researchers:lizzi-spectral-functional-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-95/session-95-lizzi-spectral-functional-theorist-synthesis.md | match='**Author**: `lizzi-spectral-functional-theorist` (SOLO; SOL
[EDGE:authored_by] data_provenance:95:session-95-lizzi-spectral-functional-theorist-synthesis.md -> researchers:lizzi-spectral-functional-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-95/session-95-lizzi-spectral-functional-theorist-synthesis.md | match='**Author**: `lizzi-spectral-functional-theorist` (SOLO; SOL
[EDGE:authored_by] gates:95:session-95-volovik-superfluid-universe-theorist-synthesis.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-95/session-95-volovik-superfluid-universe-theorist-synthesis.md | match='**Author**: volovik-superfluid-universe-theorist'
[EDGE:authored_by] data_provenance:95:session-95-volovik-superfluid-universe-theorist-synthesis.md -> researchers:volovik-superfluid-universe-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-95/session-95-volovik-superfluid-universe-theorist-synthesis.md | match='**Author**: volovik-superfluid-universe-theorist'
[EDGE:authored_by] gates:95:session-95-w1-workingpaper.md -> researchers:lizzi-spectral-functional-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-95/session-95-w1-workingpaper.md | match='**Agent**: `lizzi-spectral-functional-theorist` (orchestrating aggregator + Axis'
[EDGE:authored_by] gates:95:session-95-w2-workingpaper.md -> researchers:feynman-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-95/session-95-w2-workingpaper.md | match='**Agent**: `feynman-theorist`'
[EDGE:authored_by] gates:95:session-95-w2-workingpaper.md -> researchers:kaku-speculative-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-95/session-95-w2-workingpaper.md | match='**Agent**: `kaku-speculative-theorist`'
[EDGE:authored_by] gates:95:session-95-w2-workingpaper.md -> researchers:spectral-geometer  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-95/session-95-w2-workingpaper.md | match='**Agent**: `spectral-geometer`'
[EDGE:authored_by] gates:95:session-95-w3-workingpaper.md -> researchers:einstein-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-95/session-95-w3-workingpaper.md | match='**Agent**: `einstein-theorist`'
[EDGE:authored_by] gates:95:session-95-w3-workingpaper.md -> researchers:kaku-speculative-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-95/session-95-w3-workingpaper.md | match='**Agent**: `kaku-speculative-theorist`'
[EDGE:authored_by] gates:95:session-95-w3-workingpaper.md -> researchers:transit-dynamics-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-95/session-95-w3-workingpaper.md | match='**Agent**: `transit-dynamics-theorist`'
[EDGE:authored_by] gates:95:session-95-w3-workingpaper.md -> researchers:hawking-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-95/session-95-w3-workingpaper.md | match='**Agent**: `hawking-theorist`'
[EDGE:authored_by] gates:95:session-95-w4-workingpaper.md -> researchers:schwarzschild-penrose-geometer  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-95/session-95-w4-workingpaper.md | match='**Agent**: `schwarzschild-penrose-geometer`'
[EDGE:authored_by] gates:95:session-95-w4-workingpaper.md -> researchers:hawking-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-95/session-95-w4-workingpaper.md | match='**Agent**: `hawking-theorist`'
[EDGE:authored_by] gates:95:session-95-w5-workingpaper.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-95/session-95-w5-workingpaper.md | match='**Agent**: `volovik-superfluid-universe-theorist`'
[EDGE:authored_by] gates:95:session-95-w5-workingpaper.md -> researchers:hawking-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-95/session-95-w5-workingpaper.md | match='**Agent**: `hawking-theorist`'
[EDGE:authored_by] gates:95:session-95-w5-workingpaper.md -> researchers:nazarewicz-nuclear-structure-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-95/session-95-w5-workingpaper.md | match='**Agent**: `nazarewicz-nuclear-structure-theorist`'
[EDGE:authored_by] gates:95:session-95-w6-workingpaper.md -> researchers:mack-cosmic-bridge  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-95/session-95-w6-workingpaper.md | match='**Agent**: `mack-cosmic-bridge`'
[EDGE:authored_by] gates:95:session-95-w7-workingpaper.md -> researchers:phonon-first-cosmologist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-95/session-95-w7-workingpaper.md | match='**Agent**: `phonon-first-cosmologist`'
[EDGE:authored_by] gates:95:session-95-w7-workingpaper.md -> researchers:landau-condensed-matter-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-95/session-95-w7-workingpaper.md | match='**Agent**: `landau-condensed-matter-theorist`'
[EDGE:participates_in] researchers:schwarzschild-penrose-geometer -> data_provenance:sessions/archive/session-95/workshops/c1-cs-softening-completeness.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-95/workshops/c1-cs-softening-completeness.md | match='sp (schwarzschild-penrose-geometer)'
[EDGE:participates_in] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-95/workshops/c1-cs-softening-completeness.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-95/workshops/c1-cs-softening-completeness.md | match='volovik (volovik-superfluid-universe-theorist)'
[EDGE:authored_round] researchers:schwarzschild-penrose-geometer -> data_provenance:sessions/archive/session-95/workshops/c1-cs-softening-completeness.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-95/workshops/c1-cs-softening-completeness.md | match='## Round 1 — sp'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-95/workshops/c1-cs-softening-completeness.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-95/workshops/c1-cs-softening-completeness.md | match='## Round 1 — volovik'
[EDGE:authored_round] researchers:schwarzschild-penrose-geometer -> data_provenance:sessions/archive/session-95/workshops/c1-cs-softening-completeness.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-95/workshops/c1-cs-softening-completeness.md | match='## Round 2 — sp'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-95/workshops/c1-cs-softening-completeness.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-95/workshops/c1-cs-softening-completeness.md | match='## Round 2 — volovik'
[EDGE:authored_round] researchers:schwarzschild-penrose-geometer -> data_provenance:sessions/archive/session-95/workshops/c1-cs-softening-completeness.md#round-3  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-95/workshops/c1-cs-softening-completeness.md | match='## Round 3 — sp'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-95/workshops/c1-cs-softening-completeness.md#round-3  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-95/workshops/c1-cs-softening-completeness.md | match='## Round 3 — volovik'
